ID	武將名字	魔靈類型：水=1；火=2；風=3；光=4；暗=5
10022104	真・黃蓋	4
10022105	真・黃蓋	5
10023001	夏侯惇	1
10023002	夏侯惇	2
10023003	夏侯惇	3
10023004	夏侯惇	4
10023005	夏侯惇	5
10023101	真・夏侯惇	1
10023102	真・夏侯惇	2
10023103	真・夏侯惇	3
10023104	真・夏侯惇	4
10023105	真・夏侯惇	5
10024001	祝融夫人	1
10024002	祝融夫人	2
10024003	祝融夫人	3
10024004	祝融夫人	4
10024005	祝融夫人	5
10024101	真・祝融夫人	1
10024102	真・祝融夫人	2
10024103	真・祝融夫人	3
10024104	真・祝融夫人	4
10024105	真・祝融夫人	5
10025001	呂玲綺	1
10025002	呂玲綺	2
10025003	呂玲綺	3
10025004	呂玲綺	4
10025005	呂玲綺	5
10025101	真・呂玲綺	1
10025102	真・呂玲綺	2
10025103	真・呂玲綺	3
10025104	真・呂玲綺	4
10025105	真・呂玲綺	5
10026001	小喬	1
10026002	小喬	2
10026003	小喬	3
10026004	小喬	4
10026005	小喬	5
10026006	七夕小喬	4
10026101	真・小喬	1
10026102	真・小喬	2
10026103	真・小喬	3
10026104	真・小喬	4
10026105	真・小喬	5
10026106	真・七夕小喬	4
10027001	關銀屏	1
10027002	關銀屏	2
10027003	關銀屏	3
10027004	關銀屏	4
10027005	關銀屏	5
10027101	真・關銀屏	1
10027102	真・關銀屏	2
10027103	真・關銀屏	3
10027104	真・關銀屏	4
10027105	真・關銀屏	5
10028001	張郃	1
10028002	張郃	2
10028003	張郃	3
10028004	張郃	4
10028005	張郃	5
10028101	真・張郃	1
10028102	真・張郃	2
10028103	真・張郃	3
10028104	真・張郃	4
10028105	真・張郃	5
10029001	蔡文姬	1
10029002	蔡文姬	2
10029003	蔡文姬	3
10029004	蔡文姬	4
10029005	蔡文姬	5
10029101	真・蔡文姬	1
10029102	真・蔡文姬	2
10029103	真・蔡文姬	3
10029104	真・蔡文姬	4
10029105	真・蔡文姬	5
10030001	關平	1
10030002	關平	2
10030003	關平	3
10030004	關平	4
10030005	關平	5
10030101	真・關平	1
10030102	真・關平	2
10030103	真・關平	3
10030104	真・關平	4
10030105	真・關平	5
10031001	孫尚香	1
10031002	孫尚香	2
10031003	孫尚香	3
10031004	孫尚香	4
10031005	孫尚香	5
10031101	真・孫尚香	1
10031102	真・孫尚香	2
10031103	真・孫尚香	3
10031104	真・孫尚香	4
10031105	真・孫尚香	5
10032001	黃月英	1
10032002	黃月英	2
10032003	黃月英	3
10032004	黃月英	4
10032005	黃月英	5
10032006	月神	5
10032101	真・黃月英	1
10032102	真・黃月英	2
10032103	真・黃月英	3
10032104	真・黃月英	4
10032105	真・黃月英	5
10032106	真・月神	5
10033001	姜維	1
10033002	姜維	2
10033003	姜維	3
10033004	姜維	4
10033005	姜維	5
10033101	真・姜維	1
10033102	真・姜維	2
10033103	真・姜維	3
10033104	真・姜維	4
10033105	真・姜維	5
10034001	荀彧	1
10034002	荀彧	2
10034003	荀彧	3
10034004	荀彧	4
10034005	荀彧	5
10034101	真・荀彧	1
10034102	真・荀彧	2
10034103	真・荀彧	3
10034104	真・荀彧	4
10034105	真・荀彧	5
10035001	王元姬	1
10035002	王元姬	2
10035003	王元姬	3
10035004	王元姬	4
10035005	王元姬	5
10035101	真・王元姬	1
10035102	真・王元姬	2
10035103	真・王元姬	3
10035104	真・王元姬	4
10035105	真・王元姬	5
10036001	張星彩	1
10036002	張星彩	2
10036003	張星彩	3
10036004	張星彩	4
10036005	張星彩	5
10036101	真・張星彩	1
10036102	真・張星彩	2
10036103	真・張星彩	3
10036104	真・張星彩	4
10036105	真・張星彩	5
10037001	太史慈	1
10037002	太史慈	2
10037003	太史慈	3
10037004	太史慈	4
10037005	太史慈	5
10037101	真・太史慈	1
10037102	真・太史慈	2
10037103	真・太史慈	3
10037104	真・太史慈	4
10037105	真・太史慈	5
10038001	賈詡	1
10038002	賈詡	2
10038003	賈詡	3
10038004	賈詡	4
10038005	賈詡	5
10038101	真・賈詡	1
10038102	真・賈詡	2
10038103	真・賈詡	3
10038104	真・賈詡	4
10038105	真・賈詡	5
10039001	甘寧	1
10039002	甘寧	2
10039003	甘寧	3
10039004	甘寧	4
10039005	甘寧	5
10039101	真・甘寧	1
10039102	真・甘寧	2
10039103	真・甘寧	3
10039104	真・甘寧	4
10039105	真・甘寧	5
10040001	徐晃	1
10040002	徐晃	2
10040003	徐晃	3
10040004	徐晃	4
10040005	徐晃	5
10040101	真・徐晃	1
10040102	真・徐晃	2
10040103	真・徐晃	3
10040104	真・徐晃	4
10040105	真・徐晃	5
10041001	黃忠	1
10041002	黃忠	2
10041003	黃忠	3
10041004	黃忠	4
10041005	黃忠	5
10041101	真・黃忠	1
10041102	真・黃忠	2
10041103	真・黃忠	3
10041104	真・黃忠	4
10041105	真・黃忠	5
10042001	貂蟬	1
10042002	貂蟬	2
10042003	貂蟬	3
10042004	貂蟬	4
10042005	貂蟬	5
10042101	真・貂蟬	1
10042102	真・貂蟬	2
10042103	真・貂蟬	3
10042104	真・貂蟬	4
10042105	真・貂蟬	5
10043001	關羽	1
10043002	關羽	2
10043003	關羽	3
10043004	關羽	4
10043005	關羽	5
10043101	真・關羽	1
10043102	真・關羽	2
10043103	真・關羽	3
10043104	真・關羽	4
10043105	真・關羽	5
10044001	司馬懿	1
10044002	司馬懿	2
10044003	司馬懿	3
10044004	司馬懿	4
10044005	司馬懿	5
10044101	真・司馬懿	1
10044102	真・司馬懿	2
10044103	真・司馬懿	3
10044104	真・司馬懿	4
10044105	真・司馬懿	5
10045001	張飛	1
10045002	張飛	2
10045003	張飛	3
10045004	張飛	4
10045005	張飛	5
10045006	中秋張飛	5
10045101	真・張飛	1
10045102	真・張飛	2
10045103	真・張飛	3
10045104	真・張飛	4
10045105	真・張飛	5
10045106	真・中秋張飛	5
10046001	周瑜	1
10046002	周瑜	2
10046003	周瑜	3
10046004	周瑜	4
10046005	周瑜	5
10046101	真・周瑜	1
10046102	真・周瑜	2
10046103	真・周瑜	3
10046104	真・周瑜	4
10046105	真・周瑜	5
10047001	趙雲	1
10047002	趙雲	2
10047003	趙雲	3
10047004	趙雲	4
10047005	趙雲	5
10047101	真・趙雲	1
10047102	真・趙雲	2
10047103	真・趙雲	3
10047104	真・趙雲	4
10047105	真・趙雲	5
10048001	諸葛亮	1
10048002	諸葛亮	2
10048003	諸葛亮	3
10048004	諸葛亮	4
10048005	諸葛亮	5
10048101	真・諸葛亮	1
10048102	真・諸葛亮	2
10048103	真・諸葛亮	3
10048104	真・諸葛亮	4
10048105	真・諸葛亮	5
10049001	曹洪	1
10049002	曹洪	2
10049003	曹洪	3
10049004	曹洪	4
10049005	曹洪	5
10049101	真・曹洪	1
10049102	真・曹洪	2
10049103	真・曹洪	3
10049104	真・曹洪	4
10049105	真・曹洪	5
10050001	呂蒙	1
10050002	呂蒙	2
10050003	呂蒙	3
10050004	呂蒙	4
10050005	呂蒙	5
10050101	真・呂蒙	1
10050102	真・呂蒙	2
10050103	真・呂蒙	3
10050104	真・呂蒙	4
10050105	真・呂蒙	5
10051001	曹仁	1
10051002	曹仁	2
10051003	曹仁	3
10051004	曹仁	4
10051005	曹仁	5
10051101	真・曹仁	1
10051102	真・曹仁	2
10051103	真・曹仁	3
10051104	真・曹仁	4
10051105	真・曹仁	5
10052001	呂布	1
10052002	呂布	2
10052003	呂布	3
10052004	呂布	4
10052005	呂布	5
10052101	真・呂布	1
10052102	真・呂布	2
10052103	真・呂布	3
10052104	真・呂布	4
10052105	真・呂布	5
10053001	孟獲	1
10053002	孟獲	2
10053003	孟獲	3
10053004	孟獲	4
10053005	孟獲	5
10053101	真・孟獲	1
10053102	真・孟獲	2
10053103	真・孟獲	3
10053104	真・孟獲	4
10053105	真・孟獲	5
10054001	周泰	1
10054002	周泰	2
10054003	周泰	3
10054004	周泰	4
10054005	周泰	5
10054101	真・周泰	1
10054102	真・周泰	2
10054103	真・周泰	3
10054104	真・周泰	4
10054105	真・周泰	5
10055001	顏良	1
10055002	顏良	2
10055003	顏良	3
10055004	顏良	4
10055005	顏良	5
10055101	真・顏良	1
10055102	真・顏良	2
10055103	真・顏良	3
10055104	真・顏良	4
10055105	真・顏良	5
10056001	華雄	1
10056002	華雄	2
10056003	華雄	3
10056004	華雄	4
10056005	華雄	5
10056101	真・華雄	1
10056102	真・華雄	2
10056103	真・華雄	3
10056104	真・華雄	4
10056105	真・華雄	5
10057001	周倉	1
10057002	周倉	2
10057003	周倉	3
10057004	周倉	4
10057005	周倉	5
10057101	真・周倉	1
10057102	真・周倉	2
10057103	真・周倉	3
10057104	真・周倉	4
10057105	真・周倉	5
10058001	鄧艾	1
10058002	鄧艾	2
10058003	鄧艾	3
10058004	鄧艾	4
10058005	鄧艾	5
10058101	真・鄧艾	1
10058102	真・鄧艾	2
10058103	真・鄧艾	3
10058104	真・鄧艾	4
10058105	真・鄧艾	5
10059001	大喬	1
10059002	大喬	2
10059003	大喬	3
10059004	大喬	4
10059005	大喬	5
10059006	女巫	5
10059101	真・大喬	1
10059102	真・大喬	2
10059103	真・大喬	3
10059104	真・大喬	4
10059105	真・大喬	5
10059106	真・女巫	5
10080001	弓弩手	1
10080002	弓弩手	2
10080003	弓弩手	3
10081001	大刀兵	1
10081002	大刀兵	2
10081003	大刀兵	3
10081005	大刀兵	5
10082001	魔刺客	1
10082002	魔刺客	2
10082003	魔刺客	3
10082004	魔刺客	4
10082005	魔刺客	5
10083001	魔甲兵	1
10083002	魔甲兵	2
10083003	魔甲兵	3
10084001	謀士	1
10084002	謀士	2
10084003	謀士	3
10084005	謀士	5
10085001	盜賊	1
10085002	盜賊	2
10085003	盜賊	3
10086001	黃巾賊	1
10086002	黃巾賊	2
10086003	黃巾賊	3
10087001	魔術士	1
10087002	魔術士	2
10087003	魔術士	3
10087005	魔術士	5
10088001	長槍兵	1
10088002	長槍兵	2
10088003	長槍兵	3
10088005	長槍兵	5
10089001	劍士	1
10089002	劍士	2
10089003	劍士	3
10089005	劍士	5
10090001	魔斧手	1
10090002	魔斧手	2
10090003	魔斧手	3
11000005	小天魔	5
12000001	精靈怪	1
12000002	精靈怪	2
12000003	精靈怪	3
12000004	精靈怪	4
12000005	精靈怪	5
12000101	精靈怪	1
12000102	精靈怪	2
12000103	精靈怪	3
12000104	精靈怪	4
12000105	精靈怪	5
13000004	魔魂怪	4
13000003	魔魂怪	4
20001001	姜維	1
20001002	姜維	2
20001003	姜維	3
20001004	姜維	4
20001005	姜維	5
20002001	丁奉	1
20002002	丁奉	2
20002003	丁奉	3
20002004	丁奉	4
20002005	丁奉	5
20003004	呂布	4
20004001	呂布	1
20004002	呂布	2
20004003	呂布	3
20004004	呂布	4
20004005	呂布	5
19000001	地獄惡犬	1
19000002	天魔將軍	2
19000003	妖魅九尾	3
19000004	妖獸窮奇	1
19000005	刑天	3
19000006	梼杌	1
19000007	天狗	1
19000008	酒吞童子	2
19000009	卑彌呼	1
19000010	八岐大蛇	3
19100001	天魔將軍	0
19200001	小洛編	5
19200002	小洛編	1
19200003	小洛編	3
19200004	小洛編	4
19200005	小洛編	2
19200006	小洛編	5
19200007	小洛編	1
19200008	小洛編	3
19200009	小洛編	4
19200010	小洛編	2
19200011	小洛編	5
19200012	小洛編	1
19200013	小洛編	3
10060001	孫策	1
10060002	孫策	2
10060003	孫策	3
10060004	孫策	4
10060005	孫策	5
10060101	真・孫策	1
10060102	真・孫策	2
10060103	真・孫策	3
10060104	真・孫策	4
10060105	真・孫策	5
10061001	辛憲英	1
10061002	辛憲英	2
10061003	辛憲英	3
10061004	辛憲英	4
10061005	辛憲英	5
10061101	真・辛憲英	1
10061102	真・辛憲英	2
10061103	真・辛憲英	3
10061104	真・辛憲英	4
10061105	真・辛憲英	5
10062001	郭淮	1
10062002	郭淮	2
10062003	郭淮	3
10062004	郭淮	4
10062005	郭淮	5
10062101	真・郭淮	1
10062102	真・郭淮	2
10062103	真・郭淮	3
10062104	真・郭淮	4
10062105	真・郭淮	5
10063001	淩統	1
10063002	淩統	2
10063003	淩統	3
10063004	淩統	4
10063005	淩統	5
10063101	真・淩統	1
10063102	真・淩統	2
10063103	真・淩統	3
10063104	真・淩統	4
10063105	真・淩統	5
10064001	馬超	1
10064002	馬超	2
10064003	馬超	3
10064004	馬超	4
10064005	馬超	5
10064101	真・馬超	1
10064102	真・馬超	2
10064103	真・馬超	3
10064104	真・馬超	4
10064105	真・馬超	5
10065001	馬雲祿	1
10065002	馬雲祿	2
10065003	馬雲祿	3
10065004	馬雲祿	4
10065005	馬雲祿	5
10065101	真・馬雲祿	1
10065102	真・馬雲祿	2
10065103	真・馬雲祿	3
10065104	真・馬雲祿	4
10065105	真・馬雲祿	5
10066001	王平	1
10066002	王平	2
10066003	王平	3
10066004	王平	4
10066005	王平	5
10066101	真・王平	1
10066102	真・王平	2
10066103	真・王平	3
10066104	真・王平	4
10066105	真・王平	5
10067001	陳宮	1
10067002	陳宮	2
10067003	陳宮	3
10067004	陳宮	4
10067005	陳宮	5
10067101	真・陳宮	1
10067102	真・陳宮	2
10067103	真・陳宮	3
10067104	真・陳宮	4
10067105	真・陳宮	5
10068001	張遼	1
10068002	張遼	2
10068003	張遼	3
10068004	張遼	4
10068005	張遼	5
10068101	真・張遼	1
10068102	真・張遼	2
10068103	真・張遼	3
10068104	真・張遼	4
10068105	真・張遼	5
10069001	曹節	1
10069002	曹節	2
10069003	曹節	3
10069004	曹節	4
10069005	曹節	5
10069101	真・曹節	1
10069102	真・曹節	2
10069103	真・曹節	3
10069104	真・曹節	4
10069105	真・曹節	5
10070001	劉敏	1
10070002	劉敏	2
10070003	劉敏	3
10070004	劉敏	4
10070005	劉敏	5
10070101	真・劉敏	1
10070102	真・劉敏	2
10070103	真・劉敏	3
10070104	真・劉敏	4
10070105	真・劉敏	5
10071001	嚴顏	1
10071002	嚴顏	2
10071003	嚴顏	3
10071004	嚴顏	4
10071005	嚴顏	5
10071101	真・嚴顏	1
10071102	真・嚴顏	2
10071103	真・嚴顏	3
10071104	真・嚴顏	4
10071105	真・嚴顏	5
10072001	諸葛蕓	1
10072002	諸葛蕓	2
10072003	諸葛蕓	3
10072004	諸葛蕓	4
10072005	諸葛蕓	5
10072101	真・諸葛蕓	1
10072102	真・諸葛蕓	2
10072103	真・諸葛蕓	3
10072104	真・諸葛蕓	4
10072105	真・諸葛蕓	5
10073001	典韋	1
10073002	典韋	2
10073003	典韋	3
10073004	典韋	4
10073005	典韋	5
10073101	真・典韋	1
10073102	真・典韋	2
10073103	真・典韋	3
10073104	真・典韋	4
10073105	真・典韋	5
10074001	陸遜	1
10074002	陸遜	2
10074003	陸遜	3
10074004	陸遜	4
10074005	陸遜	5
10074101	真・陸遜	1
10074102	真・陸遜	2
10074103	真・陸遜	3
10074104	真・陸遜	4
10074105	真・陸遜	5
10075001	文聘	1
10075002	文聘	2
10075003	文聘	3
10075004	文聘	4
10075005	文聘	5
10075101	真・文聘	1
10075102	真・文聘	2
10075103	真・文聘	3
10075104	真・文聘	4
10075105	真・文聘	5
10041006	聖誕翁	4
10041106	真・聖誕翁	4
10042006	雪女	4
10042106	真・雪女	4
10076005	酒神	5
10076105	真・酒神	5
10077004	卑彌呼	4
10077104	真・卑彌呼	4
10078001	子龍	1
10078101	真・子龍	1
10079001	郭嘉	1
10079002	郭嘉	2
10079003	郭嘉	3
10079004	郭嘉	4
10079005	郭嘉	5
10079101	真・郭嘉	1
10079102	真・郭嘉	2
10079103	真・郭嘉	3
10079104	真・郭嘉	4
10079105	真・郭嘉	5
10091001	法正	1
10091002	法正	2
10091003	法正	3
10091004	法正	4
10091005	法正	5
10091101	真・法正	1
10091102	真・法正	2
10091103	真・法正	3
10091104	真・法正	4
10091105	真・法正	5
10092001	華歆	1
10092002	華歆	2
10092003	華歆	3
10092004	華歆	4
10092005	華歆	5
10092101	真・華歆	1
10092102	真・華歆	2
10092103	真・華歆	3
10092104	真・華歆	4
10092105	真・華歆	5
10093001	孫朗	1
10093002	孫朗	2
10093003	孫朗	3
10093004	孫朗	4
10093005	孫朗	5
10093101	真・孫朗	1
10093102	真・孫朗	2
10093103	真・孫朗	3
10093104	真・孫朗	4
10093105	真・孫朗	5
10094004	武財神	4
10094005	武聖	5
10094104	真・武財神	4
10094105	真・武聖	5
10095002	齊天大聖	2
10095102	真・齊天大聖	2
10096001	孫魯班	1
10096002	孫魯班	2
10096003	孫魯班	3
10096004	孫魯班	4
10096005	孫魯班	5
10096101	真・孫魯班	1
10096102	真・孫魯班	2
10096103	真・孫魯班	3
10096104	真・孫魯班	4
10096105	真・孫魯班	5
10097001	張苞	1
10097002	張苞	2
10097003	張苞	3
10097004	張苞	4
10097005	張苞	5
10097101	真・張苞	1
10097102	真・張苞	2
10097103	真・張苞	3
10097104	真・張苞	4
10097105	真・張苞	5
10098001	魯肅	1
10098002	魯肅	2
10098003	魯肅	3
10098004	魯肅	4
10098005	魯肅	5
10098101	真・魯肅	1
10098102	真・魯肅	2
10098103	真・魯肅	3
10098104	真・魯肅	4
10098105	真・魯肅	5
10099001	劉琦	1
10099002	劉琦	2
10099003	劉琦	3
10099004	劉琦	4
10099005	劉琦	5
10099101	真・劉琦	1
10099102	真・劉琦	2
10099103	真・劉琦	3
10099104	真・劉琦	4
10099105	真・劉琦	5
10102001	八歧大蛇	5
10102101	真·八歧大蛇	5
10103001	刑天	4
10103101	真·刑天	4
