物品ID	商品類型	商品名稱	商店類型	排序	appstore商品id	貨幣	價格	價格	夠買數量	額外贈送	最多夠買個數	自然天限制	自然周限制	自然月限制	最小等級	時間限制(秒)購買建個時間	禮包存在持續時間	开启建筑id	掉落包（所有id不能重複）	觸發夠買等級	活動表id	是否顯示	圖標	描述	領取完的圖標	新手卡獎勵描述1	新手卡獎勵描述2	新手卡tips內容
13	1	大量銅錢	2	7	0	2	1000	1000	2100000	1000000	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0013.png	3100000				
14	2	一堆元寶	2	8	com.game168.yysg.gold72	4	60	60	72	0	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0014.png	72				
15	2	一袋元寶	2	9	com.game168.yysg.gold1	4	90	90	108	0	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0015.png	108				
16	2	一箱元寶	2	10	com.game168.yysg.gold2	4	150	150	180	0	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0016.png	180				
17	2	很多元寶	2	11	com.game168.yysg.gold3	4	300	300	360	0	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0017.png	360				
18	2	大量元寶	2	12	com.game168.yysg.gold4	4	900	900	1080	0	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0018.png	1080				
19	2	巨量元寶	2	13	com.game168.yysg.gold5	4	1500	1500	1800	0	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0019.png	1800				
20	12	召喚禮包	3	3	0	2	225	225	1	0	0	0	0	0	0	0	0	0	1008	0	0	1	images/shop/0020.png	高級符籙x3|隨機精靈怪x1|銅錢 +30000				
21	12	增益禮包	3	4	0	2	750	750	1	0	0	0	0	0	0	0	0	0	1009	0	0	1	images/shop/0021.png	高級符籙x11|水火風精靈怪各1只|銅錢 +100000				
22	12	經驗增幅	3	5	0	2	100	100	1	0	0	0	0	0	0	0	0	0	1010	0	0	1	images/shop/0022.png	1天之內所有武將通過戰鬥獲得的經驗值增加100%				
23	12	經驗增幅	3	6	0	2	200	200	1	0	0	0	0	0	0	0	0	0	1011	0	0	1	images/shop/0023.png	3天之內所有武將通過戰鬥獲得的經驗值增加100%				
24	12	新手禮包	3	1	com.game168.yysg.event8	4	60	60	1	0	1	0	0	0	0	0	0	0	1014	5	0	1	images/shop/0024.png	高級符籙x1|元寶x100|隨機橙色傳說裝備|經驗增幅x12小時				
25	12	中級禮包	3	7	0	4	500	500	1	0	1	0	0	0	0	0	86400	0	1016	10	0	0	images/shop/0020.png	高級符籙x3|元寶x600|銅錢x30000|甄姬覺醒材料				
26	19	新手卡7天	4	1	com.game168.yysg.event1	4	150	150	710	50	0	0	0	0	0	0	604800	0	2001	0	0	1	images/new_player_card/07.png		images/new_player_card/07_taken.png	立獲360元寶	7天內每天50元寶	<font color="#FFFFFF">購買後可立即獲得雙倍的儲值元寶（360元寶），並且還可每天領取50元寶，總共可獲得710元寶。</font>
27	19	新手卡30天	4	2	com.game168.yysg.event4	4	500	500	2700	50	0	0	0	0	0	0	2592000	0	2002	0	0	1	images/new_player_card/30.png		images/new_player_card/30_taken.png	立獲1200元寶	30天內每天50元寶	<font color="#FFFFFF">購買後可立即獲得雙倍的儲值元寶（1200元寶），並且還可每天領取50元寶，總共可獲得2700元寶。</font>
28	12	神魔卷禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	0	1	0	0	0	1800	0	0	1037	0	20002	1						
29	12	小天魔禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	0	0	0	0	0	0	0	0	1044	0	20001	1						
30	12	150元活動禮包	6	2	com.game168.yysg.event1	4	150	150	1	0	0	0	0	0	0	0	0	0	3001	0	0	1	images/shop/0004.png	火屬性符籙X1				
31	12	300元活動禮包	6	3	com.game168.yysg.event2	4	300	300	1	0	0	0	0	0	0	0	0	0	3002	0	0	1	images/shop/0004.png	火屬性符籙X2				
32	12	390元活動禮包	6	4	com.game168.yysg.event3	4	390	400	1	0	0	0	0	0	0	0	0	0	3003	0	0	1	images/shop/0003.png	水屬性符籙X2				
33	12	490元活動禮包	6	5	com.game168.yysg.event4	4	490	500	1	0	0	0	0	0	0	0	0	0	3004	0	0	1	images/shop/0005.png	風屬性符籙X2				
34	12	990元活動禮包	6	6	com.game168.yysg.event5	4	990	1000	1	0	0	0	0	0	0	0	0	0	3005	0	0	1	images/shop/0005.png	風屬性符籙X4				
35	12	1990元活動禮包	6	7	com.game168.yysg.event6	4	1990	2000	1	0	0	0	0	0	0	0	0	0	3006	0	0	1	images/shop/0030.png	神魔符籙X1				
36	12	2990元活動禮包	6	8	com.game168.yysg.event7	4	2990	3000	1	0	0	0	0	0	0	0	0	0	3007	0	0	1	images/shop/0030.png	神魔符籙X2				
37	12	60元活動禮包	6	1	com.game168.yysg.event8	4	60	60	1	0	0	0	0	0	0	0	0	0	3008	0	0	1	images/shop/0002.png	高級符籙X1				
38	12	水屬性召喚禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	0	1	0	0	0	1800	0	0	1038	0	20003	1						
39	12	火屬性召喚禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	0	1	0	0	0	1800	0	0	1039	0	20003	1						
40	12	風屬性召喚禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	0	1	0	0	0	1800	0	0	1040	0	20003	1						
41	12	掃蕩券禮包	5	1	com.game168.yysg.event6	4	1990	2000	1	0	0	0	0	0	0	0	0	0	1061	0	20004	1		掃蕩券X100|50體力x5|元寶X2400|銅錢X100000				
42	12	500元超值回饋禮包	5	2	com.game168.yysg.event4	4	500	500	1	0	0	0	0	0	0	0	0	0	3009	0	20005	1	images/shop/0004.png	高級符籙x2，元寶x700，銅錢x25000				
43	12	1000元超值回饋禮包	5	3	com.game168.yysg.event5	4	1000	1000	1	0	0	0	0	0	0	0	0	0	3010	0	20005	1	images/shop/0004.png	高級符籙x4，元寶x1400，銅錢x50000				
44	12	2000元超值回饋禮包	5	4	com.game168.yysg.event6	4	2000	2000	1	0	0	0	0	0	0	0	0	0	3011	0	20005	1	images/shop/0003.png	高級符籙x10，元寶x2800，銅錢x100000				
45	12	3000元超值回饋禮包（限購1次）	5	5	com.game168.yysg.event7	4	3000	3000	1	0	1	0	0	0	0	0	0	0	3012	0	20005	1	images/shop/0005.png	傳說符籙x1，高級符籙x10，元寶x4200，銅錢x150000				
46	2	天量元寶	2	14	com.game168.yysg.gold6	4	3000	3000	3600	0	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0025.png	3600				
47	12	300元體力經驗禮包	5	1	com.game168.yysg.event2	4	300	300	1	0	0	0	0	0	0	0	0	0	1065	0	20006	1						
48	12	500元體力經驗禮包	5	1	com.game168.yysg.event4	4	500	500	1	0	0	0	0	0	0	0	0	0	1066	0	20006	1						
49	12	1000元體力經驗禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	0	0	0	0	0	0	0	0	1067	0	20006	1						
50	12	2000元體力經驗禮包	5	1	com.game168.yysg.event6	4	2000	2000	1	0	0	0	0	0	0	0	0	0	1068	0	20006	1						
51	20	5連抽	4	1	com.game168.yysg.event8	4	60	60	1	0	1	0	0	0	0	0	0	0	1072	0	0	1	images/new_player_card/5_summon.png	免費5連抽卡|100元寶	images/new_player_card/5_summon_taken.png	立獲100元寶	每抽必得3～5星武將	<font color="#FFFFFF">購買後可立刻獲得100元寶和5次免費元寶召喚的機會。</font>
53	21	改名卡	3	1	0	2	300	300	1	0	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0050.png	修改玩家名稱				
54	12	小天魔禮包*10	7	2	0	4	10000	10000	1	0	0	0	0	0	0	0	0	0	1073	0	0	1						
55	12	小天魔禮包*20	7	2	0	4	20000	20000	1	0	0	0	0	0	0	0	0	0	1074	0	0	1						
56	12	小天魔禮包*30	7	2	0	4	30000	30000	1	0	0	0	0	0	0	0	0	0	1075	0	0	1						
57	12	神魔禮包*10	7	2	0	4	10000	10000	1	0	0	0	0	0	0	0	0	0	1076	0	0	1						
58	12	神魔禮包*20	7	2	0	4	20000	20000	1	0	0	0	0	0	0	0	0	0	1077	0	0	1						
59	12	神魔禮包*30	7	2	0	4	30000	30000	1	0	0	0	0	0	0	0	0	0	1078	0	0	1						
60	12	掃蕩券禮包*5	7	2	0	4	10000	10000	1	0	0	0	0	0	0	0	0	0	1079	0	0	1						
61	12	掃蕩券禮包*10	7	2	0	4	20000	20000	1	0	0	0	0	0	0	0	0	0	1080	0	0	1						
62	12	掃蕩券禮包*15	7	2	0	4	30000	30000	1	0	0	0	0	0	0	0	0	0	1081	0	0	1						
63	12	水屬性強化禮包	5	1	0	2	300	300	1	0	0	1	0	0	0	0	0	0	1032	0	20007	1		水屬性精靈怪x3，3星滿級魔魂怪x1				
64	12	火屬性強化禮包	5	1	0	2	300	300	1	0	0	1	0	0	0	0	0	0	1033	0	20007	1		火屬性精靈怪x3，3星滿級魔魂怪x1				
65	12	風屬性強化禮包	5	1	0	2	300	300	1	0	0	1	0	0	0	0	0	0	1034	0	20007	1		風屬性精靈怪x3，3星滿級魔魂怪x1				
66	12	神屬性強化禮包	5	1	0	2	300	300	1	0	0	1	0	0	0	0	0	0	1035	0	20007	1		神屬性精靈怪x3，3星滿級魔魂怪x1				
67	12	魔屬性強化禮包	5	1	0	2	300	300	1	0	0	1	0	0	0	0	0	0	1036	0	20007	1		魔屬性精靈怪x3，3星滿級魔魂怪x1				
68	12	長生裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20001	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
69	12	青龍裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20002	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
70	12	白虎裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20003	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
71	12	霸王裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20004	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
72	12	乘風裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20005	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
73	12	朱雀裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20006	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
74	12	玄武裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20007	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
75	12	燭龍裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20008	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
76	12	飛仙裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20009	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
77	12	回天裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20010	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
78	12	麒麟裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20011	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
79	12	靈符禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	0	0	0	0	0	0	0	0	1084	0	20009	1		靈符碎片x170，元寶1200，銅錢x50000，體力x50				
80	12	500元七夕禮包	5	2	com.game168.yysg.event4	4	500	500	1	0	0	0	0	0	0	0	0	0	3013	0	20010	1	images/shop/0004.png	高級符籙x2，元寶x700，銅錢x25000				
81	12	1000元七夕禮包	5	3	com.game168.yysg.event5	4	1000	1000	1	0	0	0	0	0	0	0	0	0	3014	0	20010	1	images/shop/0004.png	高級符籙x4，元寶x1400，銅錢x50000				
82	12	2000元七夕禮包	5	4	com.game168.yysg.event6	4	2000	2000	1	0	0	0	0	0	0	0	0	0	3015	0	20010	1	images/shop/0003.png	高級符籙x10，元寶x2800，銅錢x100000				
83	12	3000元七夕禮包	5	5	com.game168.yysg.event7	4	3000	3000	1	0	1	0	0	0	0	0	0	0	3016	0	20010	1	images/shop/0005.png	傳說符籙x1，高級符籙x10，元寶x4200，銅錢x150000				
84	19	30天福利卡	4	3	com.game168.yysg.event4	4	500	500	1500	50	0	0	0	0	0	0	2592000	0	2003	0	0	1	images/new_player_card/31.png		images/new_player_card/31_taken.png		30天內每天50元寶	<font color="#FFFFFF">購買可每天領取50元寶，總共可獲得1500元寶。</font>
85	12	明心裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20012	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
86	12	不屈裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20013	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
87	12	堅韌裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20014	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
88	12	荊棘裝備大禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	10	0	0	0	0	0	0	0	20015	0	20008	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
89	25	（團購）增益禮包	5	1	0	2	750	750	1	0	10	0	0	0	0	0	0	0	15007	0	20011	1	images/shop21.png	高級符籙x11|水火風精靈怪各1只|銅錢 +100000				
90	12	3000元超值回饋禮包2	5	5	com.game168.yysg.event7	4	3000	3000	1	0	0	0	0	0	0	0	0	0	3112	0	20005	1	images/shop/0005.png	高級符籙x10，元寶x4200，銅錢x150000				
91	12	免費卸裝備禮包	5	1	com.game168.yysg.event4	4	500	500	1	0	0	0	0	0	0	0	0	0	1088	0	20012	1						
92	12	小天魔限購禮包	5	1	com.game168.yysg.event2	4	300	300	1	0	0	0	0	0	0	0	0	0	18001	0	20013	1						
93	12	靈符碎片限購禮包	5	1	com.game168.yysg.event4	4	500	500	1	0	0	0	0	0	0	0	0	0	18002	0	20014	1						
94	12	封印珠禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	0	0	0	0	0	0	0	0	1089	0	10016	1		高級裝備x5，元寶1200，銅錢x50000，體力x50				
95	12	魂石禮包	5	1	com.game168.yysg.event4	4	500	500	1	0	0	0	0	0	0	0	0	0	1090	0	10017	1						
96	12	魂石禮包	5	1	com.game168.yysg.event4	4	500	500	1	0	0	0	0	0	0	0	0	0	1091	0	10017	1						
97	12	魂石禮包	5	1	com.game168.yysg.event4	4	500	500	1	0	0	0	0	0	0	0	0	0	1092	0	10017	1						
98	12	魂石禮包	5	1	com.game168.yysg.event4	4	500	500	1	0	0	0	0	0	0	0	0	0	1093	0	10017	1						
99	12	魂石禮包	5	1	com.game168.yysg.event4	4	500	500	1	0	0	0	0	0	0	0	0	0	1094	0	10017	1						
100	12	掃蕩券限購禮包	5	1	0	2	300	300	1	0	3	0	0	0	0	0	0	0	1095	0	10015	1						
101	12	體力限購禮包	5	1	0	2	240	240	1	0	3	0	0	0	0	0	0	0	1096	0	10015	1						
113	12	少量掃蕩券	2	3	0	2	50	50	1	0	0	0	0	0	0	0	0	0	1510001	0	0	1	images/shop/0040.png	掃蕩券X20				
114	12	中量掃蕩券	2	3	0	2	110	110	1	0	0	0	0	0	0	0	0	0	1510002	0	0	1	images/shop/29.png	掃蕩券X50				
115	12	大量掃蕩券	2	3	0	2	200	200	1	0	0	0	0	0	0	0	0	0	1510003	0	0	1	images/shop/30.png	掃蕩券X100				
116	12	高級符籙	8	1	0	7	200	200	1	0	1	0	1	0	0	0	0	0	2100001	0	0	1	images/shop/0002.png	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。				
117	12	水系符籙	8	2	0	7	250	250	1	0	1	0	1	0	0	0	0	0	2100002	0	0	1	images/shop/0003.png	蘊含神秘力量的符籙。|可召喚1名水屬性3~5星的武將。|結果無法預測。				
118	12	火系符籙	8	3	0	7	250	250	1	0	1	0	1	0	0	0	0	0	2100003	0	0	1	images/shop/0004.png	蘊含神秘力量的符籙。|可召喚1名火屬性3~5星的武將。|結果無法預測。				
119	12	風系符籙	8	4	0	7	250	250	1	0	1	0	1	0	0	0	0	0	2100004	0	0	1	images/shop/0005.png	蘊含神秘力量的符籙。|可召喚1名風屬性3~5星的武將。|結果無法預測。				
120	12	魔魂怪	8	5	0	7	150	150	1	0	1	0	1	0	0	0	0	0	2100005	0	0	1	images/shop/0043.png	4星30級的魔魂怪。|武將用其可以進化。				
121	12	靈符碎片*15	8	6	0	7	170	170	1	0	3	0	1	0	0	0	0	0	2100006	0	0	1	images/icon/lingfusuipian_big.png	可以召喚特定武將的神奇符籙。|可召喚3-5星武將				
122	12	傳奇符籙碎片*5	8	7	0	7	200	200	1	0	5	0	1	0	0	0	0	0	2100007	0	0	1	images/shop/chuanqi_suipian.png	蘊含神秘力量的传奇符籙碎片。|可召喚1名4~5星的武將。|結果無法預測。				
123	12	郭嘉碎片*10	8	8	0	7	450	450	1	0	2	0	1	0	0	0	0	0	2100008	0	0	1	images/shop/guojia_icon2.png	可召喚出郭嘉的靈符碎片。使用時可隨機從水，火，風屬性中召喚一個。				
124	12	孫朗碎片*10	8	9	0	7	200	200	1	0	0	0	0	0	0	0	0	0	2100009	0	0	1	images/shop/sunlang_icon2.png	可召喚出孫朗的靈符碎片。使用時可隨機從水，火，風屬性中召喚一個。				
125	12	典韋碎片*10	8	10	0	7	350	350	1	0	0	0	0	0	0	0	0	0	2100010	0	0	1	images/shop/dianwei_icon2.png	可召喚出典韋的靈符碎片。使用時可隨機從水，火，風屬性中召喚一個。				
126	12	靈符禮包I	9	5	com.game168.yysg.event2	4	300	300	1	0	1	0	0	1	0	0	0	0	2800001	0	0	1	images/shop/80.png	靈符禮包I				
127	12	靈符禮包II	9	6	com.game168.yysg.event5	4	1000	1000	1	0	1	0	0	1	0	0	0	0	2800002	0	0	1	images/shop/81.png	靈符禮包II				
128	12	靈符禮包III	9	7	com.game168.yysg.event6	4	2000	2000	1	0	1	0	0	1	0	0	0	0	2800003	0	0	1	images/shop/82.png	靈符禮包III				
129	12	靈符禮包IV	9	8	com.game168.yysg.event7	4	3000	3000	1	0	1	0	0	1	0	0	0	0	2800004	0	0	1	images/shop/83.png	靈符禮包IV				
130	12	銅錢禮包I	9	1	com.game168.yysg.event2	4	300	300	1	0	1	0	0	1	0	0	0	0	2800005	0	0	1	images/shop/84.png	銅錢禮包I				
131	12	銅錢禮包II	9	2	com.game168.yysg.event5	4	1000	1000	1	0	1	0	0	1	0	0	0	0	2800006	0	0	1	images/shop/85.png	銅錢禮包II				
132	12	銅錢禮包III	9	3	com.game168.yysg.event6	4	2000	2000	1	0	1	0	0	1	0	0	0	0	2800007	0	0	1	images/shop/86.png	銅錢禮包III				
133	12	銅錢禮包IV	9	4	com.game168.yysg.event7	4	3000	3000	1	0	1	0	0	1	0	0	0	0	2800008	0	0	1	images/shop/87.png	銅錢禮包IV				
134	12	300元紅包禮包	5	1	com.game168.yysg.event2	4	300	300	1	0	0	0	0	0	0	0	0	0	3100001	0	20029	1	images/shop/0016.png	300元紅包禮包				
135	12	1000元紅包禮包	5	1	com.game168.yysg.event5	4	1000	1000	1	0	0	0	0	0	0	0	0	0	3100002	0	20029	1	images/shop/0017.png	1000元紅包禮包				
136	12	2000元紅包禮包	5	1	com.game168.yysg.event6	4	2000	2000	1	0	0	0	0	0	0	0	0	0	3100003	0	20029	1	images/shop/0018.png	2000元紅包禮包				
137	12	3000元紅包禮包	5	1	com.game168.yysg.event7	4	3000	3000	1	0	0	0	0	0	0	0	0	0	3100004	0	20029	1	images/shop/0019.png	3000元紅包禮包				
