編號	名稱	描述#材料名称不要超过4字	功能描述	類型	細分子類	圖示	音效	打開是否彈窗	職業限制	等級限制	品質	夥伴使用前提品質	堆疊數量	背包排序優先順序	天生強化等級	強化消耗比率	普通防禦	普通防禦強化值	絕技防禦	絕技防禦強化值	生命	生命強化值	普通攻擊	普通攻擊強化值	法術攻擊	法術攻擊強化值	絕技攻擊	絕技攻擊強化值	先攻值	強化先攻值係數	金幣價格	合成價格	售出價格	是否可以賣出	是否可銷毀	基礎裝備	材料	生成物品	給予金幣	給予銅幣	給予經驗	給予體力	給予聲望	給予命格	給予掉落	给予鲜花类型（1 2 3）	產出副本	下一等級卷軸	穿戴位置	通過此副本可使用直接製作功能	職業對應禮包	禮包id	是否是等級開禮包	等級開禮包(职业&等级&礼包id)	是否能批量打開（1能0不能）
10100110	虛空項鏈	該道具是虛空項鏈	裝備	1	5	10100110	0	0	1|2|3|4	120	6	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1800	110	160	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100111	1	0	0	0	0	0	0
10100111	混沌項鏈	該道具是混沌項鏈	裝備	1	5	10100111	0	0	1|2|3|4	130	6	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	2000	120	180	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100112	1	0	0	0	0	0	0
10100112	斷界項鏈	該道具是斷界項鏈	裝備	1	5	10100112	0	0	1|2|3|4	140	6	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	2200	130	200	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100113	1	0	0	0	0	0	0
10100113	深淵項鏈	該道具是深淵項鏈	裝備	1	5	10100113	0	0	1|2|3|4	150	6	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	2600	150	220	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100114	1	0	0	0	0	0	0
10100114	星空項鏈	該道具是星空項鏈	裝備	1	5	10100114	0	0	1|2|3|4	160	7	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	3000	170	240	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100115	1	0	0	0	0	0	0
10100115	元素項鏈	該道具是元素項鏈	裝備	1	5	10100115	0	0	1|2|3|4	170	7	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	3400	220	260	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100116	1	0	0	0	0	0	0
10100116	暗影項鏈	該道具是暗影項鏈	裝備	1	5	10100116	0	0	1|2|3|4	180	7	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	3800	270	280	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
10100201	普通護符	該道具是普通護符	裝備	1	5	10100201	0	0	5	1	2	0	1	10	1	6000	0	0	0	0	0	0	0	0	0	0	30	10	0	1	199	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100202	1	0	0	0	0	0	0
10100202	優秀護符	該道具是優秀護符	裝備	1	5	10100202	0	0	5	20	3	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	100	20	0	2	299	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100203	1	0	0	0	0	0	0
10100203	精良護符	該道具是精良護符	裝備	1	5	10100203	0	0	5	40	4	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	350	35	20	2	399	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100204	1	0	0	0	0	0	0
10100204	火焰護符	該道具是火焰護符	裝備	1	5	10100204	0	0	5	60	4	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	600	50	40	2	499	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100205	1	0	0	0	0	0	0
10100205	寒冰護符	該道具是寒冰護符	裝備	1	5	10100205	0	0	5	70	4	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	800	60	60	2	599	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100206	1	0	0	0	0	0	0
10100206	狂風護符	該道具是狂風護符	裝備	1	5	10100206	0	0	5	80	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1000	70	80	2	699	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100207	1	0	0	0	0	0	0
10100207	雷霆護符	該道具是雷霆護符	裝備	1	5	10100207	0	0	5	90	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1200	80	100	2	799	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100208	1	0	0	0	0	0	0
10100208	聖光護符	該道具是聖光護符	裝備	1	5	10100208	0	0	5	100	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1400	90	120	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100209	1	0	0	0	0	0	0
10100209	暗黑護符	該道具是暗黑護符	裝備	1	5	10100209	0	0	5	110	6	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1600	100	140	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100210	1	0	0	0	0	0	0
10100210	虛空護符	該道具是虛空護符	裝備	1	5	10100210	0	0	5	120	6	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1800	110	160	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100211	1	0	0	0	0	0	0
10100211	混沌護符	該道具是混沌護符	裝備	1	5	10100211	0	0	5	130	6	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	2000	120	180	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100212	1	0	0	0	0	0	0
10100212	斷界護符	該道具是斷界護符	裝備	1	5	10100212	0	0	5	140	6	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	2200	130	200	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100213	1	0	0	0	0	0	0
10100213	深淵護符	該道具是深淵護符	裝備	1	5	10100213	0	0	5	150	6	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	2600	150	220	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100214	1	0	0	0	0	0	0
10100214	星空護符	該道具是星空護符	裝備	1	5	10100214	0	0	5	160	7	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	3000	170	240	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100215	1	0	0	0	0	0	0
10100215	元素護符	該道具是元素護符	裝備	1	5	10100215	0	0	5	170	7	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	3400	220	260	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100216	1	0	0	0	0	0	0
10100216	暗影護符	該道具是暗影護符	裝備	1	5	10100216	0	0	5	180	7	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	3800	270	280	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
10100301	普通手套	該道具是普通手套	裝備	1	1	10100301	0	0	1|2|3|4|5	1	2	0	1	10	1	1350	20	4	29	5	0	0	0	0	0	0	0	0	0	1	99	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100302	2	0	0	0	0	0	0
10100302	優秀手套	該道具是優秀手套	裝備	1	1	10100302	0	0	1|2|3|4|5	20	3	0	1	10	1	3000	69	6	104	9	0	0	0	0	0	0	0	0	0	2	199	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100303	2	0	0	0	0	0	0
10100303	精良手套	該道具是精良手套	裝備	1	1	10100303	0	0	1|2|3|4|5	40	4	0	1	10	1	3000	117	8	176	11	0	0	0	0	0	0	0	0	20	2	299	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100304	2	0	0	0	0	0	0
10100304	火焰手套	該道具是火焰手套	裝備	1	1	10100304	0	0	1|2|3|4|5	60	4	0	1	10	1	3000	153	9	230	14	0	0	0	0	0	0	0	0	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100305	2	0	0	0	0	0	0
10100305	寒冰手套	該道具是寒冰手套	裝備	1	1	10100305	0	0	1|2|3|4|5	70	4	0	1	10	1	3000	196	11	293	16	0	0	0	0	0	0	0	0	60	2	479	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100306	2	0	0	0	0	0	0
10100306	狂風手套	該道具是狂風手套	裝備	1	1	10100306	0	0	1|2|3|4|5	80	5	0	1	10	1	3000	260	15	510	24	0	0	0	0	0	0	0	0	80	2	579	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100307	2	0	0	0	0	0	0
10100307	雷霆手套	該道具是雷霆手套	裝備	1	1	10100307	0	0	1|2|3|4|5	90	5	0	1	10	1	3000	320	19	720	32	0	0	0	0	0	0	0	0	100	2	679	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100308	2	0	0	0	0	0	0
10100308	聖光手套	該道具是聖光手套	裝備	1	1	10100308	0	0	1|2|3|4|5	100	5	0	1	10	1	3000	380	23	930	40	0	0	0	0	0	0	0	0	120	2	779	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100309	2	0	0	0	0	0	0
10100309	暗黑手套	該道具是暗黑手套	裝備	1	1	10100309	0	0	1|2|3|4|5	110	6	0	1	10	1	3000	500	27	1200	48	0	0	0	0	0	0	0	0	140	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100310	2	0	0	0	0	0	0
10100310	虛空手套	該道具是虛空手套	裝備	1	1	10100310	0	0	1|2|3|4|5	120	6	0	1	10	1	3000	620	31	1470	56	0	0	0	0	0	0	0	0	160	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100311	2	0	0	0	0	0	0
10100311	混沌手套	該道具是混沌手套	裝備	1	1	10100311	0	0	1|2|3|4|5	130	6	0	1	10	1	3000	740	35	1740	64	0	0	0	0	0	0	0	0	180	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100312	2	0	0	0	0	0	0
10100312	斷界手套	該道具是斷界手套	裝備	1	1	10100312	0	0	1|2|3|4|5	140	6	0	1	10	1	3000	860	39	2010	72	0	0	0	0	0	0	0	0	200	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100313	2	0	0	0	0	0	0
10100313	深淵手套	該道具是深淵手套	裝備	1	1	10100313	0	0	1|2|3|4|5	150	6	0	1	10	1	3000	1100	47	2550	88	0	0	0	0	0	0	0	0	220	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100314	2	0	0	0	0	0	0
10100314	星空手套	該道具是星空手套	裝備	1	1	10100314	0	0	1|2|3|4|5	160	7	0	1	10	1	3000	1340	55	3090	104	0	0	0	0	0	0	0	0	240	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100315	2	0	0	0	0	0	0
10100315	元素手套	該道具是元素手套	裝備	1	1	10100315	0	0	1|2|3|4|5	170	7	0	1	10	1	3000	1580	73	3630	135	0	0	0	0	0	0	0	0	260	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100316	2	0	0	0	0	0	0
10100316	暗影手套	該道具是暗影手套	裝備	1	1	10100316	0	0	1|2|3|4|5	180	7	0	1	10	1	3000	1820	91	4170	166	0	0	0	0	0	0	0	0	280	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
10100401	普通長劍	該道具是普通長劍	裝備	1	6	10100401	0	0	3	1	2	0	1	10	1	3000	0	0	0	0	0	0	110	15	0	0	17	2	0	1	159	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100402	3	0	0	0	0	0	0
10100402	優秀長劍	該道具是優秀長劍	裝備	1	6	10100402	0	0	3	20	3	0	1	10	1	10000	0	0	0	0	0	0	200	23	0	0	28	3	0	2	239	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100403	3	0	0	0	0	0	0
10100403	精良長劍	該道具是精良長劍	裝備	1	6	10100403	0	0	3	40	4	0	1	10	1	10000	0	0	0	0	0	0	380	39	0	0	42	4	20	2	359	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100404	3	0	0	0	0	0	0
10100404	火焰長劍	該道具是火焰長劍	裝備	1	6	10100404	0	0	3	60	4	0	1	10	1	10000	0	0	0	0	0	0	500	51	0	0	56	5	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100405	3	0	0	0	0	0	0
10100405	寒冰長劍	該道具是寒冰長劍	裝備	1	6	10100405	0	0	3	70	4	0	1	10	1	10000	0	0	0	0	0	0	750	66	0	0	65	6	60	2	499	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100406	3	0	0	0	0	0	0
10100406	狂風長劍	該道具是狂風長劍	裝備	1	6	10100406	0	0	3	80	5	0	1	10	1	10000	0	0	0	0	0	0	1000	80	0	0	74	7	80	2	599	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100407	3	0	0	0	0	0	0
10100407	雷霆長劍	該道具是雷霆長劍	裝備	1	6	10100407	0	0	3	90	5	0	1	10	1	10000	0	0	0	0	0	0	1500	100	0	0	83	8	100	2	699	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100408	3	0	0	0	0	0	0
10100408	聖光長劍	該道具是聖光長劍	裝備	1	6	10100408	0	0	3	100	5	0	1	10	1	10000	0	0	0	0	0	0	2000	120	0	0	108	9	120	2	799	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100409	3	0	0	0	0	0	0
10100409	暗黑長劍	該道具是暗黑長劍	裝備	1	6	10100409	0	0	3	110	6	0	1	10	1	10000	0	0	0	0	0	0	2500	140	0	0	130	10	140	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100410	3	0	0	0	0	0	0
10100410	虛空長劍	該道具是虛空長劍	裝備	1	6	10100410	0	0	3	120	6	0	1	10	1	10000	0	0	0	0	0	0	3000	160	0	0	152	11	160	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100411	3	0	0	0	0	0	0
10100411	混沌長劍	該道具是混沌長劍	裝備	1	6	10100411	0	0	3	130	6	0	1	10	1	10000	0	0	0	0	0	0	3500	180	0	0	174	12	180	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100412	3	0	0	0	0	0	0
10100412	斷界長劍	該道具是斷界長劍	裝備	1	6	10100412	0	0	3	140	6	0	1	10	1	10000	0	0	0	0	0	0	4000	200	0	0	196	13	200	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100413	3	0	0	0	0	0	0
10100413	深淵長劍	該道具是深淵長劍	裝備	1	6	10100413	0	0	3	150	6	0	1	10	1	10000	0	0	0	0	0	0	5000	240	0	0	240	15	220	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100414	3	0	0	0	0	0	0
10100414	星空長劍	該道具是星空長劍	裝備	1	6	10100414	0	0	3	160	7	0	1	10	1	10000	0	0	0	0	0	0	6000	280	0	0	280	17	240	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100415	3	0	0	0	0	0	0
10100415	元素長劍	該道具是元素長劍	裝備	1	6	10100415	0	0	3	170	7	0	1	10	1	10000	0	0	0	0	0	0	7000	320	0	0	320	22	260	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100416	3	0	0	0	0	0	0
10100416	暗影長劍	該道具是暗影長劍	裝備	1	6	10100416	0	0	3	180	7	0	1	10	1	10000	0	0	0	0	0	0	8000	360	0	0	360	27	280	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
10100501	普通匕首	該道具是普通匕首	裝備	1	6	10100501	0	0	1	1	2	0	1	10	1	3000	0	0	0	0	0	0	110	15	0	0	17	2	0	1	159	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100502	3	0	0	0	0	0	0
10100502	優秀匕首	該道具是優秀匕首	裝備	1	6	10100502	0	0	1	20	3	0	1	10	1	10000	0	0	0	0	0	0	200	23	0	0	28	3	0	2	239	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100503	3	0	0	0	0	0	0
10100503	精良匕首	該道具是精良匕首	裝備	1	6	10100503	0	0	1	40	4	0	1	10	1	10000	0	0	0	0	0	0	380	39	0	0	42	4	20	2	359	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100504	3	0	0	0	0	0	0
10100504	火焰匕首	該道具是火焰匕首	裝備	1	6	10100504	0	0	1	60	4	0	1	10	1	10000	0	0	0	0	0	0	500	51	0	0	56	5	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100505	3	0	0	0	0	0	0
10100505	寒冰匕首	該道具是寒冰匕首	裝備	1	6	10100505	0	0	1	70	4	0	1	10	1	10000	0	0	0	0	0	0	750	66	0	0	65	6	60	2	499	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100506	3	0	0	0	0	0	0
10100506	狂風匕首	該道具是狂風匕首	裝備	1	6	10100506	0	0	1	80	5	0	1	10	1	10000	0	0	0	0	0	0	1000	80	0	0	74	7	80	2	599	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100507	3	0	0	0	0	0	0
10100507	雷霆匕首	該道具是雷霆匕首	裝備	1	6	10100507	0	0	1	90	5	0	1	10	1	10000	0	0	0	0	0	0	1500	100	0	0	83	8	100	2	699	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100508	3	0	0	0	0	0	0
10100508	聖光匕首	該道具是聖光匕首	裝備	1	6	10100508	0	0	1	100	5	0	1	10	1	10000	0	0	0	0	0	0	2000	120	0	0	108	8	120	2	799	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100509	3	0	0	0	0	0	0
10100509	暗黑匕首	該道具是暗黑匕首	裝備	1	6	10100509	0	0	1	110	6	0	1	10	1	10000	0	0	0	0	0	0	2500	140	0	0	130	10	140	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100510	3	0	0	0	0	0	0
10100510	虛空匕首	該道具是虛空匕首	裝備	1	6	10100510	0	0	1	120	6	0	1	10	1	10000	0	0	0	0	0	0	3000	160	0	0	152	12	160	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100511	3	0	0	0	0	0	0
10100511	混沌匕首	該道具是混沌匕首	裝備	1	6	10100511	0	0	1	130	6	0	1	10	1	10000	0	0	0	0	0	0	3500	180	0	0	174	14	180	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100512	3	0	0	0	0	0	0
10100512	斷界匕首	該道具是斷界匕首	裝備	1	6	10100512	0	0	1	140	6	0	1	10	1	10000	0	0	0	0	0	0	4000	200	0	0	196	16	200	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100513	3	0	0	0	0	0	0
10100513	深淵匕首	該道具是深淵匕首	裝備	1	6	10100513	0	0	1	150	6	0	1	10	1	10000	0	0	0	0	0	0	5000	240	0	0	240	15	220	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100514	3	0	0	0	0	0	0
10100514	星空匕首	該道具是星空匕首	裝備	1	6	10100514	0	0	1	160	7	0	1	10	1	10000	0	0	0	0	0	0	6000	280	0	0	280	17	240	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100515	3	0	0	0	0	0	0
10100515	元素匕首	該道具是元素匕首	裝備	1	6	10100515	0	0	1	170	7	0	1	10	1	10000	0	0	0	0	0	0	7000	320	0	0	320	22	260	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100516	3	0	0	0	0	0	0
10100516	暗影匕首	該道具是暗影匕首	裝備	1	6	10100516	0	0	1	180	7	0	1	10	1	10000	0	0	0	0	0	0	8000	360	0	0	360	27	280	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
10100601	普通長弓	該道具是普通長弓	裝備	1	6	10100601	0	0	2	1	2	0	1	10	1	3000	0	0	0	0	0	0	110	15	0	0	17	2	0	1	159	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100602	3	0	0	0	0	0	0
10100602	優秀長弓	該道具是優秀長弓	裝備	1	6	10100602	0	0	2	20	3	0	1	10	1	10000	0	0	0	0	0	0	200	23	0	0	28	3	0	2	239	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100603	3	0	0	0	0	0	0
10100603	精良長弓	該道具是精良長弓	裝備	1	6	10100603	0	0	2	40	4	0	1	10	1	10000	0	0	0	0	0	0	380	39	0	0	42	4	20	2	359	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100604	3	0	0	0	0	0	0
10100604	火焰長弓	該道具是火焰長弓	裝備	1	6	10100604	0	0	2	60	4	0	1	10	1	10000	0	0	0	0	0	0	500	51	0	0	56	5	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100605	3	0	0	0	0	0	0
10100605	寒冰長弓	該道具是寒冰長弓	裝備	1	6	10100605	0	0	2	70	4	0	1	10	1	10000	0	0	0	0	0	0	750	66	0	0	65	6	60	2	499	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100606	3	0	0	0	0	0	0
10100606	狂風長弓	該道具是狂風長弓	裝備	1	6	10100606	0	0	2	80	5	0	1	10	1	10000	0	0	0	0	0	0	1000	80	0	0	74	7	80	2	599	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100607	3	0	0	0	0	0	0
10100607	雷霆長弓	該道具是雷霆長弓	裝備	1	6	10100607	0	0	2	90	5	0	1	10	1	10000	0	0	0	0	0	0	1500	100	0	0	83	8	100	2	699	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100608	3	0	0	0	0	0	0
10100608	聖光長弓	該道具是聖光長弓	裝備	1	6	10100608	0	0	2	100	5	0	1	10	1	10000	0	0	0	0	0	0	2000	120	0	0	108	8	120	2	799	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100609	3	0	0	0	0	0	0
10100609	暗黑長弓	該道具是暗黑長弓	裝備	1	6	10100609	0	0	2	110	6	0	1	10	1	10000	0	0	0	0	0	0	2500	140	0	0	130	10	140	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100610	3	0	0	0	0	0	0
10100610	虛空長弓	該道具是虛空長弓	裝備	1	6	10100610	0	0	2	120	6	0	1	10	1	10000	0	0	0	0	0	0	3000	160	0	0	152	12	160	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100611	3	0	0	0	0	0	0
10100611	混沌長弓	該道具是混沌長弓	裝備	1	6	10100611	0	0	2	130	6	0	1	10	1	10000	0	0	0	0	0	0	3500	180	0	0	174	14	180	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100612	3	0	0	0	0	0	0
10100612	斷界長弓	該道具是斷界長弓	裝備	1	6	10100612	0	0	2	140	6	0	1	10	1	10000	0	0	0	0	0	0	4000	200	0	0	196	16	200	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100613	3	0	0	0	0	0	0
