稱號編號	稱號說明	品質顏色	稱號類型	時效	功能編號	次數要求	屬性ID	屬性值	獎勵銀幣	描述	圖示	是否特效
54	一生一世	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_241	0
55	不離不棄	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_242	0
56	地老天荒	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_243	0
57	天長地久	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_244	0
58	情投意合	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_245	0
59	青梅竹馬	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_246	0
60	傲視群雄	4	2	1296000	0	1	1	0	10000	跨服爭霸賽第一名可獲得	chenghao_247	0
61	白羊座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_248	0
62	金牛座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_249	0
63	射手座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_250	0
64	巨蟹座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_251	0
65	獅子座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_252	0
66	天秤座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_253	0
67	處女座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_254	0
68	天蠍座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_255	0
69	雙子座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_256	0
70	摩羯座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_257	0
71	雙魚座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_258	0
72	水瓶座女神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_259	0
73	至尊女神雅典娜	5	2	-1	0	1	1	0	10000	集齊12星座女神稱號即可獲得	chenghao_260	0
74	感恩父親節	4	2	2592000	0	1	1	0	10000	官方活動獲得	chenghao_261	0
75	开斋节兽人内乱称号	5	2	-1	0	1	1	0	10000	參與獸人內亂活動獲得	chenghao_262	0
76	星座大神	4	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_263	0
77	最強王者	5	2	2592000	77	1	1	0	300000	王者之戰總冠軍稱號	chenghao_264	0
78	主宰之劍	5	2	-1	0	1	1	0	10000	VIP達到10級即可購買獲得	chenghao_265	0
79	氣球高手	5	2	-1	0	1	1	0	10000	氣球boom活動中高度達到20000即可獲得	chenghao_266	0
80	伯爵	5	2	-1	0	1	1	0	10000	爵位達到伯爵10星	chenghao_267	0
81	侯爵	5	2	-1	0	1	1	0	10000	爵位達到侯爵10星	chenghao_268	0
82	戰士	5	2	-1	0	1	1	0	10000	爵位達到戰士10星	chenghao_269	0
83	花	5	2	2592000	0	1	1	0	10000	官方活動獲得	chenghao_270	0
84	周年称号	5	2	-1	0	1	1	0	10000	官方活動獲得	chenghao_271	1
