編號	名稱	邮箱中描述	物品描述	禮包icon（大）	禮包icon（小）	魔力	皮膚id	水晶	能量	帮会货币	免费换装备buff	紫魂buff	經驗	聲望	競技場邀請券	好友點數	魔靈	卷軸	物品	精髓	魔灵碎片	魔灵碎片	符文	皮肤	禮包發放後有效時間	類型	广播message表id	數量(前端顯示用)
13002006	銅錢*50000	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002007	120萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	1200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002008	3萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604800	2	0	0
13002009	5萬銅錢	挑戰副本活動送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002010	5萬銅錢	登陸有禮活動送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002011	2萬銅錢	登陸有禮活動送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002012	87萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	870000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002013	175萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	1750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002014	420萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	4200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002015	10萬銅錢	FB邀請活動送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002016	2.5萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002017	銅錢*50000	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002018	10萬铜钱	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002019	15萬铜钱	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002020	3萬銅錢	媒體禮包送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002021	5萬銅錢	媒體禮包送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002022	50萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002023	100萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	1000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002024	150萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	1500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002025	3萬銅錢	抽獎活動送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002026	5萬銅錢	抽獎活動送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002027	15萬銅錢	抽獎活動送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002028	3萬銅錢	寶石活動送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604800	2	0	0
13002029	2萬銅錢	新手目標送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604800	2	0	0
13002030	3萬銅錢	新手目標送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604800	2	0	0
13002031	8萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604800	2	0	0
13002032	1萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604800	2	0	0
13002033	2.5萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002034	銅錢*50000	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002035	10萬铜钱	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002036	15萬铜钱	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002037	1萬銅錢	每日簽到送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604800	2	0	0
13002038	1.5萬銅錢	每日簽到送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002039	2萬銅錢	每日簽到送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002040	2.5萬銅錢	每日簽到送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002041	1萬銅錢	通關送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002042	3萬銅錢	通關送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002043	5萬銅錢	通關送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002044	2000銅錢	中秋活動送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002045	2萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002046	3萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002047	30萬铜钱	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002048	1000銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002049	15萬銅錢	銅錢周卡送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002050	15萬銅錢	銅錢月卡送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13003001	高級符籙*3	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#3	0	0	0	0	0	0	8553600	2	0	0
13003002	高級符籙*11	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#11	0	0	0	0	0	0	8553600	2	0	0
13003003	普通符籙*1	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名1~3星的武將。|結果無法預測。	images/shop/0001.png	images/icon/putongfl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001001#1	0	0	0	0	0	0	8553600	2	0	0
13003004	高級符籙*1	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#1	0	0	0	0	0	0	8553600	2	0	0
13003005	水系符籙*1	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名水屬性3~5星的武將。|結果無法預測。	images/shop/0003.png	images/icon/shuixifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001003#1	0	0	0	0	0	0	8553600	2	0	0
13003105	水系符籙*2	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名水屬性3~5星的武將。|結果無法預測。	images/shop/0003.png	images/icon/shuixifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001003#2	0	0	0	0	0	0	8553600	2	0	0
13003006	火系符籙*1	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名火屬性3~5星的武將。|結果無法預測。	images/shop/0004.png	images/icon/huoxifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001004#1	0	0	0	0	0	0	8553600	2	0	0
13003106	火系符籙*2	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名火屬性3~5星的武將。|結果無法預測。	images/shop/0004.png	images/icon/huoxifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001004#2	0	0	0	0	0	0	8553600	2	0	0
13003007	風系符籙*1	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名風屬性3~5星的武將。|結果無法預測。	images/shop/0005.png	images/icon/fengxifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001005#1	0	0	0	0	0	0	8553600	2	0	0
13003107	風系符籙*2	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名風屬性3~5星的武將。|結果無法預測。	images/shop/0005.png	images/icon/fengxifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001005#2	0	0	0	0	0	0	8553600	2	0	0
13003207	風系符籙*4	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名風屬性3~5星的武將。|結果無法預測。	images/shop/0005.png	images/icon/fengxifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001005#4	0	0	0	0	0	0	8553600	2	0	0
13003008	高級符籙*1	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#1	0	0	0	0	0	0	8553600	2	0	0
13003009	高級符籙*2	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#2	0	0	0	0	0	0	8553600	2	0	0
13003010	高級符籙*3	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#3	0	0	0	0	0	0	8553600	2	0	0
13003011	高級符籙*5	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#5	0	0	0	0	0	0	8553600	2	0	0
13003012	水系符籙*5	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名水屬性3~5星的武將。|結果無法預測。	images/shop/0003.png	images/icon/shuixifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001003#5	0	0	0	0	0	0	8553600	2	0	0
13003013	火系符籙*5	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名火屬性3~5星的武將。|結果無法預測。	images/shop/0004.png	images/icon/huoxifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001004#5	0	0	0	0	0	0	8553600	2	0	0
13003014	風系符籙*5	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名風屬性3~5星的武將。|結果無法預測。	images/shop/0005.png	images/icon/fengxifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001005#5	0	0	0	0	0	0	8553600	2	0	0
13003015	神魔符籙*1	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名神屬性或魔屬性3~5星的武將。|結果無法預測。	images/shop/0030.png	images/icon/shenmofl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001010#1	0	0	0	0	0	0	8553600	2	0	0
13003115	神魔符籙*2	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名神屬性或魔屬性3~5星的武將。|結果無法預測。	images/shop/0030.png	images/icon/shenmofl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001010#2	0	0	0	0	0	0	8553600	2	0	0
13003215	神魔符籙*10	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名神屬性或魔屬性3~5星的武將。|結果無法預測。	images/shop/0030.png	images/icon/shenmofl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001010#10	0	0	0	0	0	0	8553600	2	0	0
13003315	神魔符籙*20	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名神屬性或魔屬性3~5星的武將。|結果無法預測。	images/shop/0030.png	images/icon/shenmofl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001010#20	0	0	0	0	0	0	8553600	2	0	0
13003415	神魔符籙*30	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名神屬性或魔屬性3~5星的武將。|結果無法預測。	images/shop/0030.png	images/icon/shenmofl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001010#30	0	0	0	0	0	0	8553600	2	0	0
13003016	高級符籙*1	挑戰副本活動送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#1	0	0	0	0	0	0	8553600	2	0	0
13003017	高級符籙*7	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#7	0	0	0	0	0	0	8553600	2	0	0
13003018	高級符籙*12	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#12	0	0	0	0	0	0	8553600	2	0	0
13003019	高級符籙*30	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#30	0	0	0	0	0	0	8553600	2	0	0
13003020	神魔符籙*3	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名神屬性或魔屬性3~5星的武將。|結果無法預測。	images/shop/0030.png	images/icon/shenmofl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001010#3	0	0	0	0	0	0	8553600	2	0	0
13003021	神魔符籙*10	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名神屬性或魔屬性3~5星的武將。|結果無法預測。	images/shop/0030.png	images/icon/shenmofl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001010#10	0	0	0	0	0	0	8553600	2	0	0
13003022	高級符籙*2	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#2	0	0	0	0	0	0	8553600	2	0	0
13003023	高級符籙*4	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#4	0	0	0	0	0	0	8553600	2	0	0
13003024	高級符籙*10	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#10	0	0	0	0	0	0	8553600	2	0	0
13003025	傳奇符籙*1	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名4~5星的武將。|結果無法預測。	images/icon/chuanqifl_big.png	images/icon/chuanqifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001011#1	0	0	0	0	0	0	8553600	2	0	0
13003026	高級符籙*1	媒體禮包送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#1	0	0	0	0	0	0	8553600	2	0	0
13003027	高級符籙*1	通天塔送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#1	0	0	0	0	0	0	8553600	2	0	0
13003028	高級符籙*2	通天塔送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#2	0	0	0	0	0	0	8553600	2	0	0
13003029	神魔符籙*1	通天塔送來的禮物	蘊含神秘力量的符籙。|可召喚1名神屬性或魔屬性3~5星的武將。|結果無法預測。	images/shop/0030.png	images/icon/shenmofl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001010#1	0	0	0	0	0	0	8553600	2	0	0
13003030	傳奇符籙*1	通天塔送來的禮物	蘊含神秘力量的符籙。|可召喚1名4~5星的武將。|結果無法預測。	images/icon/chuanqifl_big.png	images/icon/chuanqifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001011#1	0	0	0	0	0	0	8553600	2	0	0
13003031	高級符籙*1	抽獎活動送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#1	0	0	0	0	0	0	8553600	2	0	0
13003032	高級符籙*1	寶石活動送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#1	0	0	0	0	0	0	8553600	2	0	0
13003033	靈符碎片*170	系統送來的禮物	可以召喚特定武將的神奇符籙。|可召喚3-5星武將|	images/icon/lingfusuipian_big.png	images/icon/lingfusuipian_small.png	0	0	0	0	0	0	0	0	0	0	0	0	93001001#170	0	0	0	0	0	0	8553600	2	0	0
13003034	靈符碎片*5	系統送來的禮物	可以召喚特定武將的神奇符籙。|可召喚3-5星武將|	images/icon/lingfusuipian_big.png	images/icon/lingfusuipian_small.png	0	0	0	0	0	0	0	0	0	0	0	0	93001001#5	0	0	0	0	0	0	8553600	2	0	0
13003035	靈符碎片*500	系統送來的禮物	可以召喚特定武將的神奇符籙。|可召喚3-5星武將|	images/icon/lingfusuipian_big.png	images/icon/lingfusuipian_small.png	0	0	0	0	0	0	0	0	0	0	0	0	93001001#500	0	0	0	0	0	0	8553600	2	0	0
13003036	神魔符籙*1	新手目標送來的禮物	蘊含神秘力量的符籙。|可召喚1名神屬性或魔屬性3~5星的武將。|結果無法預測。	images/shop/0030.png	images/icon/shenmofl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001010#1	0	0	0	0	0	0	8553600	2	0	0
13003037	高級符籙*1	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#1	0	0	0	0	0	0	8553600	2	0	0
13003038	神魔符籙*1	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名神屬性或魔屬性3~5星的武將。|結果無法預測。	images/shop/0030.png	images/icon/shenmofl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001010#1	0	0	0	0	0	0	8553600	2	0	0
13003039	傳奇符籙*1	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名4~5星的武將。|結果無法預測。	images/icon/chuanqifl_big.png	images/icon/chuanqifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001011#1	0	0	0	0	0	0	8553600	2	0	0
13003040	高級符籙*2	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#2	0	0	0	0	0	0	8553600	2	0	0
13003041	高級符籙*4	系統送來的禮物	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。	images/icon/gaojifl_big.png	images/icon/gaojifl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001002#4	0	0	0	0	0	0	8553600	2	0	0
