ID	名稱	活動類型	活動描述	禮包ID	地圖ID	地图关卡	夥伴ID	基本數值，例如萬分比、完成數等	活動是否開啟	每個帳號參與次數	每個帳號每天參與的次數	每天出現次數	前置條件	每天開始時間	每天結束時間	延时领取\使用	圖片	活动类型	活动介绍	活動入口（图集图片以#开头）	活动内容	入口所打开的窗口名	活動同時出現在某一界面的順序（从小到大）	活动结束前端展示时间	个人活动持续时间
10019	新年簽到	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	images/xinnianqiandao_banner.png		XinnianqiandaoLayer			0	604800
10020	慶猴年	1		0	0	0	0	0	0	4	0	0	0	0	0	0		2	images/monkey_year_collection.png		MonkeyYearLayer			0	604800
10021	三國之爭	1	抽取蜀國武將	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	images/women_summon.png		WomenSummonLayer			0	
10022	等級覺醒材料禮包	1	覺醒材料等級禮包	0	0	0	0	0	1	1	0	0	0	0	0	0		2							
10023	等級裝備禮包	1	裝備等級禮包	0	0	0	0	0	1	1	0	0	0	0	0	0		2							
20024	搶購禮包	2	搶購禮包	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
20025	皮膚禮包	2	皮膚禮包	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
20026	经验双倍	1	经验双倍	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
20027	消費送大禮	1	消費送大禮	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	images/consumerebate.png		ConsumeRebateLayer				
20028	FB分享	1	FB分享	0	0	0	0	0	0	0	1	1	0	0	0	0		6	images/qiandao.png		FBShareLayer			0	
20029	送紅包	1	送紅包	0	0	0	0	0	0	0	0	0	0	0	0	0		2	images/hongbao_rebate.png		HongbaoLayer			0	
20030	夏日大作戰	1	夏日大作戰	0	0	0	0	0	0	0	0	0	0	0	0	0		2	images/activity/summer.png		SummerLayer			0	
20031	幸運大轉盤	1	幸運大轉盤	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	images/activity/guaguale.png		GuagualeLayer				
20032	粽有惊喜	1	端午节	0	0	0	0	0	0	100	0	0	0	0	0	0	0	2	images/activity/duanwu.png		DuanWuLayer				
20033	大富翁	1	大富翁	0	0	0	0	0	0	100	0	0	0	0	0	0	0	2	images/activity/duanwu.png		DuanWuLayer				
20034	突破武將大禮包	2	規定時間優惠突破武將禮包	0	0	0	0	0	0	2	0	0	0	0	0	0		0						0	
