mid	描述	名字	是否筛选
1804	領悟改命	eMessageTypeZhangDaoLing	0
1805		eMessageTypeOneKeyLieMing	0
1806		eMessageTypeSavePlayerMingGe	0
1807		eMessageTypeSaveBeiBaoAndRoleMingGe	0
1808		eMessageTypeMingGeBeiBao	0
1809		eMessageTypeMingGeSuiPian	0
1810		eMessageTypeRoleMingGe	0
1811		eMessageTypeMingGeKeZhan	0
1812		eMessageTypeLieMingResult	0
1813		eMessageTypeDropBeiBaoMingGe	0
1814		eMessageTypeDropRoleMingGe	0
1815		eMessageTypeSaveRoleMingGe	0
1816		eMessageTypeYellowStar	0
1817		eMessageTypeLoadHuntLog	0
1818		eMessageTypeSaveHuntLog	0
1819		eMessageTypeHuntLog	0
1820	星宿背包開孔	eMessageTypeExpandMingGeBeiBao	0
1821		eMessageTypeLieMingError	0
1822		eMessageTypeKeZhanMingGeSold	0
1823		eMessageTypeKeZhanMingGePicked	0
1824		eMessageTypeOnMingGeSuccess	0
1825		eMessageTypeOffMingGeSuccess	0
1826		eMessageTypeMoveBeiBaoMingGeSuccess	0
1827		eMessageTypeMoveRoleMingGeSuccess	0
1828		eMessageTypeMoveStarFailed	0
1829		eMessageTypeExchangeQianLiHuo	0
1830		eMessageTypeChangeStarAuto	0
1831		eMessageTypeChangeStarAutoSuc	0
2048		eMessageTypeEnterCityScene	0
2049		eMessageTypeExitCurrentCityScene	0
2050		eMessageTypeUpdateCityScenePlayerStatus	0
2051		eMessageTypeSavePlayerCitySceneInfo	0
2052		eMessageTypeEnteredCityScene	0
2053		eMessageTypeCityScenePlayerList	0
2054		eMessageTypePlayerEnterCityScene	0
2055		eMessageTypePlayerExitCityScene	0
2056		eMessageTypePlayerStatusUpdate	0
2057		eMessageTypeLoadWorldCityScene	0
2058		eMessageTypeExitCityScene	0
2059		eMessageTypePlayerMoveInCityScene	0
2060		eMessageTypePlayerTelesportInCityScene	0
2061		eMessageTypeAllowEnterBattleScene	0
2062		eMessageTypeDismissBattleScene	0
2063		eMessageTypeBattleSceneAlterPartner	0
2064		eMessageTypeBattleSceneKickMember	0
2065		eMessageTypeBattleSceneLoadFormation	0
2066		eMessageTypeBattleSceneEditFormation	0
2067		eMessageTypeBattleSceneFormation	0
2068		eMessageTypeBattleSceneMembers	0
2069		eMessageTypeBattleSceneMemberJoined	0
2070		eMessageTypeBattleSceneMemberQuit	0
2071		eMessageTypeBattleSceneMemberStatusUpdated	0
2304		eMessageTypeLoadRoleEquips	0
2305		eMessageTypeLoadRoleEquip	0
2306		eMessageTypeLoadBackpackEquip	0
2307	装备强化	eMessageTypeEquipStrengthen	0
2308		eMessageTypeOnRoleEquip	0
2309		eMessageTypeOffRoleEquip	0
2310		eMessageTypeSaveRoleEquip	0
2311		eMessageTypeSaveBackpacksAndRoleEquip	0
2312		eMessageTypeRoleEquips	0
2313		eMessageTypeRoleOneEquip	0
2314		eMessageTypeBackpackEquip	0
2315	合成下一级装备	eMessageTypeUpgradeRoleEquip	0
2316		eMessageTypeBatchOnRoleEquips	0
2317		eMessageTypeConfirmOnOffRoleEquip	0
2560		eMessageTypeLoadRolePeiYang	0
2561	培养	eMessageTypeTryPeiYang	0
2562		eMessageTypeSaveRoleTempPeiYang	0
2563		eMessageTypeSaveRolePeiYang	0
2564		eMessageTypeRolePeiYang	0
2565		eMessageTypeRoleTempPeiYang	0
2566		eMessageTypeRoleTempPeiYangSaved	0
2567		eMessageTypeLoadRoleMedicine	0
2568	吃藥劑	eMessageTypeTakeMedicine	0
2569		eMessageTypeSaveMedicineRelated	0
2570		eMessageTypeRoleMedicine	0
2571		eMessageTypeLoadQiShu	0
2572	升级奇术	eMessageTypeUpgradeQiShu	0
2573		eMessageTypeSaveQiShu	0
2574		eMessageTypeQiShuInfo	0
2816		eMessageTypeLoadQuJingInfo	0
2817		eMessageTypeSubscribeQuJingScene	0
2818		eMessageTypeUnsubscribeQuJingScene	0
2819	刷新船隻	eMessageTypeRefreshQuJingShiZhe	0
2820	护送鼓舞	eMessageTypeQuJingInspire	0
2821		eMessageTypeQuJing	0
2822		eMessageTypeLoadLanJieInfo	0
2823		eMessageTypeLanJie	0
2824		eMessageTypeLoadRuLaiShangXiangInfo	0
2825	祭拜媽祖	eMessageTypeRuLaiShangXiang	0
2826	结束取经	eMessageTypeFinishQuJing	0
2827		eMessageTypeFinishRuLaiShangXiang	0
2828		eMessageTypeLoadQuJingScene	0
2829		eMessageTypeSaveQuJingRelated	0
2830		eMessageTypeSaveRuLaiShangXiang	0
2831		eMessageTypeLanJieSuccess	0
2832		eMessageTypeQuJingInfo	0
2833		eMessageTypeQuJingFinished	0
2834		eMessageTypeQuJingNews	0
2835		eMessageTypeQuJingPlayerList	0
2836		eMessageTypeSomePlayerBeginQuJing	0
2837		eMessageTypeSomePlayerFinishQuJing	0
2838		eMessageTypeLanJieInfo	0
2839		eMessageTypeOnQuJingDefence	0
2840		eMessageTypeQuJingDefenceResult	0
2841		eMessageTypeRuLanShangXiangInfo	0
2842		eMessageTypeSaveQuJingPlayer	0
2843		eMessageTypeOnSuccessStartQuJing	0
2844		eMessageTypeClearHuSongCD	0
2845		eMessageTypeReduceHuSongCD	0
2846		eMessageTypeChangeHuSongCD	0
2847	減少尋仙CD	eMessageTypeHuSongCDResponse	0
2848	召喚龍船	eMessageTypeSummonTangSeng	0
2849	清除拦截CD	eMessageTypeClearLanJieCD	0
2850		eMessageTypeLanJieCDResponse	0
2851		eMessageTypeLoadRuLaiBurnLog	0
2852		eMessageTypeSaveRuLaiBurnLog	0
2853		eMessageTypeRuLaiBurnLog	0
2854		eMessageTypeLoadHuSongFriends	0
2855		eMessageTypeHuSongFriends	0
2856		eMessageTypeInviteFriendHuSong	0
2857		eMessageTypeCancelInviteFriendHuSong	0
2858		eMessageTypeInviteFriendHuSongRequest	0
2859		eMessageTypeAcceptFriendHuSongInvite	0
2860		eMessageTypeInviteFrinedHuSongAccepted	0
2861		eMessageTypeCheckCanQuJingWithFriend	0
2862		eMessageTypeInformFriendStartQuJing	0
2863		eMessageTypeInformFriendFinishQuJing	0
2864		eMessageTypeHuSongAward	0
2865		eMessageTypeCancelInviteFriendHuSongRequest	0
2866		eMessageTypeOnQuJingGuard	0
2867		eMessageTypeQuJingGuardResult	0
2868		eMessageTypeSomePlayerSpeedupQuJing	0
2869		eMessageTypeRuLaiXianLing	0
2870		eMessageTypeAcceptFriendHuSongInviteSuccess	0
2871		eMessageTypeTangSengQuJingBroadcast	0
2872		eMessageTypeTangSengRobbedBroadcast	0
2873		eMessageTypeOpenParadiseRobot	0
2874		eMessageTypeCloseParadiseRobot	0
3072		eMessageTypeLoadTasks	0
3073		eMessageTypeAcceptTask	0
3074		eMessageTypeGiveUpTask	0
3075	提交已完成任务	eMessageTypeHandInTask	0
3076		eMessageTypeSaveTaskInfo	0
3077		eMessageTypeSaveTaskRelated	0
3078		eMessageTypeTasks	0
3079		eMessageTypeAcceptTaskSuccess	0
3080		eMessageTypeGiveUpTaskSuccess	0
3081		eMessageTypeHandInTaskSuccess	0
3082		eMessageTypeCurrentTaskStatusChanged	0
3083		eMessageTypeTaskFinished	0
3084		eMessageTypeUpdateTask	0
3328		eMessageTypeSampleBattle	0
3329		eMessageTypePvE	0
3330		eMessageTypeBattleResult	0
3331		eMessageTypeBattleReport	0
3332		eMessageTypeBattleCD	0
3333		eMessageTypeClearCD	0
3334		eMessageTypeClearCDSuccess	0
3584		eMessageTypeLoadCangJingGe	0
3585		eMessageTypeActivateNextCangJingGe	0
3586		eMessageTypeSaveCangJingGeRelated	0
3587		eMessageTypeCangJingGe	0
3588		eMessageTypeCanNewCangJingGe	0
3840		eMessageTypeLoadBattleCampInfo	0
3841		eMessageTypeSubscribeBattleCamp	0
3842		eMessageTypeUnsubscribeBattleCamp	0
3843		eMessageTypeBattleCampInspire	0
3844		eMessageTypeJoinBattleCamp	0
3845		eMessageTypeQuitBattleCamp	0
3846		eMessageTypeScheduleNextBattle	0
3847		eMessageTypeBattleCampInfo	0
3848	帮派战鼓舞	eMessageTypeBattleCampInspirationInfo	0
3849		eMessageTypeCanScheduleNextBattle	0
3850		eMessageTypeJoinBattleCampSuccess	0
3851		eMessageTypeBattleCampStarted	0
3852		eMessageTypeBattleCampStopped	0
3853		eMessageTypeBattleCampNews	0
3854		eMessageTypeBattleCampPlayerList	0
3855		eMessageTypeBattleCampTopPlayers	0
3856		eMessageTypePlayerJoinedBattleCamp	0
3857		eMessageTypePlayerQuitBattleCamp	0
3858		eMessageTypeOpenBattleCamp	0
3859		eMessageTypeCloseBattleCamp	0
3860		eMessageTypeProcessNextBattle	0
3861		eMessageTypePlayerReadyForNextBattle	0
3862	离开阵营战	eMessageTypeOnCampBattle	0
3863		eMessageTypeBattleCampWinsNews	0
3864		eMessageTypeBattleCampStopWinsNews	0
3865		eMessageTypeBattleCampStats	0
3866		eMessageTypeBattleCampPlayerByed	0
3867	阵营战一场战斗	eMessageTypeOnBattleCampByed	0
3868		eMessageTypeBattleCampByedNews	0
3869		eMessageTypeBattleCampSelfBeatenNews	0
3870		eMessageTypePrepareBattleCamp	0
3871		eMessageTypeBattleCampPrepared	0
3872		eMessageTypeBattleCampLianSheng	0
3873		eMessageTypeDrawBattleCampJoinAward	0
3874		eMessageTypeBattleCampJoinAwardInfo	0
3875		eMessageTypeDrawBattleCampJoinAwardSuccess	0
4096	进入副本	eMessageTypeEnterGameCopy	0
4097	离开副本	eMessageTypeExitGameCopy	0
4098	打怪	eMessageTypeFightGameCopyMonster	0
4099	撿怪物守護掉落	eMessageTypePickupGameCopyGuardDrop	0
4100	撿副本結算	eMessageTypePickupGameCopyDrop	0
4101		eMessageTypeLoadCityGameCopy	0
4102		eMessageTypeGameCopyGuardDrop	0
4103		eMessageTypeGameCopyExitSucc	0
4104		eMessageTypeGameCopyFightResult	0
4105		eMessageTypeZhuJueExp	0
4106		eMessageTypeGameCopyRate	0
4107		eMessageTypeSaveGameCopyRelated	0
4108		eMessageTypeGameCopyResult	0
4109		eMessageTypeGameCopyDrop	0
4110		eMessageTypePickupGameCopyGuardDropSucc	0
4111		eMessageTypePickupGameCopyDropResult	0
4112		eMessageTypeSaveGameCopyUsage	0
4113		eMessageTypeSaveGameCopyDrop	0
4114	扫荡副本	eMessageTypeWipeGameCopy	0
4115		eMessageTypeWipeGameCopyReady	0
4116	扫荡副本打怪	eMessageTypeFightWipeGameCopy	0
4117		eMessageTypeFightWipeMonsterResult	0
4118		eMessageTypeFightWipeGameCopyResult	0
4119		eMessageTypeExitWipeGameCopy	0
4120	刷新精英副本	eMessageTypeRefreshJingYing	0
4121		eMessageTypeSaveGameCopyJingYing	0
4122		eMessageTypeFightWipeGameCopyBeiBaoFull	0
4352		eMessageTypeLoadArenaInfo	0
4353		eMessageTypeArenaChallenge	0
4354		eMessageTypeLoadArena	0
4355		eMessageTypeSwapArenaRanks	0
4356		eMessageTypeArenaTakeRankSnapshot	0
4357		eMessageTypeSaveArenaRelated	0
4358	结束挑战竞技场	eMessageTypeFinishArenaChallenge	0
4359		eMessageTypeArenaInfo	0
4360		eMessageTypeActivateArena	0
4361		eMessageTypeArenaActivated	0
4362		eMessageTypeLoadArenaTopPlayers	0
4363		eMessageTypeSaveChallengeCD	0
4364		eMessageTypeLoadArenaPlayerInfo	0
4365		eMessageTypeResetChallengeCD	0
4366		eMessageTypeBeatenInArena	0
4367		eMessageTypeSaveArenaPlayer	0
4368		eMessageTypeClearChallengeCD	0
4369	清除挑战CD	eMessageTypeClearChallengeCDSuccess	0
4370	购买挑战次数	eMessageTypeBuyChallengeTimes	0
4371		eMessageTypeBuyChallengeTimesSuccess	0
4372		eMessageTypeArenaTopPlayersInfo	0
4373		eMessageTypeSaveArenaChallengeReport	0
4374		eMessageTypeLoadArenaLog	0
4375		eMessageTypeArenaLog	0
4376		eMessageTypeChallengeReport	0
4377		eMessageTypeArenaRankUp	0
4378		eMessageTypeArenaFirst	0
4379		eMessageTypeArenaLianSheng	0
4608		eMessageTypeDaylyAwards	0
4609	领取俸禄	eMessageTypeGetFengLu	0
4610	领取竞技场奖励	eMessageTypeGetArenaAward	0
4611		eMessageTypeSaveDaylyAwardsRelated	0
4612		eMessageTypeFengLu	0
4613		eMessageTypeArenaAward	0
4614		eMessageTypeActivateFengLu	0
4615		eMessageTypeLoadDaylyAwardsInfo	0
4616		eMessageTypeOnArenaAward	0
4617		eMessageTypeGetLingShi	0
4618		eMessageTypeLingShiAward	0
4619		eMessageTypeLoadWorldLevelStatus	0
4620		eMessageTypeWorldLevelStatus	0
4621		eMessageTypeTakeWorldLevelAward	0
4622		eMessageTypeTakeWorldLevelAwardSuccess	0
4623		eMessageTypeLoadWorldLevelAwardStatus	0
4624		eMessageTypeWorldLevelAwardStatus	0
4864		eMessageTypeFollowPlayer	0
4865		eMessageTypeUnfollowPlayer	0
4866		eMessageTypeBlockPlayer	0
4867		eMessageTypeUnblockPlayer	0
4868		eMessageTypeLoadNumberOfFollowers	0
4869		eMessageTypeLoadFollowing	0
4870		eMessageTypeLoadBlacklist	0
4871		eMessageTypeLoadRecentContacts	0
4872		eMessageTypeLoadFollowers	0
4873		eMessageTypeLoadFriends	0
4874		eMessageTypeLoadChatLog	0
4875		eMessageTypeSendPrivateMessage	0
4876		eMessageTypeMarkPrivateMessagesRead	0
4877		eMessageTypeLoadPrivateMessages	0
4878		eMessageTypeSavePrivateMessage	0
4879		eMessageTypeFollowPlayerSuccess	0
4880		eMessageTypeUnfollowPlayerSuccess	0
4881		eMessageTypeBlockPlayerSuccess	0
4882		eMessageTypeUnblockPlayerSuccess	0
4883		eMessageTypeNumberOfFollowers	0
4884		eMessageTypeFollowings	0
4885		eMessageTypeBlacklist	0
4886		eMessageTypeRecentContacts	0
4887		eMessageTypeFollowers	0
4888		eMessageTypeFriends	0
4889		eMessageTypeChatLog	0
4890		eMessageTypePrivateMessage	0
4891		eMessageTypeOnReceivedPrivateMessage	0
4892		eMessageTypeFollowPlayerByName	0
4893		eMessageTypeSendPrivateMessageSuccess	0
4894		eMessageTypeSomePlayerFollowYou	0
4895		eMessageTypeRemoveRecentContact	0
4896		eMessageTypeRecentContactRemoved	0
5120		eMessageTypeLoadLeagueList	0
5121		eMessageTypeLoadLeagueInfo	0
5122		eMessageTypeLoadLeagueMembers	0
5123		eMessageTypeApplyLeague	0
5124		eMessageTypeUnapplyLeague	0
5125		eMessageTypeQuitLeague	0
5126		eMessageTypeCreateLeague	0
5127		eMessageTypeDismissLeague	0
5128		eMessageTypeLoadLeaguePendingMembers	0
5129		eMessageTypeAcceptMember	0
5130		eMessageTypeDenyMember	0
5131		eMessageTypePromoptLeagueMember	0
5132		eMessageTypeKickMember	0
5133		eMessageTypeEditLeagueInfo	0
5134		eMessageTypeSaveLeague	0
5135		eMessageTypeSaveLeagueMember	0
5136		eMessageTypeLeagueList	0
5137		eMessageTypeLeagueInfo	0
5138		eMessageTypeLeagueMembers	0
5139		eMessageTypeLeagueApplied	0
5140		eMessageTypeLeagueUnapplied	0
5141		eMessageTypeLeagueQuit	0
5142	创建帮派	eMessageTypeLeagueCreated	0
5143		eMessageTypeLeagueDismissed	0
5144		eMessageTypeLeagueJoined	0
5145		eMessageTypeLeagueKicked	0
5146		eMessageTypeLeaguePromopted	0
5147		eMessageTypeLeaguePendingMembers	0
5148		eMessageTypeLoadLeagueRank	0
5149		eMessageTypeCompleteLeagueInfo	0
5150		eMessageTypeLoadLeague	0
5151		eMessageTypeLoadLeagueAgora	0
5152		eMessageTypeLoadLeagueDynamicInfo	0
5153		eMessageTypeDemoteLeagueMember	0
5154		eMessageTypeLeagueDenied	0
5155		eMessageTypeMemberEarnedShengWang	0
5156		eMessageTypeLoadLeagueContributionLog	0
5157		eMessageTypeSaveLeagueContributionLog	0
5158		eMessageTypeLeagueContributionLog	0
5159		eMessageTypeLeagueExpChanged	0
5160		eMessageTypeStartLeagueBattle	0
5161		eMessageTypeCloseLeagueBattle	0
5162		eMessageTypeLeagueBattleNextRound	0
5163		eMessageTypeLeagueBattleOpened	0
5164		eMessageTypeLeagueBattleNextRoundPreparing	0
5165		eMessageTypePrepareLeagueBattle	0
5166		eMessageTypeLoadLeagueBattle	0
5167		eMessageTypeJoinLeagueBattle	0
5168		eMessageTypeNextLeagueBattle	0
5169		eMessageTypeOnLeagueBattleLog	0
5170		eMessageTypeOnLeagueBattleResult	0
5171		eMessageTypeLeagueBattleChampion	0
5172		eMessageTypeOnLeagueBattle	0
5173		eMessageTypeLoadLeagueBattleTable	0
5174		eMessageTypeLoadLeagueBattleLog	0
5175		eMessageTypeLeagueBattleTable	0
5176		eMessageTypeLeagueBattleLog	0
5177		eMessageTypeOnLeagueBattleCounter	0
5178		eMessageTypeLoadLeagueBattleSignUpInfo	0
5179		eMessageTypeLoadLeagueBattleSignUpList	0
5180		eMessageTypeSignUpLeagueBattle	0
5181		eMessageTypeLeagueBattleSignUpInfo	0
5182		eMessageTypeLeagueBattleSignUpList	0
5183		eMessageTypeLoadLeagueBurnInfo	0
5184		eMessageTypeLeagueBurn	0
5185	帮会捐献	eMessageTypeOnLeagueBurn	0
5186		eMessageTypeLeagueBurnInfo	0
5187		eMessageTypeLeagueBurnSuccess	0
5188		eMessageTypeLoadLeagueBurnLog	0
5189		eMessageTypeSaveLeagueBurnLog	0
5190		eMessageTypeLeagueBurnLog	0
5191		eMessageTypeDelegateToLeague	0
5192		eMessageTypeLoadLeagueManager	0
5193		eMessageTypeOnLeagueBattlePlayers	0
5194		eMessageTypeClearLeagueBattleLog	0
5195		eMessageTypeSaveLeagueBattleLog	0
5196		eMessageTypeSaveLeagueBattlePlayers	0
5197		eMessageTypeSaveLeagueBattleResults	0
5198		eMessageTypeTransferLeague	0
5199		eMessageTypeLeagueTransferred	0
5200		eMessageTypeLoadApplyLeagueList	0
5201		eMessageTypeApplyLeagueList	0
5202		eMessageTypeLoadLeagueBattleInfo	0
5203		eMessageTypeLeagueBattleInfo	0
5204		eMessageTypeCloseLeagueBattleSignUp	0
5205		eMessageTypeOnLeagueBattleSignUpClose	0
5206		eMessageTypeOnLeagueBattleFinish	0
5207		eMessageTypeInitLeagueBattleStatus	0
5208		eMessageTypeOnLeagueBattleTopLeagues	0
5209		eMessageTypeLoadLeagueBattleAward	0
5210		eMessageTypeLoadLeagueBattleAwardCandidates	0
5211		eMessageTypeDistributeLeagueBattleAward	0
5212		eMessageTypeAutoDistributeLeagueBattleAward	0
5213		eMessageTypeOnLeagueBattleAward	0
5214		eMessageTypeLeagueBattleAward	0
5215		eMessageTypeLeagueBattleAwardDistNotification	0
5216		eMessageTypeLeagueDemoted	0
5217		eMessageTypeIgnoreAllJoinApplications	0
5218		eMessageTypeImpeachLeagueMaster	0
5219		eMessageTypeLeagueMemberLogin	0
5220		eMessageTypeLeagueMemberLogout	0
5221		eMessageTypeOpenImpeachment	0
5222		eMessageTypeLeagueBeingImpeached	0
5223		eMessageTypeLeagueWasImpeached	0
5224		eMessageTypeLeagueImpeacheSuccess	0
5225		eMessageTypeLeagueImpeacheFailed	0
5226		eMessageTypeInitLeagueMasterLastLogout	0
5227		eMessageTypeOnLeagueImpeachActionOK	0
5228		eMessageTypeLeagueMemberJoinedNotification	0
5229		eMessageTypeLeagueMemberQuitNotification	0
5230		eMessageTypeLeagueMemberKickedNotification	0
5231		eMessageTypeLeagueMemberPromoptedNotification	0
5232		eMessageTypeLeagueMemberDemotedNotification	0
5233		eMessageTypeLeagueTransferredNotification	0
5234		eMessageTypeLeagueMasterImpeachedNotification	0
5235		eMessageTypeLeagueBattleSignupNotification	0
5236		eMessageTypeLeagueMasterChanged	0
5237		eMessageTypeLoadLeagueBossChallengeTimeInfo	0
5238		eMessageTypeSetLeagueBossChallengeTime	0
5239		eMessageTypeLeagueBossChallengeTimeInfo	0
5240		eMessageTypeOpenLeagueBoss	0
5241		eMessageTypeOnLeagueBossFinished	0
5242		eMessageTypeLeagueBossTimeSetNotification	0
5243		eMessageTypeOnLeagueBuildingAward	0
5244		eMessageTypeLeagueBattleTableReadyNotification	0
5245		eMessageTypeLoadLeagueJoinBlessInfo	0
5246		eMessageTypeLeagueJoinBlessInfo	0
5247		eMessageTypeLeagueMemberJoinBless	0
5248		eMessageTypeOnLeagueMemberJoinBlessSuccess	0
5249		eMessageTypeLeagueMemberJoinBlessResult	0
5250		eMessageTypeLoadLeagueRecruitInfo	0
5251		eMessageTypeLeagueRecruitInfo	0
5252		eMessageTypeLeagueRecruit	0
5253		eMessageTypeLeagueRecruitSuccess	0
5254		eMessageTypeLeagueRecruitNotification	0
5255		eMessageTypeSetAutoLeagueBattle	0
5256		eMessageTypeAutoLeagueBattleSet	0
5376		eMessageTypeLoadZhaoCaiInfo	0
5377	聚寶盆	eMessageTypeZhaoCai	0
5378		eMessageTypeSaveZhaoCaiRelated	0
5379		eMessageTypeZhaoCaiInfo	0
5380		eMessageTypeZhaoCaiSuccess	0
5632		eMessageTypeLoadBuyTiLiInfo	0
5633	购买体力	eMessageTypeBuyTiLi	0
5634		eMessageTypeSaveBuyTiLiRelated	0
5635		eMessageTypeBuyTiLiInfo	0
5636		eMessageTypeBuyTiLiSuccess	0
5637		eMessageTypeExtraTiLiAdd	0
5888		eMessageTypeLoadWorldBossScene	0
5889		eMessageTypeSaveWorldBossScene	0
5890		eMessageTypeLoadScarRabbitScene	0
5891		eMessageTypeSaveScarRabbitScene	0
5892		eMessageTypeLoadBossSceneInfo	0
5893		eMessageTypeEnterBossScene	0
5894		eMessageTypeBossInspire	0
5895		eMessageTypeBossRevive	0
5896		eMessageTypeLoadBossReviveImmediatelyInfo	0
5897		eMessageTypeBossReviveImmediately	0
5898		eMessageTypeFightBoss	0
5899		eMessageTypeBossAutoRevive	0
5900		eMessageTypeResetFightBossCD	0
5901		eMessageTypeResetReviveImmediatelyCD	0
5902		eMessageTypeBossActivityCD	0
5903		eMessageTypeBossSceneInfo	0
5904		eMessageTypeBossInfo	0
5905	世界boss鼓舞	eMessageTypeBossInspirationInfo	0
5906		eMessageTypeBossReviveImmediatelyInfo	0
5907		eMessageTypeBossPlayerDamages	0
5908		eMessageTypeScheduleBossSceneTimers	0
5909		eMessageTypeOpenBoss	0
5910		eMessageTypeStartBoss	0
5911		eMessageTypeCloseBoss	0
5912		eMessageTypeBossOpened	0
5913		eMessageTypeBossStarted	0
