命格id	命格名稱	命格等級	命格增加屬性編號1	命格增加屬性值1	命格增加屬性編號2	命格增加屬性值2	比较实力排序
10330703	天權	3	16	30	0	0	35
10330704	天權	4	16	40	0	0	35
10330705	天權	5	16	50	0	0	35
10330706	天權	6	16	60	0	0	35
10330707	天權	7	16	70	0	0	35
10330708	天權	8	16	80	0	0	35
10330709	天權	9	16	90	0	0	35
10330710	天權	10	16	100	0	0	35
10330711	天權	11	16	110	0	0	35
10330712	天權	12	16	120	0	0	35
10330801	天機	1	18	20	0	0	27
10330802	天機	2	18	40	0	0	27
10330803	天機	3	18	60	0	0	27
10330804	天機	4	18	80	0	0	27
10330805	天機	5	18	100	0	0	27
10330806	天機	6	18	120	0	0	27
10330807	天機	7	18	140	0	0	27
10330808	天機	8	18	160	0	0	27
10330809	天機	9	18	180	0	0	27
10330810	天機	10	18	200	0	0	27
10330811	天機	11	18	220	0	0	27
10330812	天機	12	18	240	0	0	27
10330901	天璣	1	14	20	0	0	32
10330902	天璣	2	14	40	0	0	32
10330903	天璣	3	14	60	0	0	32
10330904	天璣	4	14	80	0	0	32
10330905	天璣	5	14	100	0	0	32
10330906	天璣	6	14	120	0	0	32
10330907	天璣	7	14	140	0	0	32
10330908	天璣	8	14	160	0	0	32
10330909	天璣	9	14	180	0	0	32
10330910	天璣	10	14	200	0	0	32
10330911	天璣	11	14	220	0	0	32
10330912	天璣	12	14	240	0	0	32
10331001	天璿	1	22	20	0	0	38
10331002	天璿	2	22	40	0	0	38
10331003	天璿	3	22	60	0	0	38
10331004	天璿	4	22	80	0	0	38
10331005	天璿	5	22	100	0	0	38
10331006	天璿	6	22	120	0	0	38
10331007	天璿	7	22	140	0	0	38
10331008	天璿	8	22	160	0	0	38
10331009	天璿	9	22	180	0	0	38
10331010	天璿	10	22	200	0	0	38
10331011	天璿	11	22	220	0	0	38
10331012	天璿	12	22	240	0	0	38
10331101	天樞	1	6	5	0	0	9
10331102	天樞	2	6	8	0	0	9
10331103	天樞	3	6	11	0	0	9
10331104	天樞	4	6	14	0	0	9
10331105	天樞	5	6	17	0	0	9
10331106	天樞	6	6	20	0	0	9
10331107	天樞	7	6	23	0	0	9
10331108	天樞	8	6	26	0	0	9
10331109	天樞	9	6	29	0	0	9
10331110	天樞	10	6	32	0	0	9
10331111	天樞	11	6	35	0	0	9
10331112	天樞	12	6	38	0	0	9
10340101	武曲	1	7	300	0	0	11
10340102	武曲	2	7	450	0	0	11
10340103	武曲	3	7	600	0	0	11
10340104	武曲	4	7	750	0	0	11
10340105	武曲	5	7	900	0	0	11
10340106	武曲	6	7	1050	0	0	11
10340107	武曲	7	7	1200	0	0	11
10340108	武曲	8	7	1350	0	0	11
10340109	武曲	9	7	1500	0	0	11
10340110	武曲	10	7	1650	0	0	11
10340111	武曲	11	7	1800	0	0	11
10340112	武曲	12	7	1950	0	0	11
10340201	太陰	1	9	300	0	0	19
10340202	太陰	2	9	450	0	0	19
10340203	太陰	3	9	600	0	0	19
10340204	太陰	4	9	750	0	0	19
10340205	太陰	5	9	900	0	0	19
10340206	太陰	6	9	1050	0	0	19
10340207	太陰	7	9	1200	0	0	19
10340208	太陰	8	9	1350	0	0	19
10340209	太陰	9	9	1500	0	0	19
10340210	太陰	10	9	1650	0	0	19
10340211	太陰	11	9	1800	0	0	19
10340212	太陰	12	9	1950	0	0	19
10340301	文曲	1	8	300	0	0	15
10340302	文曲	2	8	450	0	0	15
10340303	文曲	3	8	600	0	0	15
10340304	文曲	4	8	750	0	0	15
10340305	文曲	5	8	900	0	0	15
10340306	文曲	6	8	1050	0	0	15
10340307	文曲	7	8	1200	0	0	15
10340308	文曲	8	8	1350	0	0	15
10340309	文曲	9	8	1500	0	0	15
10340310	文曲	10	8	1650	0	0	15
10340311	文曲	11	8	1800	0	0	15
10340312	文曲	12	8	1950	0	0	15
10340401	延壽	1	4	1000	0	0	6
10340402	延壽	2	4	2000	0	0	6
10340403	延壽	3	4	3000	0	0	6
10340404	延壽	4	4	4000	0	0	6
10340405	延壽	5	4	5000	0	0	6
10340406	延壽	6	4	6000	0	0	6
10340407	延壽	7	4	7000	0	0	6
10340408	延壽	8	4	8000	0	0	6
10340409	延壽	9	4	9000	0	0	6
10340410	延壽	10	4	10000	0	0	6
10340411	延壽	11	4	11000	0	0	6
10340412	延壽	12	4	12000	0	0	6
10340501	玉衡	1	16	20	0	0	34
10340502	玉衡	2	16	40	0	0	34
10340503	玉衡	3	16	60	0	0	34
10340504	玉衡	4	16	80	0	0	34
10340505	玉衡	5	16	100	0	0	34
10340506	玉衡	6	16	120	0	0	34
10340507	玉衡	7	16	140	0	0	34
10340508	玉衡	8	16	160	0	0	34
10340509	玉衡	9	16	180	0	0	34
10340510	玉衡	10	16	200	0	0	34
10340511	玉衡	11	16	220	0	0	34
10340512	玉衡	12	16	240	0	0	34
10340601	破軍	1	18	30	0	0	26
10340602	破軍	2	18	60	0	0	26
10340603	破軍	3	18	90	0	0	26
10340604	破軍	4	18	120	0	0	26
10340605	破軍	5	18	150	0	0	26
10340606	破軍	6	18	180	0	0	26
10340607	破軍	7	18	210	0	0	26
10340608	破軍	8	18	240	0	0	26
10340609	破軍	9	18	270	0	0	26
10340610	破軍	10	18	300	0	0	26
10340611	破軍	11	18	330	0	0	26
10340612	破軍	12	18	360	0	0	26
10340701	華蓋	1	14	30	0	0	31
10340702	華蓋	2	14	60	0	0	31
10340703	華蓋	3	14	90	0	0	31
10340704	華蓋	4	14	120	0	0	31
10340705	華蓋	5	14	150	0	0	31
10340706	華蓋	6	14	180	0	0	31
10340707	華蓋	7	14	210	0	0	31
10340708	華蓋	8	14	240	0	0	31
10340709	華蓋	9	14	270	0	0	31
10340710	華蓋	10	14	300	0	0	31
10340711	華蓋	11	14	330	0	0	31
10340712	華蓋	12	14	360	0	0	31
10340801	廉貞	1	22	30	0	0	37
10340802	廉貞	2	22	60	0	0	37
10340803	廉貞	3	22	90	0	0	37
10340804	廉貞	4	22	120	0	0	37
10340805	廉貞	5	22	150	0	0	37
10340806	廉貞	6	22	180	0	0	37
10340807	廉貞	7	22	210	0	0	37
10340808	廉貞	8	22	240	0	0	37
10340809	廉貞	9	22	270	0	0	37
10340810	廉貞	10	22	300	0	0	37
10340811	廉貞	11	22	330	0	0	37
10340812	廉貞	12	22	360	0	0	37
10340901	貪狼	1	6	15	0	0	8
10340902	貪狼	2	6	19	0	0	8
10340903	貪狼	3	6	23	0	0	8
10340904	貪狼	4	6	27	0	0	8
10340905	貪狼	5	6	31	0	0	8
10340906	貪狼	6	6	35	0	0	8
10340907	貪狼	7	6	39	0	0	8
10340908	貪狼	8	6	43	0	0	8
10340909	貪狼	9	6	47	0	0	8
10340910	貪狼	10	6	51	0	0	8
10340911	貪狼	11	6	55	0	0	8
10340912	貪狼	12	6	59	0	0	8
10341001	七殺	1	24	40	0	0	40
10341002	七殺	2	24	80	0	0	40
10341003	七殺	3	24	120	0	0	40
10341004	七殺	4	24	160	0	0	40
10341005	七殺	5	24	200	0	0	40
10341006	七殺	6	24	240	0	0	40
10341007	七殺	7	24	280	0	0	40
10341008	七殺	8	24	320	0	0	40
10341009	七殺	9	24	360	0	0	40
10341010	七殺	10	24	400	0	0	40
10341011	七殺	11	24	440	0	0	40
10341012	七殺	12	24	480	0	0	40
10350101	孟章	1	7	500	0	0	10
10350102	孟章	2	7	1000	0	0	10
10350103	孟章	3	7	1500	0	0	10
10350104	孟章	4	7	2000	0	0	10
10350105	孟章	5	7	2500	0	0	10
10350106	孟章	6	7	3000	0	0	10
10350107	孟章	7	7	3500	0	0	10
10350108	孟章	8	7	4000	0	0	10
10350109	孟章	9	7	4500	0	0	10
10350110	孟章	10	7	5000	0	0	10
10350111	孟章	11	7	5500	0	0	10
10350112	孟章	12	7	6000	0	0	10
10350201	監兵	1	9	500	0	0	18
10350202	監兵	2	9	1000	0	0	18
10350203	監兵	3	9	1500	0	0	18
10350204	監兵	4	9	2000	0	0	18
10350205	監兵	5	9	2500	0	0	18
10350206	監兵	6	9	3000	0	0	18
10350207	監兵	7	9	3500	0	0	18
10350208	監兵	8	9	4000	0	0	18
10350209	監兵	9	9	4500	0	0	18
10350210	監兵	10	9	5000	0	0	18
10350211	監兵	11	9	5500	0	0	18
10350212	監兵	12	9	6000	0	0	18
10350301	陵光	1	8	500	0	0	14
10350302	陵光	2	8	1000	0	0	14
10350303	陵光	3	8	1500	0	0	14
10350304	陵光	4	8	2000	0	0	14
10350305	陵光	5	8	2500	0	0	14
10350306	陵光	6	8	3000	0	0	14
10350307	陵光	7	8	3500	0	0	14
10350308	陵光	8	8	4000	0	0	14
10350309	陵光	9	8	4500	0	0	14
10350310	陵光	10	8	5000	0	0	14
10350311	陵光	11	8	5500	0	0	14
10350312	陵光	12	8	6000	0	0	14
10350401	紫微	1	4	2000	0	0	5
10350402	紫微	2	4	4000	0	0	5
10350403	紫微	3	4	6000	0	0	5
10350404	紫微	4	4	8000	0	0	5
10350405	紫微	5	4	10000	0	0	5
10350406	紫微	6	4	12000	0	0	5
10350407	紫微	7	4	14000	0	0	5
10350408	紫微	8	4	16000	0	0	5
10350409	紫微	9	4	18000	0	0	5
10350410	紫微	10	4	20000	0	0	5
10350411	紫微	11	4	22000	0	0	5
10350412	紫微	12	4	24000	0	0	5
10350501	奪光	1	16	40	0	0	33
10350502	奪光	2	16	80	0	0	33
10350503	奪光	3	16	120	0	0	33
10350504	奪光	4	16	160	0	0	33
10350505	奪光	5	16	200	0	0	33
10350506	奪光	6	16	240	0	0	33
10350507	奪光	7	16	280	0	0	33
10350508	奪光	8	16	320	0	0	33
10350509	奪光	9	16	360	0	0	33
10350510	奪光	10	16	400	0	0	33
10350511	奪光	11	16	440	0	0	33
10350512	奪光	12	16	480	0	0	33
10350601	太歲	1	18	60	0	0	25
10350602	太歲	2	18	120	0	0	25
10350603	太歲	3	18	180	0	0	25
10350604	太歲	4	18	240	0	0	25
10350605	太歲	5	18	300	0	0	25
10350606	太歲	6	18	360	0	0	25
10350607	太歲	7	18	420	0	0	25
10350608	太歲	8	18	480	0	0	25
10350609	太歲	9	18	540	0	0	25
10350610	太歲	10	18	600	0	0	25
10350611	太歲	11	18	660	0	0	25
10350612	太歲	12	18	720	0	0	25
10350701	執明	1	14	60	0	0	30
10350702	執明	2	14	120	0	0	30
10350703	執明	3	14	180	0	0	30
10350704	執明	4	14	240	0	0	30
10350705	執明	5	14	300	0	0	30
10350706	執明	6	14	360	0	0	30
10350707	執明	7	14	420	0	0	30
10350708	執明	8	14	480	0	0	30
10350709	執明	9	14	540	0	0	30
10350710	執明	10	14	600	0	0	30
10350711	執明	11	14	660	0	0	30
10350712	執明	12	14	720	0	0	30
10350801	鎮星	1	22	60	0	0	36
10350802	鎮星	2	22	120	0	0	36
10350803	鎮星	3	22	180	0	0	36
10350804	鎮星	4	22	240	0	0	36
10350805	鎮星	5	22	300	0	0	36
10350806	鎮星	6	22	360	0	0	36
10350807	鎮星	7	22	420	0	0	36
10350808	鎮星	8	22	480	0	0	36
10350809	鎮星	9	22	540	0	0	36
10350810	鎮星	10	22	600	0	0	36
10350811	鎮星	11	22	660	0	0	36
10350812	鎮星	12	22	720	0	0	36
10350901	太微	1	6	25	0	0	7
10350902	太微	2	6	30	0	0	7
10350903	太微	3	6	35	0	0	7
10350904	太微	4	6	40	0	0	7
10350905	太微	5	6	45	0	0	7
10350906	太微	6	6	50	0	0	7
10350907	太微	7	6	55	0	0	7
10350908	太微	8	6	60	0	0	7
10350909	太微	9	6	65	0	0	7
10350910	太微	10	6	70	0	0	7
10350911	太微	11	6	75	0	0	7
10350912	太微	12	6	80	0	0	7
10351001	辰星	1	24	60	0	0	39
10351002	辰星	2	24	120	0	0	39
10351003	辰星	3	24	180	0	0	39
10351004	辰星	4	24	240	0	0	39
10351005	辰星	5	24	300	0	0	39
10351006	辰星	6	24	360	0	0	39
10351007	辰星	7	24	420	0	0	39
10351008	辰星	8	24	480	0	0	39
10351009	辰星	9	24	540	0	0	39
10351010	辰星	10	24	600	0	0	39
10351011	辰星	11	24	660	0	0	39
10351012	辰星	12	24	720	0	0	39
10351101	太白	1	26	60	0	0	28
10351102	太白	2	26	120	0	0	28
10351103	太白	3	26	180	0	0	28
10351104	太白	4	26	240	0	0	28
10351105	太白	5	26	300	0	0	28
10351106	太白	6	26	360	0	0	28
10351107	太白	7	26	420	0	0	28
10351108	太白	8	26	480	0	0	28
10351109	太白	9	26	540	0	0	28
10351110	太白	10	26	600	0	0	28
10351111	太白	11	26	660	0	0	28
10351112	太白	12	26	720	0	0	28
10351201	熒惑	1	20	60	0	0	29
10351202	熒惑	2	20	120	0	0	29
10351203	熒惑	3	20	180	0	0	29
10351204	熒惑	4	20	240	0	0	29
10351205	熒惑	5	20	300	0	0	29
10351206	熒惑	6	20	360	0	0	29
10351207	熒惑	7	20	420	0	0	29
10351208	熒惑	8	20	480	0	0	29
10351209	熒惑	9	20	540	0	0	29
10351210	熒惑	10	20	600	0	0	29
10351211	熒惑	11	20	660	0	0	29
10351212	熒惑	12	20	720	0	0	29
10351301	朱雀	1	4	4000	6	30	1
10351302	朱雀	2	4	6000	6	35	1
10351303	朱雀	3	4	8000	6	40	1
10351304	朱雀	4	4	10000	6	45	1
10351305	朱雀	5	4	12000	6	50	1
10351306	朱雀	6	4	14000	6	55	1
10351307	朱雀	7	4	16000	6	60	1
10351308	朱雀	8	4	18000	6	65	1
10351309	朱雀	9	4	20000	6	70	1
10351310	朱雀	10	4	22000	6	75	1
10351311	朱雀	11	4	24000	6	80	1
10351312	朱雀	12	4	26000	6	85	1
10351401	白虎	1	7	1000	9	1000	3
10351402	白虎	2	7	1500	9	1500	3
10351403	白虎	3	7	2000	9	2000	3
10351404	白虎	4	7	2500	9	2500	3
10351405	白虎	5	7	3000	9	3000	3
10351406	白虎	6	7	3500	9	3500	3
10351407	白虎	7	7	4000	9	4000	3
10351408	白虎	8	7	4500	9	4500	3
10351409	白虎	9	7	5000	9	5000	3
10351410	白虎	10	7	5500	9	5500	3
10351411	白虎	11	7	6000	9	6000	3
10351412	白虎	12	7	6500	9	6500	3
10351501	青龍	1	18	120	26	120	4
10351502	青龍	2	18	180	26	180	4
10351503	青龍	3	18	240	26	240	4
10351504	青龍	4	18	300	26	300	4
10351505	青龍	5	18	360	26	360	4
10351506	青龍	6	18	420	26	420	4
10351507	青龍	7	18	480	26	480	4
10351508	青龍	8	18	540	26	540	4
10351509	青龍	9	18	600	26	600	4
10351510	青龍	10	18	660	26	660	4
10351511	青龍	11	18	720	26	720	4
10351512	青龍	12	18	780	26	780	4
10351601	玄武	1	20	120	24	120	2
10351602	玄武	2	20	180	24	180	2
10351603	玄武	3	20	240	24	240	2
10351604	玄武	4	20	300	24	300	2
10351605	玄武	5	20	360	24	360	2
10351606	玄武	6	20	420	24	420	2
10351607	玄武	7	20	480	24	480	2
10351608	玄武	8	20	540	24	540	2
10351609	玄武	9	20	600	24	600	2
10351610	玄武	10	20	660	24	660	2
10351611	玄武	11	20	720	24	720	2
10351612	玄武	12	20	780	24	780	2
10360101	星宿碎片	1	0	0	0	0	0
10370101	太初	1	0	0	0	0	0
10380101	掃帚星	1	0	0	0	0	0
10380201	掃帚星	1	0	0	0	0	0
10380301	掃帚星	1	0	0	0	0	0
10380401	掃帚星	1	0	0	0	0	0
