id	物品id	原價（显示用）	價格	每日限購(-1表示不限購)	需求等級	活動期間限購(-1表示不限購)	總限購(-1表示不限購)	是否在普通商城上架	隸屬切頁(1熱賣2時裝3超值禮包4限時搶購)	标签(0无1new2hot)	备注	顯示	是否时装	时装id	物品圖片	活動限制
19	30300272	50	18	2	60	10	-1	0	3	2	1幸運點	使用可獲得<font color="#fff100">1幸運點</font>	0	0	shop_1019	0
20	30300273	500	188	2	60	10	-1	0	3	1	10幸運點	使用可獲得<font color="#fff100">10幸運點</font>	0	0	shop_1019	0
21	30300274	50	30	1	40	5	-1	0	3	2	10黃色徽章	使用可獲得<font color="#fff100">黃色徽章*10</font>	0	0	shop_1021	0
22	30300275	500	250	1	40	5	-1	0	3	1	100黃色徽章	使用可獲得<font color="#fff100">黃色徽章*100</font>	0	0	shop_1021	0
23	30300252	4888	2888	1	10	1	-1	1	1|2	1	天神之翼禮包	打開可獲得<font color="#fff100">天神之翼</font>	1	2	shop_1023	0
24	30300253	2666	666	1	10	1	-1	1	1|2	1	精灵之翼禮包	打開可獲得<font color="#fff100">精靈之翼</font>	1	3	shop_1024	0
25	30300276	2666	666	1	10	1	-1	0	1|2	2	天使之翼禮包	打開可獲得<font color="#fff100">天使之翼</font>	1	1	shop_1025	0
26	30300277	2888	888	1	10	1	10	0	3	1	白銀大寶箱	打開可獲得<font color="#fff100">5000聲望、5幸運點、50000天賦點</font>	0	0	shop_1026	0
27	30300278	3888	1888	1	10	1	10	0	3	1	黃金大寶箱	打開可獲得<font color="#fff100">10000聲望、10幸運點、100000天賦點</font>	0	0	shop_1027	0
28	30300279	5888	2888	1	10	1	10	0	3	1	白金大寶箱	打開可獲得<font color="#fff100">20000聲望、20幸運點、200000天賦點</font>	0	0	shop_1028	0
29	30300618	200	99	10	10	10	-1	1	1|3	1	隨機變身卡禮包	打開可獲得<font color="#ff00ff">隨機變身卡*100，有幾率變身稀有角色</font>	0	0	shop_1029	0
30	30300619	4000	2000	2	20	2	-1	1	1|3	1	20級星座寶盒	打開可隨機獲得星座<font color="#FFFF00">白羊、金牛</font>中的一個	0	0	shop_1030	0
31	30300620	4000	2000	5	60	5	-1	1	1|3	1	60級星座寶盒	打開可隨機獲得星座<font color="#FFFF00">雙子、獅子、巨蟹、處女、天蠍、射手、天秤</font>中的一個	0	0	shop_1030	0
32	30410001	5	2	5	10	-1	-1	1	3	1	初級戰鬥加速藥劑	使用后提高戰鬥速度為2倍，持續時間1個小時	0	0	shop_1032	0
33	30410002	10	3	5	10	-1	-1	1	3	1	中級戰鬥加速藥劑	使用后提高戰鬥速度為2倍，持續時間2個小時	0	0	shop_1033	0
34	30410003	20	5	5	10	-1	-1	1	3	2	高級戰鬥加速藥劑	使用后提高戰鬥速度為2倍，持續時間4個小時	0	0	shop_1034	0
35	30300621	400	200	5	10	-1	-1	1	1|3	1	女神卡	使用后可增加當前未喚醒女神的親密度100點	0	0	shop_1035	0
36	30300622	2888	888	1	10	1	-1	1	1|2	1	炫彩之翼禮包	打開可獲得<font color="#fff100">炫彩之翼</font>	1	4	shop_1036	0
37	30300627	15000	8888	1	10	1	-1	1	1|2	1	墮天使之翼禮包	打開可獲得<font color="#fff100">墮天使之翼</font>	1	5	shop_1037	0
38	30600023	800	499	1	50	5	-1	1	1	1	寵物改名卡	使用可給寵物更改昵稱	0	0	shop_1038	0
39	30600137	900	499	1	50	1	1	1	1	1	獸王戒指	爲了獸人！	0	0	shop_1039	29
40	40000045	10000	6000	1	10	1	1	1	1	1	血色翅膀	打開可獲得<font color="#fff100">血色翅膀</font>	1	40	shop_1040	29
41	40000048	20000	16668	1	10	1	1	1	1|2	1	血色豪華翅膀	打開可獲得<font color="#fff100">血色豪華翅膀</font>	1	43	shop_1041	0
42	30620128	200	50	-1	10	-1	-1	1	1|3	2	新手禮包	打開可隨機獲得<font color="#fff100">100萬銀幣，50體力，5000天賦點，1000聲望，高級戰鬥加速藥劑*1，星座之力*3，60級武器、項鏈、護符一件</font>	0	0	shop_1042	59
43	30620123	20000	16000	1	50	1	1	1	1|3	1	藍龍寶寶幻化卡禮包	打開可獲得<font color="#fff100">藍龍寶寶幻化卡</font>	0	0	shop_1043	0
44	30620124	6000	4800	1	50	1	1	1	1|3	1	藍龍小寶寶幻化卡禮包	打開可獲得<font color="#fff100">藍龍小寶寶幻化卡</font>	0	0	shop_1044	0
45	30620125	20000	16000	1	50	1	1	1	1|3	1	金龍寶寶幻化卡禮包	打開可獲得<font color="#fff100">金龍寶寶幻化卡</font>	0	0	shop_1045	0
46	30620126	6000	4800	1	50	1	1	1	1|3	1	金龍小寶寶幻化卡禮包	打開可獲得<font color="#fff100">金龍小寶寶幻化卡</font>	0	0	shop_1046	0
47	30300953	5000	4000	1	50	1	1	1	1|3	1	黑子幻化卡禮包	打開可獲得<font color="#fff100">黑子幻化卡</font>	0	0	shop_1047	0
48	50000004	10000	8000	1	50	1	1	1	1|3	1	凡貓幻化卡禮包	打開可獲得<font color="#fff100">凡貓幻化卡</font>	0	0	shop_1048	0
49	40000059	1000	300	3	10	-1	-1	0	3	2	精品禮包	打開可獲得<font color="#fff100">黃色徽章*200，體力*100，1000萬銀幣</font>	0	0	shop_1049	0
50	40000060	3000	1000	3	10	-1	-1	0	3	2	超值禮包	打開可獲得<font color="#fff100">黃色徽章*1000，體力*200，3000萬銀幣，寵物原石*14000</font>	0	0	shop_1050	0
51	40000061	10000	3000	3	10	-1	-1	0	3	2	黃金禮包	打開可獲得<font color="#fff100">黃色徽章*2000，體力*300，3000萬銀幣，寵物原石*30000，雅典娜碎片*1(可找女神直接兌換其他夥伴碎片)</font>	0	0	shop_1051	0
52	40000062	30000	10000	3	10	-1	-1	0	3	2	至尊禮包	打開可獲得<font color="#fff100">黃色徽章*3000，體力*1000，5000萬銀幣，寵物原石*60000，雅典娜碎片*5(可找女神直接兌換其他夥伴碎片)</font>	0	0	shop_1052	0
53	30620681	500	280	2	10	-1	-1	1	1|3	1	寶藏島入場券	使用可獲得寶藏島額外挑戰次數*1	0	0	shop_1053	95
54	30620681	500	280	2	10	-1	-1	1	1|3	1	寶藏島入場券	使用可獲得寶藏島額外挑戰次數*1	0	0	shop_1054	96
55	30620714	888	498	-1	10	-1	-1	1	1|3	1	寵物技能書碎片禮包	打開可隨機獲得<font color="#fff100">寵物技能書碎片*1，3千萬銀幣，40寵物碎片，50幸運點，350體力，5000寵物精華，2000寵物原石</font>	0	0	shop_1051	0
56	30700002	800	499	1	20	-1	-1	1	1	1	公會改名卡	使用可改變公會名稱	0	0	shop_1056	0
57	30630417	1000	300	3	10	-1	-1	0	3	2	特惠超值禮包	打開可獲得<font color="#fff100">500神運點，1000寵物精華，1000萬銀幣，99朵玫瑰*3</font>	0	0	shop_1049	0
58	30630418	3000	1000	3	10	-1	-1	0	3	2	強者專享禮包	打開可獲得<font color="#fff100">1500神運點，10黃金徽章，5000寵物原石，5000寵物精華，999朵玫瑰*1</font>	0	0	shop_1050	0
59	30630419	10000	3000	3	10	-1	-1	0	3	2	超級王者禮包	打開可獲得<font color="#fff100">5000神運點，30黃金徽章，15000寵物原石，15000寵物精華，雅典娜碎片*1(可找女神直接兌換其他夥伴碎片)，999朵玫瑰*10</font>	0	0	shop_1051	0
60	30630420	30000	10000	3	10	-1	-1	0	3	2	無敵至尊禮包	打開可獲得<font color="#fff100">18000神運點，100黃金徽章，50000寵物原石，50000寵物精華，雅典娜碎片*5(可找女神直接兌換其他夥伴碎片)，999朵玫瑰*20</font>	0	0	shop_1052	0
