星宿id	星宿名稱	星宿升級所需經驗	兌換消耗	可否兌換	最低兌換等級	命力計算參數	星宿類型	星宿品質	星宿提供經驗	星宿圖示	出售價格	最低穿戴等級	每级增加数值	每级增加数值	星宿說明1	星宿兌換說明	星宿說明	啟動需求星宿id1	啟動說明1	啟動需求星宿id2	啟動說明2	是否可拾取	是否可賣出
10350801	摩羯	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	100	0.1	1	5	720	10032	27000	1	60	0	增加格擋等級%	每升一級增加格擋等級%	0	0	0	0	0	1	1
10350901	金牛	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	20	0.1	1	5	720	10033	27000	1	5	0	增加怒氣%	每升一級增加怒氣%	0	0	0	0	0	1	1
10351001	天蠍	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	60	0.1	1	5	720	10034	27000	1	60	0	增加破擊等級%	每升一級增加破擊等級%	0	0	0	0	0	1	1
10351101	射手	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	60	0.1	1	5	720	10035	27000	1	60	0	增加必殺等級%	每升一級增加必殺等級%	0	0	0	0	0	1	1
10351201	天秤	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	60	0.1	1	5	720	10036	27000	1	60	0	增加韌性等級%	每升一級增加韌性等級%	0	0	0	0	0	1	1
10351301	仙王	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640	100	1	90	0.1	4	5	200000	10037	27000	1	2000	5	生命%&怒氣%&吞噬后將保留星宿經驗	每升一級增加生命%和怒氣%	0	10350401	需要吞噬白羊啟動	10350901	需要吞噬金牛啟動	1	1
10351401	英仙	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640	100	1	110	0.1	4	5	200000	10039	27000	1	500	500	物理攻擊%&絕技攻擊%&吞噬后將保留星宿經驗	每升一級增加物理攻擊%和絕技攻擊%	0	10350101	需要吞噬雙子啟動	10350201	需要吞噬巨蟹啟動	1	1
10351501	武仙	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640	100	1	120	0.1	4	5	200000	10042	27000	1	60	60	暴擊等級%&必殺等級%&吞噬后將保留星宿經驗	每升一級增加暴擊等級%和必殺等級%	0	10350601	需要吞噬雙魚啟動	10351101	需要吞噬射手啟動	1	1
10351601	仙后	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640	100	1	100	0.1	4	5	200000	10038	27000	1	60	60	韌性%&破擊等級%&吞噬后將保留星宿經驗	每升一級增加韌性%和破擊等級%	0	10351201	需要吞噬天秤啟動	10351001	需要吞噬天蠍啟動	1	1
10351701	寶瓶	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	120	0.1	1	5	720	10057	27000	1	60	0	增加守護等級%	每升一級增加守護等級%	0	0	0	0	0	1	1
10351801	長蛇	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	130	0.1	6	6	500000	10044	27000	1	0	0	增加物理攻擊%	增加物理攻擊，最高可升至15級	0	0	0	0	0	1	1
10351901	室女	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	140	0.1	6	6	500000	10055	27000	1	0	0	增加物理防禦%	增加物理防禦，最高可升至15級	0	0	0	0	0	1	1
10352001	大犬	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	150	0.1	6	6	500000	10043	27000	1	0	0	增加絕技攻擊%	增加絕技攻擊，最高可升至15級	0	0	0	0	0	1	1
10352101	三角	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	150	0.1	6	6	500000	10050	27000	1	0	0	增加絕技防禦%	增加絕技防禦，最高可升至15級	0	0	0	0	0	1	1
10352201	羅盤	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	150	0.1	6	6	500000	10045	27000	1	0	0	增加命中等級%	增加命中等級，最高可升至15級	0	0	0	0	0	1	1
10352301	波江	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	150	0.1	6	6	500000	10059	27000	1	0	0	增加閃避等級%	增加閃避等級，最高可升至15級	0	0	0	0	0	1	1
10352401	仙女	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	150	0.1	6	6	500000	10048	27000	1	0	0	增加法術攻擊%	增加法術攻擊，最高可升至15級	0	0	0	0	0	1	1
10352501	船帆	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	160	0.1	6	6	500000	10056	27000	1	0	0	增加守護等級%	增加守護等級，最高可升至15級	0	0	0	0	0	1	1
10352601	蝎虎	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	160	0.1	6	6	500000	10049	27000	1	0	0	增加必殺等級%	增加必殺等級，最高可升至15級	0	0	0	0	0	1	1
10352701	盾牌	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	150	0.1	6	6	500000	10052	27000	1	0	0	增加格擋等級%	增加格擋等級，最高可升至15級	0	0	0	0	0	1	1
10352801	豺狼	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	150	0.1	6	6	500000	10047	27000	1	0	0	增加破擊等級%	增加破擊等級，最高可升至15級	0	0	0	0	0	1	1
10352901	鳳凰	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	150	0.1	6	6	500000	10046	27000	1	0	0	增加暴擊等級%	增加暴擊等級，最高可升至15級	0	0	0	0	0	1	1
10353001	巨爵	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	150	0.1	6	6	500000	10054	27000	1	0	0	增加韌性等級%	增加韌性等級，最高可升至15級	0	0	0	0	0	1	1
10353101	小獅	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	150	0.1	6	6	500000	10058	27000	1	0	0	增加怒氣%	增加怒氣，最高可升至15級	0	0	0	0	0	1	1
10353201	鹿豹	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	150	0.1	6	6	500000	10051	27000	1	0	0	增加生命%	增加生命，最高可升至15級	0	0	0	0	0	1	1
10353301	麒麟	0|1920|3840|7680|15360|30720|61440|122880|184320|245760|307200|368640|491520|614400|798720	200	1	160	0.1	6	6	500000	10053	27000	1	0	0	增加抵抗眩暈等級%	增加抵抗眩暈等級，最高可升至15級	0	0	0	0	0	1	1
10353401	真仙王	0|3840|7680|15360|61440|122880|245760|491520|737280|983040|1228800|1474560|1720320|1966080|2211840|2457600|2703360|2949120	400	1	170	0.1	4	7	750000	10060	40000	1	0	0	生命%&怒氣%&吞噬后將保留星宿經驗	每升一級大幅增加生命和怒氣	0	10353201	需要吞噬鹿豹啟動	10353101	需要吞噬小獅啟動	1	1
10353501	真英仙	0|3840|7680|15360|61440|122880|245760|491520|737280|983040|1228800|1474560|1720320|1966080|2211840|2457600|2703360|2949120	400	1	170	0.1	4	7	750000	10061	40000	1	0	0	物理攻擊%&絕技攻擊%&吞噬后將保留星宿經驗	每升一級大幅增加物理攻擊和絕技攻擊	0	10351801	需要吞噬長蛇啟動	10352001	需要吞噬大犬啟動	1	1
10353601	真武仙	0|3840|7680|15360|61440|122880|245760|491520|737280|983040|1228800|1474560|1720320|1966080|2211840|2457600|2703360|2949120	400	1	170	0.1	4	7	750000	10062	40000	1	0	0	暴擊等級%&必殺等級%&吞噬后將保留星宿經驗	每升一級大幅增加暴擊等級和必殺等級	0	10352901	需要吞噬鳳凰啟動	10352601	需要吞噬蝎虎啟動	1	1
10353701	真仙后	0|3840|7680|15360|61440|122880|245760|491520|737280|983040|1228800|1474560|1720320|1966080|2211840|2457600|2703360|2949120	400	1	170	0.1	4	7	750000	10063	40000	1	0	0	韌性%&破擊等級%&吞噬后將保留星宿經驗	每升一級大幅增加韌性和破擊等級	0	10353001	需要吞噬巨爵啟動	10352801	需要吞噬豺狼啟動	1	1
10360101	星座碎片	0|10000000	0	0	0	0	2	5	0	10040	27000	1	0	0	碎片	碎片	0	0	0	0	0	1	1
10370101	星座之力	0|10000000	0	0	0	0.075	5	4	1200	10036	27000	1	0	0	可为其他星宿增加1200点经验	可为其他星宿增加1200点经验	0	0	0	0	0	1	1
10380101	彗星	0|10000000	0	0	0	0	3	0	0	10041	5400	1	0	0	不祥的象徵，會帶來災難和厄運	不祥的象徵，會帶來災難和厄運	0	0	0	0	0	0	1
10380201	彗星	0|10000000	0	0	0	0	3	0	0	10041	5400	1	0	0	不祥的象徵，會帶來災難和厄運	不祥的象徵，會帶來災難和厄運	0	0	0	0	0	0	1
10380301	彗星	0|10000000	0	0	0	0	3	0	0	10041	5400	1	0	0	不祥的象徵，會帶來災難和厄運	不祥的象徵，會帶來災難和厄運	0	0	0	0	0	0	1
10380401	彗星	0|10000000	0	0	0	0	3	0	0	10041	5400	1	0	0	不祥的象徵，會帶來災難和厄運	不祥的象徵，會帶來災難和厄運	0	0	0	0	0	0	1
