id	物品id	原價（显示用）	價格	每日限購(-1表示不限購)	需求等級	活動期間限購(-1表示不限購)	總限購(-1表示不限購)	是否在普通商城上架	隸屬切頁(1熱賣2時裝3超值禮包4限時搶購)	标签(0无1new2hot)	备注	顯示	是否时装	时装id	物品圖片	活動限制
18	30300271	600	188	2	45	10	-1	0	3	1	300寶石碎片	"使用可獲得<font color=""#fff100"">300寶石碎片</font>"	0	0	shop_1017	0
19	30300272	50	18	2	60	10	-1	0	3	2	1幸運點	"使用可獲得<font color=""#fff100"">1幸運點</font>"	0	0	shop_1019	0
20	30300273	500	188	2	60	10	-1	0	3	1	10幸運點	"使用可獲得<font color=""#fff100"">10幸運點</font>"	0	0	shop_1019	0
21	30300274	50	30	1	40	5	-1	0	3	2	10黃色徽章	"使用可獲得<font color=""#fff100"">黃色徽章*10</font>"	0	0	shop_1021	0
22	30300275	500	250	1	40	5	-1	0	3	1	100黃色徽章	"使用可獲得<font color=""#fff100"">黃色徽章*100</font>"	0	0	shop_1021	0
23	30300252	4888	2888	1	10	1	-1	1	1|2	1	天神之翼禮包	"打開可獲得<font color=""#fff100"">天神之翼</font>"	1	2	shop_1023	0
24	30300253	2666	666	1	10	1	-1	1	1|2	1	精灵之翼禮包	"打開可獲得<font color=""#fff100"">精靈之翼</font>"	1	3	shop_1024	0
25	30300276	2666	666	1	10	1	-1	0	1|2	2	天使之翼禮包	"打開可獲得<font color=""#fff100"">天使之翼</font>"	1	1	shop_1025	0
26	30300277	2888	888	1	10	1	10	0	3	1	白銀大寶箱	"打開可獲得<font color=""#fff100"">5000聲望、5幸運點、50000天賦點</font>"	0	0	shop_1026	0
27	30300278	3888	1888	1	10	1	10	0	3	1	黃金大寶箱	"打開可獲得<font color=""#fff100"">10000聲望、10幸運點、100000天賦點</font>"	0	0	shop_1027	0
28	30300279	5888	2888	1	10	1	10	0	3	1	白金大寶箱	"打開可獲得<font color=""#fff100"">20000聲望、20幸運點、200000天賦點</font>"	0	0	shop_1028	0
29	30300618	200	99	10	10	10	-1	1	1|3	1	隨機變身卡禮包	"打開可獲得<font color=""#ff00ff"">隨機變身卡*100，有幾率變身稀有角色</font>"	0	0	shop_1029	0
30	30300619	4000	2000	2	20	2	-1	1	1|3	1	20級星座寶盒	"打開可隨機獲得星座<font color=""#FFFF00"">白羊、金牛</font>中的一個"	0	0	shop_1030	0
31	30300620	4000	2000	5	60	5	-1	1	1|3	1	60級星座寶盒	"打開可隨機獲得星座<font color=""#FFFF00"">雙子、獅子、巨蟹、處女、天蠍、射手、天秤</font>中的一個"	0	0	shop_1030	0
32	30410001	5	2	5	10	-1	-1	1	3	1	初級戰鬥加速藥劑	使用后提高戰鬥速度為2倍，持續時間1個小時	0	0	shop_1032	0
33	30410002	10	3	5	10	-1	-1	1	3	1	中級戰鬥加速藥劑	使用后提高戰鬥速度為2倍，持續時間2個小時	0	0	shop_1033	0
34	30410003	20	5	5	10	-1	-1	1	3	2	高級戰鬥加速藥劑	使用后提高戰鬥速度為2倍，持續時間4個小時	0	0	shop_1034	0
35	30300621	400	200	5	10	-1	-1	1	1|3	1	女神卡	使用后可增加當前未喚醒女神的親密度100點	0	0	shop_1035	0
36	30300622	2888	888	1	10	1	-1	1	1|2	1	炫彩之翼禮包	"打開可獲得<font color=""#fff100"">炫彩之翼</font>"	1	4	shop_1036	0
37	30300627	15000	8888	1	10	1	-1	1	1|2	1	墮天使之翼禮包	"打開可獲得<font color=""#fff100"">墮天使之翼</font>"	1	5	shop_1037	0
38	30600023	800	499	1	50	5	-1	1	1	1	寵物改名卡	使用可給寵物更改昵稱	0	0	shop_1038	0
39	30600137	900	499	1	10	1	1	1	1	1	獸王戒指	爲了獸人！	0	0	shop_1039	29
40	30600025	10000	6000	1	10	1	1	1	1	1	血色翅膀	"打開可獲得<font color=""#fff100"">血色翅膀</font>"	1	31	shop_1040	29
41	40000051	500	288	-1	10	-1	-1	0	3	1	周年禮包	"打開可隨機獲得<font color=""#fff100"">大量銀幣，7階藥劑，火種，玫瑰，體力，聲望，神運點，黃色徽章，真影刃碎片</font>"	0	0	shop_1041	63
42	30640196	888	388	-1	10	-1	-1	1	1|3	1	冬日禮包	"打開可隨機獲得<font color=""#fff100"">維納斯碎片，阿瑞斯碎片，腥紅血翼禮包，雪球，火種，寵物試煉石，玫瑰，幸運火雞，黃色徽章</font>"	0	0	shop_2042	64
43	30600028	15000	9888	1	10	-1	-1	0	3	1	国庆节豪华翅膀	"打開可獲得<font color=""#fff100"">国庆节豪华翅膀</font>"	1	34	shop_1043	0
44	40000037	12000	8588	1	10	-1	-1	0	3	1	智天使之翼禮包	"打開可獲得<font color=""#fff100"">智天使之翼</font>"	1	28	shop_1044	0
45	30600031	10000	6888	1	10	-1	-1	0	3	1	国庆节时装	"打開可獲得<font color=""#fff100"">国庆节时装</font>"	1	37	shop_1045	0
46	30600025	6000	3588	1	10	-1	-1	0	3	1	国庆节翅膀	"打開可獲得<font color=""#fff100"">国庆节翅膀</font>"	1	31	shop_1046	0
47	30300843	5000	2588	1	10	-1	-1	0	3	1	萬聖節時裝禮包	"打開可獲得<font color=""#fff100"">萬聖節時裝</font>"	1	15	shop_1047	0
48	30640209	5000	2588	1	10	-1	-1	0	3	1	結婚禮服	"打開可獲得<font color=""#fff100"">結婚禮服</font>"	1	71	shop_1048	0
49	30640197	1000	300	3	10	-1	-1	0	3	2	精品禮包	"打開可獲得<font color=""#fff100"">黃色徽章*200，體力*100，1000萬銀幣</font>"	0	0	shop_1049	0
50	30640198	3000	1000	3	10	-1	-1	0	3	2	超值禮包	"打開可獲得<font color=""#fff100"">黃色徽章*1000，體力*200，3000萬銀幣，寵物原石*14000</font>"	0	0	shop_1050	0
51	30640199	10000	3000	3	10	-1	-1	0	3	2	黃金禮包	"打開可獲得<font color=""#fff100"">黃色徽章*2000，體力*300，3000萬銀幣，寵物原石*30000，雅典娜碎片*1(可找女神直接兌換其他夥伴碎片)</font>"	0	0	shop_1051	0
52	30640200	30000	10000	3	10	-1	-1	0	3	2	至尊禮包	"打開可獲得<font color=""#fff100"">黃色徽章*3000，體力*1000，5000萬銀幣，寵物原石*60000，雅典娜碎片*5(可找女神直接兌換其他夥伴碎片)</font>"	0	0	shop_1052	0
53	30700002	10	5	-1	10	-1	-1	0	3	2	全服喊話喇叭	可用於全服戰期間在活動頻道全服講話	0	0	shop_1053	0
54	30640243	100	48	-1	10	-1	-1	0	3	2	全服喊話喇叭*10禮包	"打開可獲得<font color=""#FFFF00"">全服喊話喇叭*10</font>"	0	0	shop_1052	0
55	30640242	300	100	1	10	-1	-1	0	1|3	2	新年快樂	"打開可獲得<font color=""#fff100"">冰雪時裝-紅(1天)</font>"	1	63	shop_1055	0
56	30640361	855	599	-1	10	-1	-1	0	3	2	煙花寶箱	"打開可隨機獲得<font color=""#fff100"">注能卷轴宝箱,随机伙伴碎片,冰雪时装-红(碎片),1000万银币,30火种,30宠物试炼石,300体力,300黄色徽章</font>"	0	0	shop_1041	0
57	30300262	599	299	2	10	-1	-1	1	1|3	2	美味燒雞	"使用可獲得<font color=""#fff100"">200體力</font>"	0	0	shop_1008	0
58	30300262	299	209	2	10	-1	-1	0	3	2	美味燒雞(限时)	"使用可獲得<font color=""#fff100"">200體力</font>"	0	0	shop_1008	0
59	30640362	1800	1200	3	10	-1	-1	1	1|3	2	黃色徽章寶箱	"打開可隨機獲得<font color=""#fff100"">300-1000黃色徽章</font>"	0	0	shop_1021	0
60	30640362	1200	840	3	10	-1	-1	0	3	2	黃色徽章寶箱(限时)	"打開可隨機獲得<font color=""#fff100"">300-1000黃色徽章</font>"	0	0	shop_1021	0
61	30640363	5999	4000	2	10	-1	-1	1	1|3	2	幸運點寶箱	"打開可獲得<font color=""#fff100"">100幸運點</font>"	0	0	shop_1019	0
62	30640363	4000	2800	2	10	-1	-1	0	3	2	幸運點寶箱(限时)	"打開可獲得<font color=""#fff100"">100幸運點</font>"	0	0	shop_1019	0
63	30640342	1800	1000	2	10	-1	-1	1	1|3	2	10神鐵禮包	"打開可獲得<font color=""#fff100"">神鐵*10</font>"	0	0	shop_1041	0
64	30640342	1000	700	2	10	-1	-1	0	3	2	10神鐵禮包(限时)	"打開可獲得<font color=""#fff100"">神鐵*10</font>"	0	0	shop_1041	0
65	30640338	1800	1000	2	10	-1	-1	1	1|3	2	100精煉石禮包	"打開可獲得<font color=""#fff100"">精煉石*100</font>"	0	0	shop_1041	0
66	30640338	1000	700	2	10	-1	-1	0	3	2	100精煉石禮包(限时)	"打開可獲得<font color=""#fff100"">精煉石*100</font>"	0	0	shop_1041	0
67	30640364	800	500	2	10	-1	-1	1	1|3	2	神力石寶箱	"打開可獲得<font color=""#fff100"">神力石*10</font>"	0	0	shop_1041	0
68	30640364	500	350	2	10	-1	-1	0	3	2	神力石寶箱(限时)	"打開可獲得<font color=""#fff100"">神力石*10</font>"	0	0	shop_1041	0
