活动id	活动描述	表类名（有奖励显示的通用模板使用）	獎勵禮包	持續時間	截止時間	倍率	活動描述	图标	资源	标题	是否显示
1028	元旦禮包	0	0	3	3	0		images/activities/1028.png	windows/activities/newyear.csb	windows/activities/title/1028_title.png	1
1029	在線禮包	0	0	3	3	0		images/activities/1029.png	0	windows/activities/title/1029_title.png	1
1030	美味大餐全天享	0	0	7	7	0	活動期間，每日午餐、晚餐、以及夜宵均可全天保留！更有精美早餐可以享用！|溫馨提示：|1.早餐的供應時間為早上7:00開始。|2.早餐、午餐、晚餐、夜宵均保留至第二天5:00。	images/activities/1030.png	0	windows/activities/title/1030_title.png	1
1031	換裝	0	90005004	3	3	0	0	images/activities/1045.png	windows/activities/1045/valentine.csb	windows/activities/title/1045_title.png	1
1032	技能升级钱数减半	0	0	3	3	0.5	活動期間，戰姬技能升級所需錢數減半！	images/activities/1032.png	0	windows/activities/title/1032_title.png	1
1033	旅行商人出现几率提升	0	0	7	7	0.35	活動期間，旅行商人出現機率大幅提升！千萬別錯過他！	images/activities/1033.png	0	windows/activities/title/1033_title.png	1
1034	新春登錄送大禮	0	0	7	7	0		images/activities/1034.png	windows/activities/activity_weeklogin/activity_weeklogin.csb	windows/activities/title/1034_title.png	1
1035	纍計儲值活動	0	90001067	-1	-1	0	0	images/activities/1035.png		windows/activities/title/1035_title.png	0
1036	新春儲值送紅包	0	0	7	7	0	0	0	0	0	0
1037	春節大轉盤	0	0	7	7	0	活動期間，消耗轉盤次數來抽取轉盤禮包！	images/activities/1037.png	0	windows/activities/title/1037_title.png	1
1038	新年副本	0	0	7	7	0		images/activities/1038.png	windows/activities/nian/nian_activity.csb	windows/activities/title/1038_title.png	1
1039	春節開禮包	0	0	7	7	0	活動期間，購買春節大禮包！	images/activities/1039.png	windows/activities/spring_festival_gift/spring_gift.csb	windows/activities/title/1039_title.png	1
1040	稀有戰姬大放送	ActivityHeroSellingTable	0	3	3	0	活動時間內，每日儲值達到指定金額（不包含系統贈送鑽石，每日儲值鑽石數不計入第二天），即可免費獲得一個戰姬禮包的獎勵！玩家打開戰姬禮包可以任意選擇一名歷史儲值活動戰姬，將其帶回家！（禮包中包括周泰、德古拉、顏良、文醜、服部半藏、袁術、赤兔、夏侯淵、漢獻帝和孫乾，多個戰姬禮包選擇的戰姬不可重複！）	images/activities/1040.png	0	windows/activities/title/1040_title.png	1
1041	元宵猜燈謎	0	0	6	6	0	0	images/activities/1041.png	0	windows/activities/title/1041_title.png	1
1042	開服七天大狂歡	0	0	-1	8	0	0	0	0	0	0
1043	歡度兒童節	0	0	3	3	0		images/activities/1043.png	0	windows/activities/title/1043_title.png	1
1044	VIP每週好禮	0	0	-1	-1	0	只要儲值成為VIP，即可享受為VIP量身定制的專屬優惠禮包，海量金幣、體力、經驗飲料等豐厚好禮等你來拿，每週僅限量購買1個哦！	images/activities/1044.png	windows/activities/1044/vipweek.csb	windows/activities/title/1044_title.png	1
1046	櫻花祭超值禮盒	0	0	7	7	0	活動期間，購買櫻花祭超值禮盒	images/activities/1046.png	windows/activities/1046/sakura_sell.csb	windows/activities/title/1046_title.png	1
1047	櫻花祭儲值大放送	ActivitySakuraChargeTable	0	7	7	0	活動時間內，玩家在遊戲內累計儲值達到活動條件（不包含系統贈送鑽石），即可領取對應獎勵。|每種獎勵只可領取一次，所有獎勵均可累積獲得。|例如：玩家儲值26800鑽，就可以直接獲得五星袁術！	images/activities/1047.png		windows/activities/title/1047_title.png	1
1048	櫻花祭登陸送不停	ActivitySakuraLoginTable	0	7	7	0	1、活動期間，每天首次登陸即可領取櫻花祭禮包。|2、登陸天數計算的是累計登陸天數，並非連續登陸天數，隔天登陸天數不重置。|3、累積不同天數對應的禮包只能領取一次，記得每天來領喲！	images/activities/1048.png		windows/activities/title/1048_title.png	1
1049	櫻花祭風紀監察	0	0	7	7	0	      熱鬧的櫻花祭開始了，但奇怪的是每天都會出現許多搗亂者，打倒他們可以獲得風紀委員會的豐厚獎勵	images/activities/1049.png	windows/activities/1049/activity_1049.csb	windows/activities/title/1049_title.png	1
1050	櫻花祭踏青活動	0	0	7	7	0		images/activities/1050.png	windows/activities/1050/outing.csb	windows/activities/title/1050_title.png	1
1051	櫻花福袋	0	0	7	7	0					0
1052	風箏節儲值送風箏	0	0	7	7	0	活動時間內，玩家在遊戲內累計儲值達到活動條件（不包含系統贈送鑽石），即可領取對應獎勵。|每種獎勵不限制領取次數，所有獎勵均可累積獲得。				1
1053	風箏節風箏王競選	0	0	7	7	0	1、本季風箏王競選結束時，競選票數第一名的玩家為本季風箏節的風箏王。|風箏王擁有獨特的榮譽和獎勵喔，想要為王的少年們快來參加吧。				1
1054	風箏節登陸送不停	ActivityKiteLoginTable	0	7	7	0	1、活動期間，每天首次登陸即可領取風箏節登陸禮包。|2、登陸天數計算的是累計登陸天數，並非連續登陸天數，隔天登陸天數不重置。|3、累積不同天數對應的風箏獎勵只能領取一次，記得每天來領喲！	images/activities/1054.png		windows/activities/title/1054_title.png	1
1055	幸運刮刮樂	0	0	7	7	0		images/activities/1055.png	windows/activities/1055/lucky_scratch.csb	windows/activities/title/1055_title.png	1
1056	新造型限時特價	0	0	3	3	0	新造型上架，顯示3天特價！還在等什麼？	images/activities/1056.png	0	windows/activities/title/1056_title.png	0
1057	萌寵送禮	0	0	7	7	0	活動期間，購買萌寵大禮包！	images/activities/1057.png	windows/activities/1057/pet_gift.csb	windows/activities/title/1057_title.png	1
1058	萌寵戰姬大放送	ActivityPetDayTable	0	3	3	0	0	images/activities/1058.png	windows/activities/1058/normal_activity.csb	windows/activities/title/1058_title.png	1
1059	審核禮包活動	0	0	-1	-1	0	0	images/activities/1035.png		windows/activities/title/1035_title.png	0
1060	端午節龍舟大賽	0	0	7	7	0	端午節龍舟大賽	0	0	0	1
1061	端午節品粽大會	0	0	7	7	0	端午節品粽大會	images/activities/1061.png	windows/activities/1061/main.csb	windows/activities/title/1061_title.png	1
