编号	坐骑id	名称	坐騎圖標	坐騎buff图标	角色id	变身後id	貨幣類型：1為銅錢，2為道具，4為元寶	貨幣ID	貨幣數量	商店是否顯示，0不顯示，1顯示	前端排序	時間限制	描述	移动速度(万分比）	品質	特效	属性加成id	属性加成数量	组号	对应的坐骑礼包itemid	需要的坐骑碎片数量	是否顯示在百發百中	是否在坐騎圖鑒兌換	精裝是否活動禮包0.是1.否（前端用）	精裝獨立特效(原夥伴絕技特效不顯示)(前端使用）
17	30420016	犰狳	30420016_1	30420016_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001121|70001122|70001123|70001124|70001125|70001126|70001007|70001008|70001009|70001010	4	0	99999	0	17	-1	犰狳是2014世界盃吉祥物，絕版坐騎！	12000	4	0	1|2|3	20|20|20	3	30300587	300	1	1	1	0
18	30420017	九州神龍	30420017_1	30420017_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001131|70001132|70001133|70001134|70001135|70001136|70001007|70001008|70001009|70001010	4	0	99999	0	18	-1	傳說中的坐騎，非常稀有罕見！只有身具龍脈的人才能駕馭它！	15000	6	0	4|1|2|3	1000|50|50|50	1	30300611	600	1	0	1	0
19	30420018	火麒麟	30420018_1	30420018_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001141|70001142|70001143|70001144|70001145|70001146|70001007|70001008|70001009|70001010	4	0	99999	0	19	-1	古代瑞獸火麒麟！	13000	5	0	1|2|3	20|20|20	2	30300633	300	1	0	1	0
20	30420019	吉祥兔	30420019_1	30420019_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001151|70001152|70001153|70001154|70001155|70001156|70001007|70001008|70001009|70001010	4	0	99999	0	20	-1	月宮祥瑞之一！大幅增加移動速度，通過官方活動獲得！	12000	5	0	1|2|3	20|20|20	3	30300660	300	1	1	1	0
21	30420020	如意兔	30420020_1	30420020_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001161|70001162|70001163|70001164|70001165|70001166|70001007|70001008|70001009|70001010	4	0	99999	0	21	-1	月宮祥瑞之一！大幅增加移動速度，通過官方活動獲得！	12000	5	0	1|2|3	20|20|20	3	30300661	300	1	1	1	0
22	30420021	八荒火龍	30420021_1	30420021_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001171|70001172|70001173|70001174|70001175|70001176|70001007|70001008|70001009|70001010	4	0	99999	0	22	-1	毀天滅地的神獸，焚盡世間萬物	15000	6	0	4|1|2|3	1000|50|50|50	1	30300899	600	1	0	1	0
23	30420022	九天金龍	30420022_1	30420022_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001181|70001182|70001183|70001184|70001185|70001186|70001007|70001008|70001009|70001010	4	0	99999	0	23	-1	上古神獸，騎乘可一日之內漫遊九天	15000	6	0	4|1|2|3	1000|50|50|50	1	30300900	600	1	0	1	0
24	30420023	南瓜雪橇車	30420023_1	30420023_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001191|70001192|70001193|70001194|70001195|70001196|70001007|70001008|70001009|70001010	4	0	99999	0	24	-1	萬聖節專屬南瓜車！	13000	5	0	1|2|3	20|20|20	6	30300904	300	1	1	1	0
25	30420018	火麒麟（15天）	30420018_1	30420018_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001141|70001142|70001143|70001144|70001145|70001146|70001007|70001008|70001009|70001010	4	0	99999	0	25	1209600	古代瑞獸火麒麟！	13000	5	0	1|2|3	20|20|20	2	30301425	150	1	0	1	0
26	30420014	赤兔馬（30天）	30420014_1	30420014_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001201|70001202|70001203|70001204|70001205|70001206|70001007|70001008|70001009|70001010	4	0	99999	0	26	2592000	三國第一名馬！人中呂布，馬中赤兔！	12000	4	chituhuo	1|2|3	20|20|20	5	30301424	100	1	1	1	0
27	30420025	結婚時裝	30420025_1	30420025_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	71001001|71001002|71001003|71001004|71001005|71001006|71001007|71001008|71001009|71001010	4	0	99999	0	27	604800	喜慶的結婚禮服！	10000	5	0	0	0	8	0	0	0	0	1	0
28	30420028	五彩錦雞	30420028_1	30420028_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001211|70001212|70001213|70001214|70001215|70001216|70001007|70001008|70001009|70001010	4	0	99999	0	28	-1	五彩錦雞，古代祥瑞之一	12000	5	0	1|2|3	20|20|20	3	30300963	300	1	1	1	0
29	30420029	聖誕雪橇車	30420029_1	30420029_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001221|70001222|70001223|70001224|70001225|70001226|70001007|70001008|70001009|70001010	4	0	99999	0	29	-1	聖誕老人的雪橇車！	13000	5	xueqiaoche	1|2|3	20|20|20	6	30300984	300	1	1	1	0
30	30420030	白虎（30天）	30420030_1	30420030_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001231|70001232|70001233|70001234|70001235|70001236|70001007|70001008|70001009|70001010	4	0	99999	0	30	2592000	四大神獸之一！大幅增加移動速度，通過官方活動獲得！	15000	5	baihu	1|2|3	50|50|50	2	30301068	250	1	0	1	0
31	30420030	白虎	30420030_1	30420030_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001231|70001232|70001233|70001234|70001235|70001236|70001007|70001008|70001009|70001010	4	0	99999	0	31	-1	四大神獸之一！大幅增加移動速度，通過官方活動獲得！	15000	5	baihu	1|2|3	50|50|50	2	30301107	500	1	0	1	0
32	30420032	綿羊	30420032_1	30420032_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001241|70001242|70001243|70001244|70001245|70001246|70001007|70001008|70001009|70001010	4	0	99999	0	32	-1	2015春節坐騎！羊年吉祥！	12000	5	0	1|2|3	20|20|20	3	30301117	300	1	1	1	0
33	30420033	祈福貓	30420033_1	30420033_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001261|70001262|70001263|70001264|70001265|70001266|70001007|70001008|70001009|70001010	4	0	99999	0	33	-1	祈福貓坐騎！能給主人帶來好運！	12000	5	0	1|2|3	20|20|20	3	30301133	300	1	1	1	0
34	30420034	南蠻象	30420034_1	30420034_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001281|70001282|70001283|70001284|70001285|70001286|70001007|70001008|70001009|70001010	4	0	99999	0	34	-1	威風凜凜的南蠻戰象！	10000	5	0	1|2|3	20|20|20	3	30301145	350	1	1	1	0
35	30420035	電光紫龍	30420035_1	30420035_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001301|70001302|70001303|70001304|70001305|70001306|70001007|70001008|70001009|70001010	4	0	99999	0	35	-1	來自地獄深淵的黑暗巨龍！	15000	6	0	4|1|2|3	1000|50|50|50	1	30301146	600	1	0	1	0
36	30420036	白沙銀龍	30420036_1	30420036_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001291|70001292|70001293|70001294|70001295|70001296|70001007|70001008|70001009|70001010	4	0	99999	0	36	-1	傳說只存在于幻境中的神龍！	15000	6	0	4|1|2|3	1000|50|50|50	1	30301147	600	1	0	1	0
37	30420037	九天仙蓮	30420037_1	30420037_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001311|70001312|70001313|70001314|70001315|70001316|70001007|70001008|70001009|70001010	4	0	99999	0	37	-1	源自九天之上的仙蓮下凡塵！	12000	4	0	1|2|3	20|20|20	4	30301156	300	1	1	1	0
38	30420038	神武都尉時裝（30天）	30420038_1	30420038_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001251|70001255|70001253|70001252|70001256|70001254|70001007|70001008|70001009|70001010	4	0	99999	0	38	2592000	神武都尉時裝	10000	5	0	1|2|3	10|10|10	8	0	0	0	0	1	0
39	30420039	亂世梟雄時裝	30420039_1	30420039_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001271|70001272|70001273|70001274|70001275|70001276|70001007|70001008|70001009|70001010	4	0	99999	0	39	-1	亂世梟雄時裝	10000	5	0	1|2|3	20|20|20	8	0	0	0	0	1	0
40	30420038	神武都尉時裝	30420038_1	30420038_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001251|70001255|70001253|70001252|70001256|70001254|70001007|70001008|70001009|70001010	4	0	99999	0	40	-1	神武都尉時裝	10000	5	0	1|2|3	10|10|10	8	0	0	0	0	1	0
41	30420039	亂世梟雄時裝（30天）	30420039_1	30420039_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001271|70001272|70001273|70001274|70001275|70001276|70001007|70001008|70001009|70001010	4	0	99999	0	41	2592000	亂世梟雄時裝	10000	5	0	1|2|3	20|20|20	8	0	0	0	0	1	0
42	30420042	龍舟	30420042_1	30420042_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001321|70001322|70001323|70001324|70001325|70001326|70001007|70001008|70001009|70001010	4	0	99999	0	42	-1	2015端午節坐騎	13000	5	0	1|2|3	40|40|40	6	30301259	400	1	1	1	0
43	30420043	大貓熊坐騎	30420043_1	30420043_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001331|70001332|70001333|70001334|70001335|70001336|70001007|70001008|70001009|70001010	4	0	99999	0	43	-1	兩週年永久絕版坐騎	13000	5	0	1|2|3	20|20|20	6	30301261	400	1	0	1	0
44	30420044	山河畫卷	30420044_1	30420044_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001341|70001342|70001343|70001344|70001345|70001346|70001007|70001008|70001009|70001010	4	0	99999	0	44	-1	神秘的飛天仙毯坐騎	13000	5	0	1|2|3	20|20|20	4	30301393	300	1	1	1	0
45	30420043	大貓熊坐騎（90天）	30420043_1	30420043_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001331|70001332|70001333|70001334|70001335|70001336|70001007|70001008|70001009|70001010	4	0	99999	0	45	7776000	可愛的貓熊坐騎！	13000	5	0	1|2|3	10|10|10	6	30301307	200	1	0	1	0
46	30420046	旗幟	30420046_1	30420046_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001351|70001352|70001353|70001354|70001355|70001356|70001007|70001008|70001009|70001010	4	0	99999	0	46	-1	獨立日時裝	10000	5	0	1|2|3	10|10|10	0	0	0	0	0	1	0
47	30420047	神雕坐騎	30420047_1	30420047_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001357|70001358|70001359|70001360|70001361|70001362|70001007|70001008|70001009|70001010	4	0	99999	0	47	-1	大鵬一日同風起！	13000	5	0	1|2|3	20|20|20	3	30301309	300	1	1	1	0
48	30420048	夏日清涼時裝	30420048_1	30420048_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001363|70001364|70001365|70001366|70001367|70001368|70001007|70001008|70001009|70001010	4	0	99999	0	48	-1	炎炎夏日，快換上夏日清涼裝吧	10000	5	0	1|2|3	30|30|30	8	0	0	0	0	1	0
49	30420049	月亮船	30420049_1	30420049_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001369|70001370|70001371|70001372|70001373|70001374|70001007|70001008|70001009|70001010	4	0	99999	0	49	-1	但願人長久,千里共嬋娟！	15000	5	0	1|2|3	30|30|30	4	30301366	300	1	1	1	0
50	30420050	孔雀南客	30420050_1	30420050_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001375|70001376|70001377|70001378|70001379|70001380|70001007|70001008|70001009|70001010	4	0	99999	0	50	-1	孔雀東南飛，五裏一徘徊。	15000	5	0	1|2|3	40|40|40	2	30301394	400	1	0	1	0
51	30420051	駱駝	30420051_1	30420051_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001381|70001382|70001383|70001384|70001385|70001386|70001007|70001008|70001009|70001010	4	0	99999	0	51	-1	沙漠中的綠洲。	13000	5	0	1|2|3	20|20|20	3	30301395	200	1	1	1	0
52	30420052	飛馬	30420052_1	30420052_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001387|70001388|70001389|70001390|70001391|70001392|70001007|70001008|70001009|70001010	4	0	99999	0	52	-1	腳踏星光，飛翔天際。	15000	5	0	1|2|3	30|30|30	5	30301396	300	1	1	1	0
53	30420053	子女小毛驢	30420053_1	30420053_2	70090001|70090002|70090003|70090004|70090005|70090006|70090007|70090008|70090009|70090010	70001397|70001396|70001398|70001394|70001393|70001395|70001401|70001399|70001402|70001400	4	0	99999	0	53	-1	可愛的小毛驢坐騎	13000	5	0	1|2|3	50|50|50	99	0	0	0	0	1	0
54	30420054	南瓜頭（3天）	30420054_1	30420054_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001403|70001404|70001405|70001406|70001407|70001408|70001007|70001008|70001009|70001010	4	0	99999	0	54	259200	萬聖節南瓜頭時裝	10000	4	0	1|2|3	10|10|10	8	30301478	50	1	0	1	0
55	30420054	南瓜頭	30420054_1	30420054_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001403|70001404|70001405|70001406|70001407|70001408|70001007|70001008|70001009|70001010	4	0	99999	0	55	-1	萬聖節南瓜頭時裝	10000	5	0	1|2|3	10|10|10	8	30301479	300	1	0	1	0
56	30420054	南瓜頭（30天）	30420054_1	30420054_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001403|70001404|70001405|70001406|70001407|70001408|70001007|70001008|70001009|70001010	4	0	99999	0	56	2592000	萬聖節南瓜頭時裝	10000	4	0	1|2|3	10|10|10	8	30301485	150	1	0	1	0
57	30420055	八卦先祖 諸葛亮	30420056_1	30420056_2	0	70001409	4	0	5000	0	57	-1	人也？神也？仙也？吾不知之，真臥龍也！為真諸葛亮購買精裝，可為其永久增加屬性。購買後所有等級真諸葛亮立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|14	5000|50|100|100|800	0	0	0	0	0	1	0
58	30420056	羽林仕郎 孫策	30420055_1	30420055_2	0	70001410	4	0	5000	0	58	-1	一身能擎兩雕弧，虜騎千群只似無。為真孫策購買精裝，可為其永久增加屬性。購買後所有等級真孫策立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|24	5000|100|50|100|800	0	0	0	0	0	1	0
59	30420057	嵐靈斥候 小師妹	30420057_1	30420057_2	0	70001413	4	0	8000	0	59	-1	蜀錦皮靴玲瓏透，木弓靈箭敢斥候。為真小師妹購買精裝，可為其永久增加屬性。購買後所有等級真小師妹立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|26	8000|100|50|100|800	0	0	0	0	0	1	0
60	30420058	羽林郎將 孫權	30420058_1	30420058_2	0	70001414	4	0	8000	0	60	-1	年少萬兜鍪，坐斷東南戰未休。為真孫權購買精裝，可為其永久增加屬性。購買後所有等級真孫權立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|20	8000|100|50|100|800	0	0	0	0	0	1	0
61	30420059	草泥馬坐騎	30420059_1	30420059_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001417|70001418|70001419|70001420|70001421|70001422|70001423|70001424|70001425|70001426	4	0	99999	0	61	-1	2015年感恩節坐騎，他是一隻羊駝哦！	14000	5	0	1|2|3	30|30|30	3	30301508	200	1	1	1	0
62	30420062	子女小羊駝	30420062_1	30420062_2	70090001|70090002|70090003|70090004|70090005|70090006|70090007|70090008|70090009|70090010	70001431|70001430|70001432|70001428|70001427|70001429|70001435|70001433|70001436|70001434	4	0	99999	0	62	-1	可愛的小羊駝坐騎	13000	5	0	1|2|3	50|50|50	99	0	0	0	0	1	0
63	30420063	虎威將軍 呂蒙	30420063_1	30420063_2	0	70001416	4	0	5000	0	63	-1	呂蒙預定招降技，絕勝張良散楚歌。為真呂蒙呂蒙購買精裝，可為其永久增加屬性。購買後所有等級真呂蒙立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|9	5000|60|30|60|20000	0	0	0	0	0	1	0
64	30420064	翠羽青衫 黃舞蝶	30420064_1	30420064_2	0	70001437	4	0	8000	0	64	-1	劍若寒霜冰似月，魅影倚風走天涯。為神黃舞蝶購買精裝，可為其永久增加屬性。購買後所有等級神黃舞蝶立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|16	8000|100|50|100|800	0	0	0	0	0	1	0
65	30420065	赤炎軍神 馬超	30420065_1	30420065_2	0	70001438	4	0	10000	0	65	-1	獅盔赤鎧玉面郎，鐵騎千群霸西涼！為聖馬超購買精裝，可為其永久增加屬性。購買後所有等級聖馬超立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|9	10000|100|100|100|20000	0	0	0	0	0	1	0
66	30420066	元始天尊 左慈	30420066_1	30420066_2	0	70001439	4	0	10000	0	66	-1	萬物蒼生，幻化由心。道法天地，鬥轉星移！為真左慈購買精裝，可為其永久增加屬性。購買後所有等級真左慈立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|8	10000|100|100|100|20000	0	0	0	0	0	1	0
67	30420067	聖誕節時裝	30420067_1	30420067_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001440|70001441|70001442|70001443|70001444|70001445|70001446|70001447|70001448|70001449	4	0	99999	0	67	-1	聖誕節時裝	10000	5	0	1|2|3	30|30|30	8	30301584	300	0	0	1	0
68	30420068	聖誕馴鹿	30420068_1	30420068_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001450|70001451|70001452|70001453|70001454|70001455|70001456|70001457|70001458|70001459	4	0	99999	0	68	-1	聖誕節馴鹿	15000	5	xunlu	1|2|3	30|30|30	3	30301585	300	0	0	1	0
69	30420069	最強神話 呂布	30420069_1	30420069_2	0	70001470	4	0	10000	0	69	-1	虎牢單戟戰三英，轅門後羿愧無顏！！！為聖呂布購買精裝，可為其永久增加屬性。購買後所有等級聖呂布立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|24	10000|150|100|150|1000	0	0	0	0	0	1	0
70	30420070	笨笨	30420070_1	30420070_2	70090001|70090002|70090003|70090004|70090005|70090006|70090007|70090008|70090009|70090010	70001460|70001461|70001462|70001463|70001464|70001465|70001466|70001467|70001468|70001469	4	0	99999	0	70	-1	雪人之靈笨笨，是子女的保護者	13000	5	0	1|2|3	80|80|80	99	0	0	0	0	1	0
71	30420071	亂世梟雄 曹操	30420071_1	30420071_2	0	70001471	4	0	8000	0	71	-1	老驥伏櫪志在千里，烈士暮年壯心不已。為神曹操購買精裝，可為其永久增加屬性。購買後所有等級神曹操立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|7	8000|150|50|100|20000	0	0	0	0	0	1	0
72	30420072	白狼	30420072_1	30420072_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001472|70001473|70001474|70001475|70001476|70001477|70001478|70001479|70001480|70001481	4	0	99999	0	72	-1	這是一匹來自北方的狼！	13000	4	0	1|2|3	30|30|30	9	30301617	300	1	0	1	0
73	30420073	龍橫蜀漢 劉備	30420073_1	30420073_2	0	70001482	4	0	8000	0	73	-1	一世稱雄天下憚，敢教亂世寄我身。為真劉備購買精裝，可為其永久增加屬性。購買後所有等級真劉備立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|12	8000|100|50|100|20000	0	0	0	0	0	1	0
74	30420074	劍影仙蹤 黃舞蝶	30420074_1	30420074_2	0	70001483	4	0	99999	0	74	-1	衣冠勝雪舞清影，飄渺山河覓仙蹤。為神黃舞蝶購買精裝，可為其永久增加屬性。購買後所有等級神黃舞蝶立即生效，點擊啟用可改變夥伴外觀。	0	5	0	4|1|2|3|9	8000|100|50|100|20000	0	0	0	0	0	0	0
75	30420075	紅狼	30420075_1	30420075_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001484|70001485|70001486|70001487|70001488|70001489|70001490|70001491|70001492|70001493	4	0	99999	0	75	-1	全身紅色毛髮，與其他狼不同，透露著一股喜慶安詳的氣息。	13000	4	0	1|2|3	30|30|30	9	30301619	300	1	0	1	0
76	30420076	黃狼	30420076_1	30420076_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001494|70001495|70001496|70001497|70001498|70001499|70001500|70001501|70001502|70001503	4	0	99999	0	76	-1	金毛披身，如同黃色閃電的奔跑速度，是狼王的象徵！	13000	4	0	1|2|3	30|30|30	9	30301635	300	1	0	1	0
77	30420077	黑狼	30420077_1	30420077_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001514|70001515|70001516|70001517|70001518|70001519|70001520|70001521|70001522|70001523	4	0	99999	0	77	-1	相傳是邪惡的象徵，散發出黑暗氣息。	13000	4	0	1|2|3	30|30|30	9	30301641	300	1	0	1	0
