稱號編號	稱號說明	品質顏色	稱號類型	時效	功能編號	次數要求	屬性ID	屬性值	獎勵銅錢	描述	圖示	是否特效
45	綠林好漢	4	1	-1	104	100	3	10	300000	押送軍糧累積打劫100次	chenghao_229	0
46	江洋大盜	5	2	-1	104	1000	3	10	300000	押送軍糧累積打劫1000次	chenghao_230	0
47	獨孤求敗	5	2	2592000	77	1	1	0	300000	天下第一比武大賽冠軍稱號	chenghao_231	0
48	火眼金睛	4	1	-1	0	1	1	10	300000	獎勵反饋重大BUG的功臣	chenghao_115	0
49	天下無敵	6	2	2592000	77	1	1	10	300000	三國第一人！傲立九州之巔！官方活動獲得	chenghao_232	0
50	百戰精兵	1	1	-1	0	1	4	100	50000	官方活動獲得	chenghao_116	0
51	威虎校尉	2	1	-1	0	1	4	200	50000	官方活動獲得	chenghao_117	0
52	飛龍禦史	3	1	-1	0	1	14	10	50000	官方活動獲得	chenghao_118	0
53	神武都尉	4	1	-1	0	1	1	10	50000	官方活動獲得	chenghao_119	0
54	亂世梟雄	5	2	-1	0	1	1	20	50000	官方活動獲得	chenghao_233	0
55	所向披靡	4	2	-1	116	20	1	10	300000	仙境爭霸20連勝	chenghao_234	0
56	勢不可擋	5	2	-1	116	50	3	10	300000	仙境爭霸50連勝	chenghao_235	0
57	一戰定江山	6	2	-1	116	100	3	20	300000	仙境爭霸100連勝	chenghao_236	0
58	破陣尖兵	3	2	-1	109	1	4	200	500000	九煞天門陣第一重獲得5星評價	chenghao_237	0
59	闖陣先鋒	3	2	-1	109	1	3	10	1000000	九煞天門陣第二重獲得5星評價	chenghao_238	0
60	蕩寇校尉	4	2	-1	109	1	2	10	1500000	九煞天門陣第三重獲得5星評價	chenghao_239	0
61	討逆將軍	4	2	-1	109	1	1	10	2000000	九煞天門陣第四重獲得5星評價	chenghao_240	0
62	龍城飛將	5	2	-1	109	1	4	200	2500000	九煞天門陣第五重獲得5星評價	chenghao_241	0
63	虎賁元帥	5	2	-1	109	1	3	10	3000000	九煞天門陣第六重獲得5星評價	chenghao_242	0
64	武穆軍神	6	2	-1	109	1	2	10	3500000	九煞天門陣第七重獲得5星評價	chenghao_243	0
65	定國兵聖	6	2	-1	109	1	1	10	4000000	九煞天門陣第八重獲得5星評價	chenghao_244	0
67	精銳狀元	5	2	2592000	77	1	1	0	2000000	三國武狀元比賽精銳組狀元	chenghao_301	0
68	精銳榜眼	4	2	2592000	77	1	1	0	2000000	三國武狀元比賽精銳組榜眼	chenghao_302	0
69	精銳探花	3	2	2592000	77	1	1	0	2000000	三國武狀元比賽精銳組探花	chenghao_303	0
70	精銳菁英	2	2	2592000	77	1	1	0	2000000	三國武狀元比賽精銳組菁英	chenghao_304	0
71	破軍狀元	5	2	2592000	77	1	1	0	2000000	三國武狀元比賽破軍組狀元	chenghao_305	0
72	破軍榜眼	4	2	2592000	77	1	1	0	2000000	三國武狀元比賽破軍組榜眼	chenghao_306	0
73	破軍探花	3	2	2592000	77	1	1	0	2000000	三國武狀元比賽破軍組探花	chenghao_307	0
74	破軍菁英	2	2	2592000	77	1	1	0	2000000	三國武狀元比賽破軍組菁英	chenghao_308	0
75	神威狀元	5	2	2592000	77	1	1	0	2000000	三國武狀元比賽神威組狀元	chenghao_309	0
76	神威榜眼	4	2	2592000	77	1	1	0	2000000	三國武狀元比賽神威組榜眼	chenghao_310	0
77	神威探花	3	2	2592000	77	1	1	0	2000000	三國武狀元比賽神威組探花	chenghao_311	0
78	神威菁英	2	2	2592000	77	1	1	0	2000000	三國武狀元比賽神威組菁英	chenghao_312	0
79	天科狀元	5	2	2592000	77	1	1	0	2000000	三國武狀元比賽天科組狀元	chenghao_313	0
80	天科榜眼	4	2	2592000	77	1	1	0	2000000	三國武狀元比賽天科組榜眼	chenghao_314	0
81	天科探花	3	2	2592000	77	1	1	0	2000000	三國武狀元比賽天科組探花	chenghao_315	0
82	天科菁英	2	2	2592000	77	1	1	0	2000000	三國武狀元比賽天科組菁英	chenghao_316	0
83	感恩的心	3	1	-1	0	1	1	0	50000	官方活動獲得	chenghao_120	0
84	天元狀元	5	2	2592000	77	1	1	0	2000000	三國武狀元比賽天元組狀元	chenghao_317	0
85	天元榜眼	4	2	2592000	77	1	1	0	2000000	三國武狀元比賽天元組榜眼	chenghao_318	0
86	天元探花	3	2	2592000	77	1	1	0	2000000	三國武狀元比賽天元組探花	chenghao_319	0
87	天元菁英	2	2	2592000	77	1	1	0	2000000	三國武狀元比賽天元組菁英	chenghao_320	0
88	花容月貌	5	2	-1	0	1	1	10	2000000	官方活動獲得	chenghao_246	0
89	玉樹臨風	5	2	-1	0	1	1	10	2000000	官方活動獲得	chenghao_247	0
90	情投意合	4	2	-1	0	1	4	100	2000000	官方活動獲得	chenghao_248	0
91	神仙眷侶	5	2	-1	0	1	4	200	2000000	官方活動獲得	chenghao_249	0
92	鵲橋相會	4	2	604800	0	1	14	100	2000000	官方活動獲得	chenghao_250	0
93	武林盟主	5	2	604800	0	1	1	0	50000	官方活動獲得	chenghao_251	0
94	洪荒神話	6	2	-1	0	1	1	40	50000	官方活動獲得	chenghao_252	0
95	龍嘯九天	6	2	-1	0	1	3	50	50000	官方活動獲得	chenghao_253	0
96	奇珍異獸	6	2	-1	0	1	3	40	50000	官方活動獲得	chenghao_254	0
97	天書奇談	5	2	-1	0	1	1	30	50000	官方活動獲得	chenghao_255	0
98	含英咀華	5	2	-1	0	1	1	20	50000	官方活動獲得	chenghao_256	0
99	學富五車	4	2	-1	0	1	3	20	50000	官方活動獲得	chenghao_257	0
100	經脈通玄	5	2	-1	0	1	3	30	50000	官方活動獲得	chenghao_258	0
101	號令天下	5	2	604800	0	1	3	0	50000	跨服幫派戰名單排名第一幫派玩家可獲得	chenghao_259	0
102	同仇敵愾	4	2	604800	0	1	3	0	50000	跨服幫派戰名單排名第二幫派玩家可獲得	chenghao_260	0
103	肝膽相照	3	2	604800	0	1	3	0	50000	跨服幫派戰名單排名第三幫派玩家可獲得	chenghao_261	0
104	同舟共濟	2	2	604800	0	1	3	0	50000	跨服幫派戰名單排名第四幫派玩家可獲得	chenghao_262	0
105	勇闖桃園	4	2	-1	0	1	3	10	100000	官方活動獲得	chenghao_321	0
106	VIP1	2	1	-1	0	1	4	1000	50000	VIP等級稱號	chenghao_322	0
107	VIP2	2	1	-1	0	1	4	1000	50000	VIP等級稱號	chenghao_323	0
108	VIP3	3	1	-1	0	1	4	1000	50000	VIP等級稱號	chenghao_324	0
109	VIP4	3	1	-1	0	1	4	1000	50000	VIP等級稱號	chenghao_325	0
110	VIP5	3	1	-1	0	1	4	1500	50000	VIP等級稱號	chenghao_326	0
111	VIP6	4	1	-1	0	1	4	1500	50000	VIP等級稱號	chenghao_327	0
112	VIP7	4	1	-1	0	1	2	10	50000	VIP等級稱號	chenghao_328	0
113	VIP8	4	1	-1	0	1	1	10	50000	VIP等級稱號	chenghao_329	0
114	VIP9	4	1	-1	0	1	3	10	50000	VIP等級稱號	chenghao_330	0
115	VIP10	4	1	-1	0	1	2	20	50000	VIP等級稱號	chenghao_331	0
116	VIP11	5	1	-1	0	1	1	20	100000	VIP等級稱號	chenghao_332	0
117	VIP12	6	1	-1	0	1	3	20	100000	VIP等級稱號	chenghao_333	0
118	王中王	6	2	2592000	0	1	3	0	50000	風流三國全球總決賽玩家獲得	chenghao_401	1
