id	主服	从服
4	42	43,44,45,46,47
4	48	49,50,51
4	52	53,54,55,56
4	57	58,59,60
4	61	62,63,64
4	65	66,67,68
4	69	70,71,72
4	73	74,75,76,77
4	78	79,80,81
4	82	83,84,85
4	86	87,88,89,90
4	91	92,93,94
4	95	96,97,98
4	99	100,101,102,103
4	104	105,106,107,107
4	108	109,110
4	111	112,113
4	114	115,116
4	117	118,119,120,121
4	122	123,124,125,126,127
4	128	129,130,131,132
4	133	134,135,136,137,138
4	139	140,141,142
4	143	144,145,146,147
4	148	149,150,151
4	152	153,154,155
4	156	157,158,159
4	160	161,162,163
4	164	165,166,167
4	168	169,170,171,172
4	173	174,175,176
4	177	178,179,180,181
4	182	183,184,185
4	186	187,188,189
4	190	191,192,193
4	194	195,196,197
4	198	199,200,201
4	202	203,204,205
4	206	207,208,209
4	210	211
4	212	213,214,215
4	216	217,218,219
4	220	221,222,223,224
4	225	226,227
4	228	229,230,231
4	232	233,234,235
4	236	237,238,239
4	240	241,242,243,244
4	245	246,247,248,249,250,251
4	252	253,254,255,256,257,258
4	259	260,261,262,263
4	264	265,266,267,268,269,270
4	271	272,273,273,274,275
4	276	277,278,279,280
4	281	282,283,284,285
4	286	287,288,289,290
4	291	292,293
4	294	296,297
4	298	299,300,301,302
4	303	304,305,306
4	307	308,309,310
4	311	312
4	313	314,315,316
4	317	318,319,320,321
4	322	323,324,325
4	326	328
4	329	330,331
4	332	333,334
4	335	336,337,338
4	339	340,341,342
4	343	344
4	345	346
4	347	348,349,350
4	351	352,353,354,355,356
4	357	358,359,360
4	361	362,363,364,365,366
4	368	369,370,371,372,373,374,375
4	376	377,378,379
4	380	381,382,383,384,385,386,387,388,389
4	390	391,392,393,394,395
4	396	397
4	398	399,400
4	401	402,403
4	404	405
4	406	407,408,409,410,411,412,413,414,415
37	11	12,13,14,15,16,17,18,19,20
37	24	25,26,27
24	11	12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
24	36	37,38,39,40
24	41	42,43,44,45,46,47,48,49,50
24	51	52,53,54,55,56,57,58,59,60
25	11	12,13,14,15,16,17,18,19,20
25	21	22,23,24,25,26,27,28,29,30
25	31	32,33,34,35
25	36	37,38,39,40
25	41	42,43,44,45
25	46	47,48,49,50
25	51	52,53,54,55
25	56	57,58,59,60
38  1   2
38  3   4
38  5   6
8	3	4,5,6
8	7	8
8	9	10
8	11	12
8	13	14,15
8	16	17,18,19
8	20	21,22,23
8	24	25,26,27
8	28	29,30
8	31	32,33
8	34	35,36
8	37	38,39
8	40	41,42
8	43	44,45,46
8	47	48
8	49	50,51,52
8	53	54,55,56
8	57	58,59,60
8	61	62,63
8	64	65,66,67,68
8	69	70,71,72
8	73	74,75
8	76	77,78
8	79	80
8	81	82
30	12	13,14,15
30	16	17,18,19
30	20	21,22,23
30	24	25,26,27
30	28	29,30,31
30	32	33,34,35
30	36	37,38,39
30	40	41,42,43
30	44	45,46,47
30	48	49,50,51
30	52	53,54,55
30	56	57,58,59
30	60	61,62,63
30	64	65,66,67
30	68	69,70,71
30	72	73,74,75
30	76	77,78,79
30	80	81,82,83
44	3	4,5,6
44	7	8,9,10
44	11	12,13,14
44	15	16,17,18
44	19	20,21,22
44	23	24,25,26
44	27	28,29,30
44	31	32,33,34
41	12	13
41	14	15
41	16	17,18
41	19	20
36	12	13
36	14	15,16
36	17	18,19,20
36	21	22,23
36	24	25,26
36	27	28,29
36	30	31
36	32	33
36	34	35
36	36	37,38
36	39	40,41
36	42	43
36	44	45,46
36	47	48,49
36	50	51,52
36	53	54,55,56
36	57	58,59
36	60	61,62
36	63	64,65
36	66	67,68
36	69	70,71
36	72	73
36	74	75
36	76	77
36	78	79
36	80	81
