編號	名稱	描述#材料名称不要超过4字	功能描述	類型	細分子類	圖示	音效	打開是否彈窗	職業限制	等級限制	品質	夥伴使用前提品質	堆疊數量	背包排序優先順序	天生強化等級	強化消耗比率	普通防禦	普通防禦強化值	絕技防禦	絕技防禦強化值	生命	生命強化值	普通攻擊	普通攻擊強化值	法術攻擊	法術攻擊強化值	絕技攻擊	絕技攻擊強化值	先攻值	強化先攻值係數	元寶價格	合成價格	售出價格	是否可以賣出	是否可銷毀	基礎裝備	材料	生成物品	給予元寶	給予銅幣	給予經驗	給予體力	給予聲望	給予命格	給予掉落	给予鲜花类型（1 2 3）	產出副本	下一等級卷軸	穿戴位置	通過此副本可使用直接製作功能	職業對應禮包	禮包id
10100110	洪荒項鏈	該道具是洪荒項鏈	裝備	1	5	10100110	0	0	1|2|3|4	120	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1800	110	160	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100111	1	0	0	0
10100201	須臾護符	該道具是須臾護符	裝備	1	5	10100201	0	0	5	1	1	0	1	10	1	6000	0	0	0	0	0	0	0	0	0	0	30	10	0	1	199	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100202	1	0	0	0
10100202	流雲護符	該道具是流雲護符	裝備	1	5	10100202	0	0	5	20	2	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	100	20	0	2	299	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100203	1	0	0	0
10100203	蒼宇護符	該道具是蒼宇護符	裝備	1	5	10100203	0	0	5	40	3	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	350	35	20	2	399	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100204	1	0	0	0
10100204	忘魂護符	該道具是忘魂護符	裝備	1	5	10100204	0	0	5	60	4	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	600	50	40	2	499	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100205	1	0	0	0
10100205	幽冥護符	該道具是幽冥護符	裝備	1	5	10100205	0	0	5	70	4	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	800	60	60	2	599	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100206	1	0	0	0
10100206	逆煞護符	該道具是逆煞護符	裝備	1	5	10100206	0	0	5	80	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1000	70	80	2	699	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100207	1	0	0	0
10100207	無極護符	該道具是無極護符	裝備	1	5	10100207	0	0	5	90	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1200	80	100	2	799	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100208	1	0	0	0
10100208	混元護符	該道具是混元護符	裝備	1	5	10100208	0	0	5	100	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1400	90	120	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100209	1	0	0	0
10100209	玄黃護符	該道具是玄黃護符	裝備	1	5	10100209	0	0	5	110	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1600	100	140	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100210	1	0	0	0
10100210	洪荒護符	該道具是洪荒護符	裝備	1	5	10100210	0	0	5	120	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1800	110	160	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100211	1	0	0	0
10100301	須臾冠	該道具是須臾冠	裝備	1	1	10100301	0	0	1|2|3|4|5	1	1	0	1	10	1	1350	20	4	29	5	0	0	0	0	0	0	0	0	0	1	99	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100302	2	0	0	0
10100302	流雲冠	該道具是流雲冠	裝備	1	1	10100302	0	0	1|2|3|4|5	20	2	0	1	10	1	3000	69	6	104	9	0	0	0	0	0	0	0	0	0	2	199	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100303	2	0	0	0
10100303	蒼宇冠	該道具是蒼宇冠	裝備	1	1	10100303	0	0	1|2|3|4|5	40	3	0	1	10	1	3000	117	8	176	11	0	0	0	0	0	0	0	0	20	2	299	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100304	2	0	0	0
10100304	忘魂冠	該道具是忘魂冠	裝備	1	1	10100304	0	0	1|2|3|4|5	60	4	0	1	10	1	3000	153	9	230	14	0	0	0	0	0	0	0	0	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100305	2	0	0	0
10100305	幽冥冠	該道具是幽冥冠	裝備	1	1	10100305	0	0	1|2|3|4|5	70	4	0	1	10	1	3000	196	11	293	16	0	0	0	0	0	0	0	0	60	2	479	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100306	2	0	0	0
10100306	逆煞冠	該道具是逆煞冠	裝備	1	1	10100306	0	0	1|2|3|4|5	80	5	0	1	10	1	3000	260	15	510	24	0	0	0	0	0	0	0	0	80	2	579	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100307	2	0	0	0
10100307	無極冠	該道具是無極冠	裝備	1	1	10100307	0	0	1|2|3|4|5	90	5	0	1	10	1	3000	320	19	720	32	0	0	0	0	0	0	0	0	100	2	679	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100308	2	0	0	0
10100308	混元冠	該道具是混元冠	裝備	1	1	10100308	0	0	1|2|3|4|5	100	5	0	1	10	1	3000	380	23	930	40	0	0	0	0	0	0	0	0	120	2	779	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100309	2	0	0	0
10100309	玄黃冠	該道具是玄黃冠	裝備	1	1	10100309	0	0	1|2|3|4|5	110	5	0	1	10	1	3000	500	27	1200	48	0	0	0	0	0	0	0	0	140	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100310	2	0	0	0
10100310	洪荒冠	該道具是洪荒冠	裝備	1	1	10100310	0	0	1|2|3|4|5	120	5	0	1	10	1	3000	620	31	1470	56	0	0	0	0	0	0	0	0	160	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100311	2	0	0	0
10100401	須臾刀	該道具是須臾刀	裝備	1	6	10100401	0	0	3	1	1	0	1	10	1	3000	0	0	0	0	0	0	110	15	0	0	17	2	0	1	159	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100402	3	0	0	0
10100402	流雲刀	該道具是流雲刀	裝備	1	6	10100402	0	0	3	20	2	0	1	10	1	10000	0	0	0	0	0	0	200	23	0	0	28	3	0	2	239	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100403	3	0	0	0
10100403	蒼宇刀	該道具是蒼宇刀	裝備	1	6	10100403	0	0	3	40	3	0	1	10	1	10000	0	0	0	0	0	0	380	39	0	0	42	4	20	2	359	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100404	3	0	0	0
10100404	忘魂刀	該道具是忘魂刀	裝備	1	6	10100404	0	0	3	60	4	0	1	10	1	10000	0	0	0	0	0	0	500	51	0	0	56	5	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100405	3	0	0	0
10100405	幽冥刀	該道具是幽冥刀	裝備	1	6	10100405	0	0	3	70	4	0	1	10	1	10000	0	0	0	0	0	0	750	66	0	0	65	6	60	2	499	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100406	3	0	0	0
10100406	逆煞刀	該道具是逆煞刀	裝備	1	6	10100406	0	0	3	80	5	0	1	10	1	10000	0	0	0	0	0	0	1000	80	0	0	74	7	80	2	599	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100407	3	0	0	0
10100407	無極刀	該道具是無極刀	裝備	1	6	10100407	0	0	3	90	5	0	1	10	1	10000	0	0	0	0	0	0	1500	100	0	0	83	8	100	2	699	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100408	3	0	0	0
10100408	混元刀	該道具是混元刀	裝備	1	6	10100408	0	0	3	100	5	0	1	10	1	10000	0	0	0	0	0	0	2000	120	0	0	108	9	120	2	799	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100409	3	0	0	0
10100409	玄黃刀	該道具是玄黃刀	裝備	1	6	10100409	0	0	3	110	5	0	1	10	1	10000	0	0	0	0	0	0	2500	140	0	0	130	10	140	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100410	3	0	0	0
10100410	洪荒刀	該道具是洪荒刀	裝備	1	6	10100410	0	0	3	120	5	0	1	10	1	10000	0	0	0	0	0	0	3000	160	0	0	152	11	160	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100411	3	0	0	0
10100501	須臾劍	該道具是須臾劍	裝備	1	6	10100501	0	0	1	1	1	0	1	10	1	3000	0	0	0	0	0	0	110	15	0	0	17	2	0	1	159	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100502	3	0	0	0
10100502	流雲劍	該道具是流雲劍	裝備	1	6	10100502	0	0	1	20	2	0	1	10	1	10000	0	0	0	0	0	0	200	23	0	0	28	3	0	2	239	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100503	3	0	0	0
10100503	蒼宇劍	該道具是蒼宇劍	裝備	1	6	10100503	0	0	1	40	3	0	1	10	1	10000	0	0	0	0	0	0	380	39	0	0	42	4	20	2	359	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100504	3	0	0	0
10100504	忘魂劍	該道具是忘魂劍	裝備	1	6	10100504	0	0	1	60	4	0	1	10	1	10000	0	0	0	0	0	0	500	51	0	0	56	5	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100505	3	0	0	0
10100505	幽冥劍	該道具是幽冥劍	裝備	1	6	10100505	0	0	1	70	4	0	1	10	1	10000	0	0	0	0	0	0	750	66	0	0	65	6	60	2	499	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100506	3	0	0	0
10100506	逆煞劍	該道具是逆煞劍	裝備	1	6	10100506	0	0	1	80	5	0	1	10	1	10000	0	0	0	0	0	0	1000	80	0	0	74	7	80	2	599	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100507	3	0	0	0
10100507	無極劍	該道具是無極劍	裝備	1	6	10100507	0	0	1	90	5	0	1	10	1	10000	0	0	0	0	0	0	1500	100	0	0	83	8	100	2	699	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100508	3	0	0	0
10100508	混元劍	該道具是混元劍	裝備	1	6	10100508	0	0	1	100	5	0	1	10	1	10000	0	0	0	0	0	0	2000	120	0	0	108	8	120	2	799	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100509	3	0	0	0
10100509	玄黃劍	該道具是玄黃劍	裝備	1	6	10100509	0	0	1	110	5	0	1	10	1	10000	0	0	0	0	0	0	2500	140	0	0	130	10	140	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100510	3	0	0	0
10100510	洪荒劍	該道具是洪荒劍	裝備	1	6	10100510	0	0	1	120	5	0	1	10	1	10000	0	0	0	0	0	0	3000	160	0	0	152	12	160	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100511	3	0	0	0
10100601	須臾刃	該道具是須臾刃	裝備	1	6	10100601	0	0	2	1	1	0	1	10	1	3000	0	0	0	0	0	0	110	15	0	0	17	2	0	1	159	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100602	3	0	0	0
10100602	流雲刃	該道具是流雲刃	裝備	1	6	10100602	0	0	2	20	2	0	1	10	1	10000	0	0	0	0	0	0	200	23	0	0	28	3	0	2	239	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100603	3	0	0	0
10100603	蒼宇刃	該道具是蒼宇刃	裝備	1	6	10100603	0	0	2	40	3	0	1	10	1	10000	0	0	0	0	0	0	380	39	0	0	42	4	20	2	359	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100604	3	0	0	0
10100604	忘魂刃	該道具是忘魂刃	裝備	1	6	10100604	0	0	2	60	4	0	1	10	1	10000	0	0	0	0	0	0	500	51	0	0	56	5	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100605	3	0	0	0
10100605	幽冥刃	該道具是幽冥刃	裝備	1	6	10100605	0	0	2	70	4	0	1	10	1	10000	0	0	0	0	0	0	750	66	0	0	65	6	60	2	499	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100606	3	0	0	0
10100606	逆煞刃	該道具是逆煞刃	裝備	1	6	10100606	0	0	2	80	5	0	1	10	1	10000	0	0	0	0	0	0	1000	80	0	0	74	7	80	2	599	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100607	3	0	0	0
10100607	無極刃	該道具是無極刃	裝備	1	6	10100607	0	0	2	90	5	0	1	10	1	10000	0	0	0	0	0	0	1500	100	0	0	83	8	100	2	699	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100608	3	0	0	0
10100608	混元刃	該道具是混元刃	裝備	1	6	10100608	0	0	2	100	5	0	1	10	1	10000	0	0	0	0	0	0	2000	120	0	0	108	8	120	2	799	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100609	3	0	0	0
10100609	玄黃刃	該道具是玄黃刃	裝備	1	6	10100609	0	0	2	110	5	0	1	10	1	10000	0	0	0	0	0	0	2500	140	0	0	130	10	140	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100610	3	0	0	0
10100610	洪荒刃	該道具是洪荒刃	裝備	1	6	10100610	0	0	2	120	5	0	1	10	1	10000	0	0	0	0	0	0	3000	160	0	0	152	12	160	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100611	3	0	0	0
10100701	須臾槍	該道具是須臾槍	裝備	1	6	10100701	0	0	4	1	1	0	1	10	1	3000	0	0	0	0	0	0	91	12	0	0	33	4	0	1	159	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100702	3	0	0	0
10100702	流雲槍	該道具是流雲槍	裝備	1	6	10100702	0	0	4	20	2	0	1	10	1	10000	0	0	0	0	0	0	170	19	0	0	55	6	0	2	239	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100703	3	0	0	0
10100703	蒼宇槍	該道具是蒼宇槍	裝備	1	6	10100703	0	0	4	40	3	0	1	10	1	10000	0	0	0	0	0	0	320	32	0	0	84	8	20	2	359	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100704	3	0	0	0
10100704	忘魂槍	該道具是忘魂槍	裝備	1	6	10100704	0	0	4	60	4	0	1	10	1	10000	0	0	0	0	0	0	420	42	0	0	112	10	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100705	3	0	0	0
10100705	幽冥槍	該道具是幽冥槍	裝備	1	6	10100705	0	0	4	70	4	0	1	10	1	10000	0	0	0	0	0	0	630	55	0	0	130	12	60	2	499	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100706	3	0	0	0
10100706	逆煞槍	該道具是逆煞槍	裝備	1	6	10100706	0	0	4	80	5	0	1	10	1	10000	0	0	0	0	0	0	1000	80	0	0	74	7	80	2	599	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100707	3	0	0	0
10100707	無極槍	該道具是無極槍	裝備	1	6	10100707	0	0	4	90	5	0	1	10	1	10000	0	0	0	0	0	0	1300	100	0	0	83	8	100	2	699	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100708	3	0	0	0
10100708	混元槍	該道具是混元槍	裝備	1	6	10100708	0	0	4	100	5	0	1	10	1	10000	0	0	0	0	0	0	1600	120	0	0	108	9	120	2	799	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100709	3	0	0	0
10100709	玄黃槍	該道具是玄黃槍	裝備	1	6	10100709	0	0	4	110	5	0	1	10	1	10000	0	0	0	0	0	0	1900	140	0	0	130	10	140	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100710	3	0	0	0
10100710	洪荒槍	該道具是洪荒槍	裝備	1	6	10100710	0	0	4	120	5	0	1	10	1	10000	0	0	0	0	0	0	2200	160	0	0	152	11	160	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100711	3	0	0	0
10100801	須臾扇	該道具是須臾扇	裝備	1	6	10100801	0	0	5	1	1	0	1	10	1	3000	0	0	0	0	0	0	0	0	73	10	17	2	0	1	159	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100802	3	0	0	0
10100802	流雲扇	該道具是流雲扇	裝備	1	6	10100802	0	0	5	20	2	0	1	10	1	10000	0	0	0	0	0	0	0	0	150	16	28	3	0	2	239	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100803	3	0	0	0
10100803	蒼宇扇	該道具是蒼宇扇	裝備	1	6	10100803	0	0	5	40	3	0	1	10	1	10000	0	0	0	0	0	0	0	0	250	25	42	4	20	2	359	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100804	3	0	0	0
10100804	忘魂扇	該道具是忘魂扇	裝備	1	6	10100804	0	0	5	60	4	0	1	10	1	10000	0	0	0	0	0	0	0	0	320	34	56	5	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100805	3	0	0	0
10100805	幽冥扇	該道具是幽冥扇	裝備	1	6	10100805	0	0	5	70	4	0	1	10	1	10000	0	0	0	0	0	0	0	0	420	40	65	6	60	2	499	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100806	3	0	0	0
10100806	逆煞扇	該道具是逆煞扇	裝備	1	6	10100806	0	0	5	80	5	0	1	10	1	10000	0	0	0	0	0	0	0	0	600	45	84	7	80	2	599	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100807	3	0	0	0
10100807	無極扇	該道具是無極扇	裝備	1	6	10100807	0	0	5	90	5	0	1	10	1	10000	0	0	0	0	0	0	0	0	850	50	103	8	100	2	699	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100808	3	0	0	0
10100808	混元扇	該道具是混元扇	裝備	1	6	10100808	0	0	5	100	5	0	1	10	1	10000	0	0	0	0	0	0	0	0	1100	60	122	9	120	2	799	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100809	3	0	0	0
10100809	玄黃扇	該道具是玄黃扇	裝備	1	6	10100809	0	0	5	110	5	0	1	10	1	10000	0	0	0	0	0	0	0	0	1500	80	150	10	140	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100810	3	0	0	0
10100810	洪荒扇	該道具是洪荒扇	裝備	1	6	10100810	0	0	5	120	5	0	1	10	1	10000	0	0	0	0	0	0	0	0	1900	100	178	11	160	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100811	3	0	0	0
10100901	須臾衣	該道具是須臾衣	裝備	1	2	10100901	0	0	1|2|3|4|5	1	1	0	1	10	1	1650	38	7	0	0	0	0	0	0	0	0	0	0	0	1	99	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100902	4	0	0	0
10100902	流雲衣	該道具是流雲衣	裝備	1	2	10100902	0	0	1|2|3|4|5	20	2	0	1	10	1	5000	167	16	0	0	0	0	0	0	0	0	0	0	0	2	199	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100903	4	0	0	0
10100903	蒼宇衣	該道具是蒼宇衣	裝備	1	2	10100903	0	0	1|2|3|4|5	40	3	0	1	10	1	5000	334	24	0	0	0	0	0	0	0	0	0	0	20	2	299	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100904	4	0	0	0
10100904	忘魂衣	該道具是忘魂衣	裝備	1	2	10100904	0	0	1|2|3|4|5	60	4	0	1	10	1	5000	440	32	0	0	0	0	0	0	0	0	0	0	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100905	4	0	0	0
10100905	幽冥衣	該道具是幽冥衣	裝備	1	2	10100905	0	0	1|2|3|4|5	70	4	0	1	10	1	5000	545	40	0	0	0	0	0	0	0	0	0	0	60	2	479	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100906	4	0	0	0
10100906	逆煞衣	該道具是逆煞衣	裝備	1	2	10100906	0	0	1|2|3|4|5	80	5	0	1	10	1	5000	680	45	0	0	0	0	0	0	0	0	0	0	80	2	579	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100907	4	0	0	0
10100907	無極衣	該道具是無極衣	裝備	1	2	10100907	0	0	1|2|3|4|5	90	5	0	1	10	1	5000	1000	50	0	0	0	0	0	0	0	0	0	0	100	2	679	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100908	4	0	0	0
10100908	混元衣	該道具是混元衣	裝備	1	2	10100908	0	0	1|2|3|4|5	100	5	0	1	10	1	5000	2000	60	0	0	0	0	0	0	0	0	0	0	120	2	779	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100909	4	0	0	0
10100909	玄黃衣	該道具是玄黃衣	裝備	1	2	10100909	0	0	1|2|3|4|5	110	5	0	1	10	1	5000	3000	70	0	0	0	0	0	0	0	0	0	0	140	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100910	4	0	0	0
10100910	洪荒衣	該道具是洪荒衣	裝備	1	2	10100910	0	0	1|2|3|4|5	120	5	0	1	10	1	5000	4000	80	0	0	0	0	0	0	0	0	0	0	160	2	879	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100911	4	0	0	0
10101001	須臾戒	該道具是須臾戒	裝備	1	4	10101001	0	0	1|2|3|4|5	1	1	0	1	10	1	2400	0	0	0	0	84	9	0	0	0	0	0	0	0	1	99	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20101002	5	0	0	0
10101002	流雲戒	該道具是流雲戒	裝備	1	4	10101002	0	0	1|2|3|4|5	20	2	0	1	10	1	8000	0	0	0	0	225	19	0	0	0	0	0	0	0	2	199	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20101003	5	0	0	0
10101003	蒼宇戒	該道具是蒼宇戒	裝備	1	4	10101003	0	0	1|2|3|4|5	40	3	0	1	10	1	8000	0	0	0	0	520	35	0	0	0	0	0	0	20	2	299	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20101004	5	0	0	0
10101004	忘魂戒	該道具是忘魂戒	裝備	1	4	10101004	0	0	1|2|3|4|5	60	4	0	1	10	1	8000	0	0	0	0	900	42	0	0	0	0	0	0	40	2	399	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20101005	5	0	0	0
10101005	幽冥戒	該道具是幽冥戒	裝備	1	4	10101005	0	0	1|2|3|4|5	70	4	0	1	10	1	8000	0	0	0	0	1200	50	0	0	0	0	0	0	60	2	479	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20101006	5	0	0	0
10101006	逆煞戒	該道具是逆煞戒	裝備	1	4	10101006	0	0	1|2|3|4|5	80	5	0	1	10	1	8000	0	0	0	0	1400	60	0	0	0	0	0	0	80	2	579	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20101007	5	0	0	0
10101007	無極戒	該道具是無極戒	裝備	1	4	10101007	0	0	1|2|3|4|5	90	5	0	1	10	1	8000	0	0	0	0	1600	70	0	0	0	0	0	0	100	2	679	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20101008	5	0	0	0
